# Universe 2. Values shown are for the Exit End of each Element:
# Index  name            key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                          [rad]       [rad]       [rad]
      0  BEGINNING       Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_11CB1_XPITCH Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_11CB1_XOFF   Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1            Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_11CB1_XOFF   Patch                 3.00000   0.00000    -0.15916   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_11CB1_XPITCH Patch                 3.00000   0.00000    -0.15916   100.00000     3.00000    -0.10601     0.00000     0.00000
      6  D1100           Drift                 9.00000   6.00000    -0.79401   100.00000     8.96632    -0.10601     0.00000     0.00000
      7  PI_11B2_XPITCH  Patch                 9.00000   0.00000    -0.79401   100.00000     8.96632    -0.04428     0.00000     0.00000
      8  PI_11B2_XOFF    Patch                 9.00000   0.00000    -0.67413   100.00000     8.97163    -0.04428     0.00000     0.00000
      9  M11B2           Sbend                12.00000   3.00000    -0.80692   100.00000    11.96869    -0.04428     0.00000     0.00000
     10  PO_11B2_XOFF    Patch                12.00000   0.00000    -0.95318   100.00000    11.96221    -0.04428     0.00000     0.00000
     11  PO_11B2_XPITCH  Patch                12.00000   0.00000    -0.95318   100.00000    11.96221    -0.00014     0.00000     0.00000
     12  D1101#1         Drift                14.00000   2.00000    -0.95346   100.00000    13.96221    -0.00014     0.00000     0.00000
     13  M11E            Sbend                17.00000   3.00000    -0.95390   100.00000    16.96221    -0.00014     0.00000     0.00000
     14  D1101#2         Drift                32.50000  15.50000    -0.95615   100.00000    32.46221    -0.00014     0.00000     0.00000
     15  PI_11B3_XPITCH  Patch                32.50000   0.00000    -0.95615   100.00000    32.46221    -0.00014     0.00000     0.00000
     16  PI_11B3_XOFF    Patch                32.50000   0.00000    -0.91416   100.00000    32.46222    -0.00014     0.00000     0.00000
     17  M11B3           Sbend                35.50000   3.00000    -0.91460   100.00000    35.46222    -0.00014     0.00000     0.00000
     18  PO_11B3_XOFF    Patch                35.50000   0.00000    -0.85064   100.00000    35.46223    -0.00014     0.00000     0.00000
     19  PO_11B3_XPITCH  Patch                35.50000   0.00000    -0.85064   100.00000    35.46223     0.07045     0.00000     0.00000
     20  D1102           Drift                39.00000   3.50000    -0.60426   100.00000    38.95354     0.07045     0.00000     0.00000
     21  PI_11B4_XPITCH  Patch                39.00000   0.00000    -0.60426   100.00000    38.95354    -0.00014     0.00000     0.00000
     22  PI_11B4_XOFF    Patch                39.00000   0.00000    -0.66511   100.00000    38.95353    -0.00014     0.00000     0.00000
     23  M11B4           Sbend                42.00000   3.00000    -0.66554   100.00000    41.95353    -0.00014     0.00000     0.00000
     24  PO_11B4_XOFF    Patch                42.00000   0.00000    -0.49875   100.00000    41.95356    -0.00014     0.00000     0.00000
     25  PO_11B4_XPITCH  Patch                42.00000   0.00000    -0.49875   100.00000    41.95356    -0.00014     0.00000     0.00000
     26  D1103           Drift                52.60000  10.60000    -0.50029   100.00000    52.55356    -0.00014     0.00000     0.00000
     27  PI_11B5_XPITCH  Patch                52.60000   0.00000    -0.50029   100.00000    52.55356    -0.00014     0.00000     0.00000
     28  PI_11B5_XOFF    Patch                52.60000   0.00000    -0.66708   100.00000    52.55353    -0.00014     0.00000     0.00000
     29  M11B5           Sbend                55.60000   3.00000    -0.66751   100.00000    55.55353    -0.00014     0.00000     0.00000
     30  PO_11B5_XOFF    Patch                55.60000   0.00000    -0.60666   100.00000    55.55354    -0.00014     0.00000     0.00000
     31  PO_11B5_XPITCH  Patch                55.60000   0.00000    -0.60666   100.00000    55.55354    -0.07074     0.00000     0.00000
     32  D1104           Drift                59.10000   3.50000    -0.85406   100.00000    59.04479    -0.07074     0.00000     0.00000
     33  PI_11B6_XPITCH  Patch                59.10000   0.00000    -0.85406   100.00000    59.04479    -0.00014     0.00000     0.00000
     34  PI_11B6_XOFF    Patch                59.10000   0.00000    -0.91802   100.00000    59.04478    -0.00014     0.00000     0.00000
     35  M11B6           Sbend                62.10000   3.00000    -0.91845   100.00000    62.04478    -0.00014     0.00000     0.00000
     36  PO_11B6_XOFF    Patch                62.10000   0.00000    -0.96043   100.00000    62.04477    -0.00014     0.00000     0.00000
     37  PO_11B6_XPITCH  Patch                62.10000   0.00000    -0.96043   100.00000    62.04477    -0.00014     0.00000     0.00000
     38  D1105           Drift                73.10000  11.00000    -0.96203   100.00000    73.04477    -0.00014     0.00000     0.00000
     39  PI_11B7_XPITCH  Patch                73.10000   0.00000    -0.96203   100.00000    73.04477    -0.00014     0.00000     0.00000
     40  PI_11B7_XOFF    Patch                73.10000   0.00000    -0.92005   100.00000    73.04478    -0.00014     0.00000     0.00000
     41  M11B7           Sbend                76.10000   3.00000    -0.92048   100.00000    76.04478    -0.00014     0.00000     0.00000
     42  PO_11B7_XOFF    Patch                76.10000   0.00000    -0.81397   100.00000    76.04479    -0.00014     0.00000     0.00000
     43  PO_11B7_XPITCH  Patch                76.10000   0.00000    -0.81397   100.00000    76.04479     0.09877     0.00000     0.00000
     44  D1106           Drift                82.62300   6.52300    -0.17073   100.00000    82.53600     0.09877     0.00000     0.00000
