# Universe 6. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
      0  BEGINNING        Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_19CB1_XPITCH  Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_19CB1_XOFF    Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1             Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_19CB1_XOFF    Patch                 3.00000   0.00000    -0.09399   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_19CB1_XPITCH  Patch                 3.00000   0.00000    -0.09399   100.00000     3.00000    -0.06264     0.00000     0.00000
      6  D1900            Drift                 4.50000   1.50000    -0.18790   100.00000     4.49706    -0.06264     0.00000     0.00000
      7  PI_19CB2_XPITCH  Patch                 4.50000   0.00000    -0.18790   100.00000     4.49706    -0.09754     0.00000     0.00000
      8  PI_19CB2_XOFF    Patch                 4.50000   0.00000    -0.04070   100.00000     4.51146    -0.09754     0.00000     0.00000
      9  MCB2             Sbend                 7.50000   3.00000    -0.33286   100.00000     7.49720    -0.09754     0.00000     0.00000
     10  PO_19CB2_XOFF    Patch                 7.50000   0.00000    -0.28189   100.00000     7.50219    -0.09754     0.00000     0.00000
     11  PO_19CB2_XPITCH  Patch                 7.50000   0.00000    -0.28189   100.00000     7.50219     0.00011     0.00000     0.00000
     12  D1901            Drift                 8.00000   0.50000    -0.28184   100.00000     8.00219     0.00011     0.00000     0.00000
     13  PI_19CB3B_XPITCH Patch                 8.00000   0.00000    -0.28184   100.00000     8.00219     0.00011     0.00000     0.00000
     14  PI_19CB3B_XOFF   Patch                 8.00000   0.00000    -0.08180   100.00000     8.00217     0.00011     0.00000     0.00000
     15  MCB3B            Sbend                11.00000   3.00000    -0.08148   100.00000    11.00217     0.00011     0.00000     0.00000
     16  PO_19CB3B_XOFF   Patch                11.00000   0.00000    -0.18752   100.00000    11.00218     0.00011     0.00000     0.00000
     17  PO_19CB3B_XPITCH Patch                11.00000   0.00000    -0.18752   100.00000    11.00218     0.06275     0.00000     0.00000
     18  D1902            Drift                12.00000   1.00000    -0.12481   100.00000    12.00021     0.06275     0.00000     0.00000
     19  PI_19CB4B_XPITCH Patch                12.00000   0.00000    -0.12481   100.00000    12.00021     0.04372     0.00000     0.00000
     20  PI_19CB4B_XOFF   Patch                12.00000   0.00000     0.01849   100.00000    11.99394     0.04372     0.00000     0.00000
     21  MCB4B            Sbend                15.00000   3.00000     0.14962   100.00000    14.99107     0.04372     0.00000     0.00000
     22  PO_19CB4B_XOFF   Patch                15.00000   0.00000     0.15741   100.00000    14.99073     0.04372     0.00000     0.00000
     23  PO_19CB4B_XPITCH Patch                15.00000   0.00000     0.15741   100.00000    14.99073     0.12544     0.00000     0.00000
     24  D1903            Drift                16.50000   1.50000     0.34508   100.00000    16.47895     0.12544     0.00000     0.00000
     25  PI_19CB5B_XPITCH Patch                16.50000   0.00000     0.34508   100.00000    16.47895     0.11791     0.00000     0.00000
     26  PI_19CB5B_XOFF   Patch                16.50000   0.00000     0.36470   100.00000    16.47662     0.11791     0.00000     0.00000
