# Universe 1. Values shown are for the Exit End of each Element:
# Index  name           key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                         [rad]       [rad]       [rad]
      0  BEGINNING      Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_9CB1_XPITCH Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_9CB1_XOFF   Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1           Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_9CB1_XOFF   Patch                 3.00000   0.00000    -0.19260   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_9CB1_XPITCH Patch                 3.00000   0.00000    -0.19260   100.00000     3.00000    -0.12822     0.00000     0.00000
      6  D900           Drift                10.30000   7.30000    -1.12608   100.00000    10.24007    -0.12822     0.00000     0.00000
      7  PI_9B2_XPITCH  Patch                10.30000   0.00000    -1.12608   100.00000    10.24007     0.00000     0.00000     0.00000
      8  PI_9B2_XOFF    Patch                10.30000   0.00000    -1.31868   100.00000    10.24007     0.00000     0.00000     0.00000
      9  M9B2           Sbend                13.30000   3.00000    -1.31868   100.00000    13.24007     0.00000     0.00000     0.00000
     10  PO_9B2_XOFF    Patch                13.30000   0.00000    -1.31868   100.00000    13.24007     0.00000     0.00000     0.00000
     11  PO_9B2_XPITCH  Patch                13.30000   0.00000    -1.31868   100.00000    13.24007     0.00000     0.00000     0.00000
     12  D901#1         Drift                14.30000   1.00000    -1.31868   100.00000    14.24007     0.00000     0.00000     0.00000
     13  M9E            Sbend                17.30000   3.00000    -1.31868   100.00000    17.24007     0.00000     0.00000     0.00000
     14  D901#2         Drift                18.30000   1.00000    -1.31868   100.00000    18.24007     0.00000     0.00000     0.00000
     15  PI_9B3_XPITCH  Patch                18.30000   0.00000    -1.31868   100.00000    18.24007     0.00000     0.00000     0.00000
     16  PI_9B3_XOFF    Patch                18.30000   0.00000    -1.31868   100.00000    18.24007     0.00000     0.00000     0.00000
     17  M9B3           Sbend                19.80000   1.50000    -1.31868   100.00000    19.74007     0.00000     0.00000     0.00000
     18  PO_9B3_XOFF    Patch                19.80000   0.00000    -1.28670   100.00000    19.74007     0.00000     0.00000     0.00000
