#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
    0  START                       0.000     8060.000    10000.000   -15468.929        0.000        0.000    16049.489
    1  MAT1L02V                    0.000     8060.000    10000.000   -15468.929        0.000        0.000    16049.489
    2  D104                       17.976     8060.000    10000.000   -15450.953        0.000        0.000    16049.489
    3  IPM1L02                    17.976     8060.000    10000.000   -15450.953        0.000        0.000    16049.489
    4  D105                       19.823     8060.000    10000.000   -15449.106        0.000        0.000    16049.489
    5  MQ1L02A                    29.823     8060.000    10000.000   -15439.106        0.000        0.000    16049.489
    6  D106                       39.823     8060.000    10000.000   -15429.106        0.000        0.000    16049.489
    7  MQ1L02B                    59.823     8060.000    10000.000   -15409.106        0.000        0.000    16049.489
    8  D106                       69.823     8060.000    10000.000   -15399.106        0.000        0.000    16049.489
    9  MQ1L02C                    79.823     8060.000    10000.000   -15389.106        0.000        0.000    16049.489
   10  D105                       81.671     8060.000    10000.000   -15387.258        0.000        0.000    16049.489
   11  D107                      162.581     8060.000    10000.000   -15306.348        0.000        0.000    16049.489
   12  R121                      212.581     8060.000    10000.000   -15256.348        0.000        0.000    16053.239
   13  D108                      237.581     8060.000    10000.000   -15231.348        0.000        0.000    16053.239
   14  R122                      287.581     8060.000    10000.000   -15181.348        0.000        0.000    16056.989
   15  D109                      353.641     8060.000    10000.000   -15115.288        0.000        0.000    16056.989
   16  R123                      403.641     8060.000    10000.000   -15065.288        0.000        0.000    16060.739
   17  D108                      428.641     8060.000    10000.000   -15040.288        0.000        0.000    16060.739
   18  R124                      478.641     8060.000    10000.000   -14990.288        0.000        0.000    16064.489
   19  D109                      544.701     8060.000    10000.000   -14924.228        0.000        0.000    16064.489
   20  R125                      594.701     8060.000    10000.000   -14874.228        0.000        0.000    16068.239
   21  D108                      619.701     8060.000    10000.000   -14849.228        0.000        0.000    16068.239
   22  R126                      669.701     8060.000    10000.000   -14799.228        0.000        0.000    16071.989
   23  D109                      735.761     8060.000    10000.000   -14733.168        0.000        0.000    16071.989
   24  R127                      785.761     8060.000    10000.000   -14683.168        0.000        0.000    16075.739
   25  D108                      810.761     8060.000    10000.000   -14658.168        0.000        0.000    16075.739
   26  R128                      860.761     8060.000    10000.000   -14608.168        0.000        0.000    16079.489
   27  D110                      960.000     8060.000    10000.000   -14508.929        0.000        0.000    16079.489
   28  MAT1L03V                  960.000     8060.000    10000.000   -14508.929        0.000        0.000    16079.489
   29  D104                      977.975     8060.000    10000.000   -14490.954        0.000        0.000    16079.489
   30  IPM1L03                   977.975     8060.000    10000.000   -14490.954        0.000        0.000    16079.489
   31  D105                      979.823     8060.000    10000.000   -14489.106        0.000        0.000    16079.489
   32  MQ1L03A                   989.823     8060.000    10000.000   -14479.106        0.000        0.000    16079.489
   33  D106                      999.823     8060.000    10000.000   -14469.106        0.000        0.000    16079.489
   34  MQ1L03B                  1019.823     8060.000    10000.000   -14449.106        0.000        0.000    16079.489
   35  D106                     1029.823     8060.000    10000.000   -14439.106        0.000        0.000    16079.489
   36  MQ1L03C                  1039.823     8060.000    10000.000   -14429.106        0.000        0.000    16079.489
   37  D105                     1041.670     8060.000    10000.000   -14427.259        0.000        0.000    16079.489
   38  D107                     1122.580     8060.000    10000.000   -14346.349        0.000        0.000    16079.489
   39  R131                     1172.580     8060.000    10000.000   -14296.349        0.000        0.000    16083.239
   40  D108                     1197.580     8060.000    10000.000   -14271.349        0.000        0.000    16083.239
   41  R132                     1247.580     8060.000    10000.000   -14221.349        0.000        0.000    16086.989
   42  D109                     1313.640     8060.000    10000.000   -14155.289        0.000        0.000    16086.989
   43  R133                     1363.640     8060.000    10000.000   -14105.289        0.000        0.000    16090.739
   44  D108                     1388.640     8060.000    10000.000   -14080.289        0.000        0.000    16090.739
   45  R134                     1438.640     8060.000    10000.000   -14030.289        0.000        0.000    16094.489
   46  D109                     1504.700     8060.000    10000.000   -13964.229        0.000        0.000    16094.489
   47  R135                     1554.700     8060.000    10000.000   -13914.229        0.000        0.000    16098.239
   48  D108                     1579.700     8060.000    10000.000   -13889.229        0.000        0.000    16098.239
   49  R136                     1629.700     8060.000    10000.000   -13839.229        0.000        0.000    16101.989
   50  D109                     1695.760     8060.000    10000.000   -13773.169        0.000        0.000    16101.989
   51  R137                     1745.760     8060.000    10000.000   -13723.169        0.000        0.000    16105.739
   52  D108                     1770.760     8060.000    10000.000   -13698.169        0.000        0.000    16105.739
   53  R138                     1820.760     8060.000    10000.000   -13648.169        0.000        0.000    16109.489
   54  D111                     1898.029     8060.000    10000.000   -13570.900        0.000        0.000    16109.489
   55  MAT1L04H                 1898.029     8060.000    10000.000   -13570.900        0.000        0.000    16109.489
   56  D112                     1937.976     8060.000    10000.000   -13530.953        0.000        0.000    16109.489
