#    N 	        NAME	       S[cm]	       BetaX	       AlfaX	       BetaY	       AlfaY	        DspX	       DspXp	        DspY	       DspYp	         NuX	         NuY	  Energy[MeV]
     0	       START	        0.00	     2069.77	   -0.216912	     1967.15	   -0.227422	           0	           0	           0	           0	           0	           0	      649.489 
     1	   kMAT1L02V	        0.00	     2069.77	   -0.216912	     1967.15	   -0.227422	           0	           0	           0	           0	 7.6895e-011	8.09064e-011	      649.489
     2	       oD104	       17.98	     2077.73	   -0.226005	      1975.5	   -0.237032	           0	           0	           0	           0	   0.0013796	  0.00145128	      649.489
     3	    iIPM1L02	       17.98	     2077.73	   -0.226005	      1975.5	   -0.237032	           0	           0	           0	           0	   0.0013796	  0.00145128	      649.489
     4	       oD105	       19.82	     2078.57	    -0.22694	     1976.38	    -0.23802	           0	           0	           0	           0	  0.00152109	  0.00160009	      649.489
     5	    qMQ1L02A	       29.82	     2027.23	     5.31441	     2035.35	    -5.71223	           0	           0	           0	           0	  0.00229292	  0.00239722	      649.489
     6	       oD106	       39.82	     1922.38	     5.17016	     2151.24	    -5.87746	           0	           0	           0	           0	  0.00309914	  0.00315782	      649.489
     7	    qMQ1L02B	       59.82	     1921.65	    -5.13233	     2151.94	     5.84398	           0	           0	           0	           0	  0.00478528	  0.00461076	      649.489
     8	       oD106	       69.82	     2025.72	     -5.2746	     2036.69	     5.68063	           0	           0	           0	           0	  0.00559195	  0.00537099	      649.489
     9	    qMQ1L02C	       79.82	     2076.68	    0.224636	     1978.02	    0.239644	           0	           0	           0	           0	  0.00636444	   0.0061675	      649.489
    10	       oD105	       81.67	     2075.85	    0.223702	     1977.13	    0.238656	           0	           0	           0	           0	  0.00650606	  0.00631619	      649.489
    11	       oD107	      162.58	     2042.96	    0.182775	     1942.01	    0.195402	           0	           0	           0	           0	   0.0127608	   0.0128898	      649.489
    12	       aR121	      212.58	     2025.93	    0.157981	     1923.79	    0.169146	           0	           0	           0	           0	   0.0166727	   0.0170073	      653.239
    13	       oD108	      237.58	     2018.34	    0.145333	     1915.66	    0.155779	           0	           0	           0	           0	   0.0186404	     0.01908	      653.239
    14	       aR122	      287.58	     2005.05	    0.120525	      1901.4	    0.129508	           0	           0	           0	           0	   0.0225966	     0.02325	      656.989
    15	       oD109	      353.64	     1991.33	   0.0870997	     1886.62	   0.0941821	           0	           0	           0	           0	   0.0278592	   0.0288023	      656.989
    16	       aR123	      403.64	     1983.87	   0.0622776	     1878.52	   0.0678965	           0	           0	           0	           0	   0.0318633	   0.0330298	      660.739
    17	       oD108	      428.64	     1981.07	    0.049627	     1875.46	   0.0545267	           0	           0	           0	           0	   0.0338704	   0.0351497	      660.739
    18	       aR124	      478.64	     1977.35	   0.0247962	     1871.32	   0.0282323	           0	           0	           0	           0	   0.0378915	    0.039398	      664.489
    19	       oD109	      544.70	     1976.28	 -0.00863274	     1869.92	 -0.00709715	           0	           0	           0	           0	    0.043211	   0.0450196	      664.489
    20	       aR125	      594.70	     1978.38	  -0.0334695	     1871.95	  -0.0333974	           0	           0	           0	           0	   0.0472359	   0.0492735	      668.239
    21	       oD108	      619.70	     1980.37	  -0.0461202	     1873.95	  -0.0467674	           0	           0	           0	           0	   0.0492462	   0.0513979	      668.239
    22	       aR126	      669.70	     1986.23	  -0.0709598	     1879.94	  -0.0730702	           0	           0	           0	           0	   0.0532589	   0.0556382	      671.989
    23	       oD109	      735.76	     1997.81	   -0.104386	     1891.93	   -0.108397	           0	           0	           0	           0	   0.0585379	   0.0612142	      671.989
    24	       aR127	      785.76	     2009.49	   -0.129224	     1904.09	   -0.134698	           0	           0	           0	           0	   0.0625099	   0.0654074	      675.739
