#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
    0  START                       0.000     8060.000    10000.000   -15468.929        0.000        0.000      649.489
   12  R121                      212.581     8060.000    10000.000   -15256.348        0.000        0.000      653.239
   14  R122                      287.581     8060.000    10000.000   -15181.348        0.000        0.000      656.989
   16  R123                      403.641     8060.000    10000.000   -15065.288        0.000        0.000      660.739
   18  R124                      478.641     8060.000    10000.000   -14990.288        0.000        0.000      664.489
   20  R125                      594.701     8060.000    10000.000   -14874.228        0.000        0.000      668.239
   22  R126                      669.701     8060.000    10000.000   -14799.228        0.000        0.000      671.989
   24  R127                      785.761     8060.000    10000.000   -14683.168        0.000        0.000      675.739
   26  R128                      860.761     8060.000    10000.000   -14608.168        0.000        0.000      679.489
   39  R131                     1172.580     8060.000    10000.000   -14296.349        0.000        0.000      683.239
   41  R132                     1247.580     8060.000    10000.000   -14221.349        0.000        0.000      686.989
   43  R133                     1363.640     8060.000    10000.000   -14105.289        0.000        0.000      690.739
   45  R134                     1438.640     8060.000    10000.000   -14030.289        0.000        0.000      694.489
   47  R135                     1554.700     8060.000    10000.000   -13914.229        0.000        0.000      698.239
   49  R136                     1629.700     8060.000    10000.000   -13839.229        0.000        0.000      701.989
   51  R137                     1745.760     8060.000    10000.000   -13723.169        0.000        0.000      705.739
   53  R138                     1820.760     8060.000    10000.000   -13648.169        0.000        0.000      709.489
   66  R141                     2132.581     8060.000    10000.000   -13336.348        0.000        0.000      713.239
   68  R142                     2207.581     8060.000    10000.000   -13261.348        0.000        0.000      716.989
   70  R143                     2323.641     8060.000    10000.000   -13145.288        0.000        0.000      720.739
   72  R144                     2398.641     8060.000    10000.000   -13070.288        0.000        0.000      724.489
   74  R145                     2514.701     8060.000    10000.000   -12954.228        0.000        0.000      728.239
   76  R146                     2589.701     8060.000    10000.000   -12879.228        0.000        0.000      731.989
   78  R147                     2705.761     8060.000    10000.000   -12763.168        0.000        0.000      735.739
   80  R148                     2780.761     8060.000    10000.000   -12688.168        0.000        0.000      739.489
   93  R151                     3092.580     8060.000    10000.000   -12376.349        0.000        0.000      743.239
   95  R152                     3167.580     8060.000    10000.000   -12301.349        0.000        0.000      746.989
   97  R153                     3283.640     8060.000    10000.000   -12185.289        0.000        0.000      750.739
   99  R154                     3358.640     8060.000    10000.000   -12110.289        0.000        0.000      754.489
  101  R155                     3474.700     8060.000    10000.000   -11994.229        0.000        0.000      758.239
  103  R156                     3549.700     8060.000    10000.000   -11919.229        0.000        0.000      761.989
  105  R157                     3665.760     8060.000    10000.000   -11803.169        0.000        0.000      765.739
  107  R158                     3740.760     8060.000    10000.000   -11728.169        0.000        0.000      769.489
  122  R161                     4052.581     8060.000    10000.000   -11416.348        0.000        0.000      773.239
  124  R162                     4127.581     8060.000    10000.000   -11341.348        0.000        0.000      776.989
  126  R163                     4243.641     8060.000    10000.000   -11225.288        0.000        0.000      780.739
  128  R164                     4318.641     8060.000    10000.000   -11150.288        0.000        0.000      784.489
  130  R165                     4434.701     8060.000    10000.000   -11034.228        0.000        0.000      788.239
  132  R166                     4509.701     8060.000    10000.000   -10959.228        0.000        0.000      791.989
  134  R167                     4625.761     8060.000    10000.000   -10843.168        0.000        0.000      795.739
  136  R168                     4700.761     8060.000    10000.000   -10768.168        0.000        0.000      799.489
  149  R171                     5012.581     8060.000    10000.000   -10456.348        0.000        0.000      803.239
  151  R172                     5087.581     8060.000    10000.000   -10381.348        0.000        0.000      806.989
  153  R173                     5203.641     8060.000    10000.000   -10265.288        0.000        0.000      810.739
  155  R174                     5278.641     8060.000    10000.000   -10190.288        0.000        0.000      814.489
  157  R175                     5394.701     8060.000    10000.000   -10074.228        0.000        0.000      818.239
  159  R176                     5469.701     8060.000    10000.000    -9999.228        0.000        0.000      821.989
