#N 	Name 	S[cm] 	L[cm] 	B[kG] 	G[kG/cm]   S[kG/cm/cm] 	Tilt[deg] 	Tilt_out 	BendAng[deg]
1 	MAT1L02V 	1e-006 	1e-006 	0 	0 	0 	90
2 	D104 	17.9756 	17.9756  
3 	IPM1L02 	17.9756 	0   	0 	0 	0 	0
4 	D105 	19.8231 	1.84751  
5 	MQ1L02A 	29.8231 	10 	0 	0.587835 	0 	0
6 	D106 	39.8231 	10  
7 	MQ1L02B 	59.8231 	20 	0 	-0.585715 	0 	0
8 	D106 	69.8231 	10  
9 	MQ1L02C 	79.8231 	10 	0 	0.583842 	0 	0
10 	D105 	81.6706 	1.84751  
11 	D107 	162.581 	80.91  
12 	R121 	212.581 	50   D_E[MeV]=3.75  E_out[MeV]=653.239
13 	D108 	237.581 	25  
14 	R122 	287.581 	50   D_E[MeV]=3.75  E_out[MeV]=656.989
15 	D109 	353.641 	66.06  
16 	R123 	403.641 	50   D_E[MeV]=3.75  E_out[MeV]=660.739
17 	D108 	428.641 	25  
18 	R124 	478.641 	50   D_E[MeV]=3.75  E_out[MeV]=664.489
19 	D109 	544.701 	66.06  
20 	R125 	594.701 	50   D_E[MeV]=3.75  E_out[MeV]=668.239
21 	D108 	619.701 	25  
22 	R126 	669.701 	50   D_E[MeV]=3.75  E_out[MeV]=671.989
23 	D109 	735.761 	66.06  
24 	R127 	785.761 	50   D_E[MeV]=3.75  E_out[MeV]=675.739
25 	D108 	810.761 	25  
26 	R128 	860.761 	50   D_E[MeV]=3.75  E_out[MeV]=679.489
27 	D110 	960 	99.239  
28 	MAT1L03V 	960 	1e-006 	0 	0 	0 	90
29 	D104 	977.975 	17.9756  
30 	IPM1L03 	977.975 	0   	0 	0 	0 	0
31 	D105 	979.823 	1.84751  
32 	MQ1L03A 	989.823 	10 	0 	0.614966 	0 	0
33 	D106 	999.823 	10  
34 	MQ1L03B 	1019.82 	20 	0 	-0.612748 	0 	0
35 	D106 	1029.82 	10  
36 	MQ1L03C 	1039.82 	10 	0 	0.610789 	0 	0
37 	D105 	1041.67 	1.84751  
38 	D107 	1122.58 	80.91  
39 	R131 	1172.58 	50   D_E[MeV]=3.75  E_out[MeV]=683.239
40 	D108 	1197.58 	25  
41 	R132 	1247.58 	50   D_E[MeV]=3.75  E_out[MeV]=686.989
42 	D109 	1313.64 	66.06  
43 	R133 	1363.64 	50   D_E[MeV]=3.75  E_out[MeV]=690.739
44 	D108 	1388.64 	25  
45 	R134 	1438.64 	50   D_E[MeV]=3.75  E_out[MeV]=694.489
46 	D109 	1504.7 	66.06  
47 	R135 	1554.7 	50   D_E[MeV]=3.75  E_out[MeV]=698.239
48 	D108 	1579.7 	25  
49 	R136 	1629.7 	50   D_E[MeV]=3.75  E_out[MeV]=701.989
50 	D109 	1695.76 	66.06  
51 	R137 	1745.76 	50   D_E[MeV]=3.75  E_out[MeV]=705.739
52 	D108 	1770.76 	25  
53 	R138 	1820.76 	50   D_E[MeV]=3.75  E_out[MeV]=709.489
54 	D111 	1898.03 	77.269  
55 	MAT1L04H 	1898.03 	1e-006 	0 	0 	0 	0
56 	D112 	1937.98 	39.9466  
57 	IPM1L04 	1937.98 	0   	0 	0 	0 	0
58 	D105 	1939.82 	1.84751  
59 	MQ1L04A 	1949.82 	10 	0 	0.642097 	0 	0
60 	D106 	1959.82 	10  
61 	MQ1L04B 	1979.82 	20 	0 	-0.639781 	0 	0
62 	D106 	1989.82 	10  
63 	MQ1L04C 	1999.82 	10 	0 	0.637735 	0 	0
64 	D105 	2001.67 	1.84751  
65 	D107 	2082.58 	80.91  
66 	R141 	2132.58 	50   D_E[MeV]=3.75  E_out[MeV]=713.239
67 	D108 	2157.58 	25  
