#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
    0  START                       0.000     8060.000    10000.000   -15311.457        0.000        0.000      122.489
    1  D10000                     11.946     8060.000    10000.000   -15299.511        0.000        0.000      122.489
    2  ITV1L02                    11.946     8060.000    10000.000   -15299.511        0.000        0.000      122.489
    3  D10001                     23.884     8060.000    10000.000   -15287.573        0.000        0.000      122.489
    4  MAT1L02H                   23.884     8060.000    10000.000   -15287.573        0.000        0.000      122.489
    5  D10002                     45.855     8060.000    10000.000   -15265.602        0.000        0.000      122.489
    6  MAT1L02V                   45.855     8060.000    10000.000   -15265.602        0.000        0.000      122.489
    7  D10003                     65.235     8060.000    10000.000   -15246.222        0.000        0.000      122.489
    8  IPM1L02                    65.235     8060.000    10000.000   -15246.222        0.000        0.000      122.489
    9  D10004                     82.504     8060.000    10000.000   -15228.953        0.000        0.000      122.489
   10  MQB1L02                    97.504     8060.000    10000.000   -15213.953        0.000        0.000      122.489
   11  D10005                    208.414     8060.000    10000.000   -15103.043        0.000        0.000      122.489
   12  R121                      258.414     8060.000    10000.000   -15053.043        0.000        0.000      126.177
   13  D10006                    283.414     8060.000    10000.000   -15028.043        0.000        0.000      126.177
   14  R122                      333.414     8060.000    10000.000   -14978.043        0.000        0.000      129.864
   15  D10007                    399.474     8060.000    10000.000   -14911.983        0.000        0.000      129.864
   16  R123                      449.474     8060.000    10000.000   -14861.983        0.000        0.000      133.552
   17  D10006                    474.474     8060.000    10000.000   -14836.983        0.000        0.000      133.552
   18  R124                      524.474     8060.000    10000.000   -14786.983        0.000        0.000      137.239
   19  D10007                    590.534     8060.000    10000.000   -14720.923        0.000        0.000      137.239
   20  R125                      640.534     8060.000    10000.000   -14670.923        0.000        0.000      140.927
   21  D10006                    665.534     8060.000    10000.000   -14645.923        0.000        0.000      140.927
   22  R126                      715.534     8060.000    10000.000   -14595.923        0.000        0.000      144.614
   23  D10007                    781.594     8060.000    10000.000   -14529.863        0.000        0.000      144.614
   24  R127                      831.594     8060.000    10000.000   -14479.863        0.000        0.000      148.302
   25  D10006                    856.594     8060.000    10000.000   -14454.863        0.000        0.000      148.302
   26  R128                      906.594     8060.000    10000.000   -14404.863        0.000        0.000      151.989
   27  D10008                   1005.859     8060.000    10000.000   -14305.598        0.000        0.000      151.989
   28  MAT1L03V                 1005.859     8060.000    10000.000   -14305.598        0.000        0.000      151.989
   29  D10003                   1025.239     8060.000    10000.000   -14286.218        0.000        0.000      151.989
   30  IPM1L03                  1025.239     8060.000    10000.000   -14286.218        0.000        0.000      151.989
   31  D10009                   1025.504     8060.000    10000.000   -14285.953        0.000        0.000      151.989
   32  MQSnl                    1032.504     8060.000    10000.000   -14278.953        0.000        0.000      151.989
   33  D10010                   1042.504     8060.000    10000.000   -14268.953        0.000        0.000      151.989
   34  MQB1L03                  1057.504     8060.000    10000.000   -14253.953        0.000        0.000      151.989
   35  D10005                   1168.414     8060.000    10000.000   -14143.043        0.000        0.000      151.989
   36  R131                     1218.414     8060.000    10000.000   -14093.043        0.000        0.000      155.677
   37  D10006                   1243.414     8060.000    10000.000   -14068.043        0.000        0.000      155.677
   38  R132                     1293.414     8060.000    10000.000   -14018.043        0.000        0.000      159.364
   39  D10007                   1359.474     8060.000    10000.000   -13951.983        0.000        0.000      159.364
   40  R133                     1409.474     8060.000    10000.000   -13901.983        0.000        0.000      163.052
   41  D10006                   1434.474     8060.000    10000.000   -13876.983        0.000        0.000      163.052
   42  R134                     1484.474     8060.000    10000.000   -13826.983        0.000        0.000      166.739
   43  D10007                   1550.534     8060.000    10000.000   -13760.923        0.000        0.000      166.739
   44  R135                     1600.534     8060.000    10000.000   -13710.923        0.000        0.000      170.427
   45  D10006                   1625.534     8060.000    10000.000   -13685.923        0.000        0.000      170.427
   46  R136                     1675.534     8060.000    10000.000   -13635.923        0.000        0.000      174.114
   47  D10007                   1741.594     8060.000    10000.000   -13569.863        0.000        0.000      174.114
   48  R137                     1791.594     8060.000    10000.000   -13519.863        0.000        0.000      177.802
   49  D10006                   1816.594     8060.000    10000.000   -13494.863        0.000        0.000      177.802
   50  R138                     1866.594     8060.000    10000.000   -13444.863        0.000        0.000      181.489
   51  D10011                   1943.888     8060.000    10000.000   -13367.569        0.000        0.000      181.489
   52  MAT1L04H                 1943.888     8060.000    10000.000   -13367.569        0.000        0.000      181.489
   53  D10012                   1985.239     8060.000    10000.000   -13326.218        0.000        0.000      181.489
   54  IPM1L04                  1985.239     8060.000    10000.000   -13326.218        0.000        0.000      181.489
   55  D10009                   1985.504     8060.000    10000.000   -13325.953        0.000        0.000      181.489
   56  MQSnl                    1992.504     8060.000    10000.000   -13318.953        0.000        0.000      181.489
   57  D10010                   2002.504     8060.000    10000.000   -13308.953        0.000        0.000      181.489
   58  MQB1L04                  2017.504     8060.000    10000.000   -13293.953        0.000        0.000      181.489
   59  D10005                   2128.414     8060.000    10000.000   -13183.043        0.000        0.000      181.489
   60  R141                     2178.414     8060.000    10000.000   -13133.043        0.000        0.000      185.177
   61  D10006                   2203.414     8060.000    10000.000   -13108.043        0.000        0.000      185.177
   62  R142                     2253.414     8060.000    10000.000   -13058.043        0.000        0.000      188.864
   63  D10007                   2319.474     8060.000    10000.000   -12991.983        0.000        0.000      188.864
   64  R143                     2369.474     8060.000    10000.000   -12941.983        0.000        0.000      192.552
   65  D10006                   2394.474     8060.000    10000.000   -12916.983        0.000        0.000      192.552
   66  R144                     2444.474     8060.000    10000.000   -12866.983        0.000        0.000      196.239
   67  D10007                   2510.534     8060.000    10000.000   -12800.923        0.000        0.000      196.239
   68  R145                     2560.534     8060.000    10000.000   -12750.923        0.000        0.000      199.927
   69  D10006                   2585.534     8060.000    10000.000   -12725.923        0.000        0.000      199.927
   70  R146                     2635.534     8060.000    10000.000   -12675.923        0.000        0.000      203.614
   71  D10007                   2701.594     8060.000    10000.000   -12609.863        0.000        0.000      203.614
   72  R147                     2751.594     8060.000    10000.000   -12559.863        0.000        0.000      207.302
   73  D10006                   2776.594     8060.000    10000.000   -12534.863        0.000        0.000      207.302
   74  R148                     2826.594     8060.000    10000.000   -12484.863        0.000        0.000      210.989
   75  D10008                   2925.859     8060.000    10000.000   -12385.598        0.000        0.000      210.989
   76  MAT1L05V                 2925.859     8060.000    10000.000   -12385.598        0.000        0.000      210.989
   77  D10003                   2945.239     8060.000    10000.000   -12366.218        0.000        0.000      210.989
   78  IPM1L05                  2945.239     8060.000    10000.000   -12366.218        0.000        0.000      210.989
   79  D10009                   2945.504     8060.000    10000.000   -12365.953        0.000        0.000      210.989
   80  MQSnl                    2952.504     8060.000    10000.000   -12358.953        0.000        0.000      210.989
   81  D10010                   2962.504     8060.000    10000.000   -12348.953        0.000        0.000      210.989
   82  MQB1L05                  2977.504     8060.000    10000.000   -12333.953        0.000        0.000      210.989
   83  D10005                   3088.414     8060.000    10000.000   -12223.043        0.000        0.000      210.989
   84  R151                     3138.414     8060.000    10000.000   -12173.043        0.000        0.000      214.677
   85  D10006                   3163.414     8060.000    10000.000   -12148.043        0.000        0.000      214.677
   86  R152                     3213.414     8060.000    10000.000   -12098.043        0.000        0.000      218.364
   87  D10007                   3279.474     8060.000    10000.000   -12031.983        0.000        0.000      218.364
   88  R153                     3329.474     8060.000    10000.000   -11981.983        0.000        0.000      222.052
   89  D10006                   3354.474     8060.000    10000.000   -11956.983        0.000        0.000      222.052
   90  R154                     3404.474     8060.000    10000.000   -11906.983        0.000        0.000      225.739
   91  D10007                   3470.534     8060.000    10000.000   -11840.923        0.000        0.000      225.739
   92  R155                     3520.534     8060.000    10000.000   -11790.923        0.000        0.000      229.427
   93  D10006                   3545.534     8060.000    10000.000   -11765.923        0.000        0.000      229.427
   94  R156                     3595.534     8060.000    10000.000   -11715.923        0.000        0.000      233.114
   95  D10007                   3661.594     8060.000    10000.000   -11649.863        0.000        0.000      233.114
   96  R157                     3711.594     8060.000    10000.000   -11599.863        0.000        0.000      236.802
   97  D10006                   3736.594     8060.000    10000.000   -11574.863        0.000        0.000      236.802
   98  R158                     3786.594     8060.000    10000.000   -11524.863        0.000        0.000      240.489
   99  D10013                   3851.950     8060.000    10000.000   -11459.507        0.000        0.000      240.489
  100  ITV1L06                  3851.950     8060.000    10000.000   -11459.507        0.000        0.000      240.489
  101  D10001                   3863.888     8060.000    10000.000   -11447.569        0.000        0.000      240.489
  102  MAT1L06H                 3863.888     8060.000    10000.000   -11447.569        0.000        0.000      240.489
  103  D10012                   3905.239     8060.000    10000.000   -11406.218        0.000        0.000      240.489
  104  IPM1L06                  3905.239     8060.000    10000.000   -11406.218        0.000        0.000      240.489
  105  D10009                   3905.504     8060.000    10000.000   -11405.953        0.000        0.000      240.489
  106  MQSnl                    3912.504     8060.000    10000.000   -11398.953        0.000        0.000      240.489
  107  D10010                   3922.504     8060.000    10000.000   -11388.953        0.000        0.000      240.489
  108  MQB1L06                  3937.504     8060.000    10000.000   -11373.953        0.000        0.000      240.489
  109  D10005                   4048.414     8060.000    10000.000   -11263.043        0.000        0.000      240.489
  110  R161                     4098.414     8060.000    10000.000   -11213.043        0.000        0.000      244.177
  111  D10006                   4123.414     8060.000    10000.000   -11188.043        0.000        0.000      244.177
  112  R162                     4173.414     8060.000    10000.000   -11138.043        0.000        0.000      247.864
  113  D10007                   4239.474     8060.000    10000.000   -11071.983        0.000        0.000      247.864
  114  R163                     4289.474     8060.000    10000.000   -11021.983        0.000        0.000      251.552
  115  D10006                   4314.474     8060.000    10000.000   -10996.983        0.000        0.000      251.552
  116  R164                     4364.474     8060.000    10000.000   -10946.983        0.000        0.000      255.239
  117  D10007                   4430.534     8060.000    10000.000   -10880.923        0.000        0.000      255.239
