#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
    0  START                       0.000     8060.000    10000.000   -15311.457        0.000        0.000      122.489
   12  R121                      258.414     8060.000    10000.000   -15053.043        0.000        0.000      126.177
   14  R122                      333.414     8060.000    10000.000   -14978.043        0.000        0.000      129.864
   16  R123                      449.474     8060.000    10000.000   -14861.983        0.000        0.000      133.552
   18  R124                      524.474     8060.000    10000.000   -14786.983        0.000        0.000      137.239
   20  R125                      640.534     8060.000    10000.000   -14670.923        0.000        0.000      140.927
   22  R126                      715.534     8060.000    10000.000   -14595.923        0.000        0.000      144.614
   24  R127                      831.594     8060.000    10000.000   -14479.863        0.000        0.000      148.302
   26  R128                      906.594     8060.000    10000.000   -14404.863        0.000        0.000      151.989
   36  R131                     1218.414     8060.000    10000.000   -14093.043        0.000        0.000      155.677
   38  R132                     1293.414     8060.000    10000.000   -14018.043        0.000        0.000      159.364
   40  R133                     1409.474     8060.000    10000.000   -13901.983        0.000        0.000      163.052
   42  R134                     1484.474     8060.000    10000.000   -13826.983        0.000        0.000      166.739
   44  R135                     1600.534     8060.000    10000.000   -13710.923        0.000        0.000      170.427
   46  R136                     1675.534     8060.000    10000.000   -13635.923        0.000        0.000      174.114
   48  R137                     1791.594     8060.000    10000.000   -13519.863        0.000        0.000      177.802
   50  R138                     1866.594     8060.000    10000.000   -13444.863        0.000        0.000      181.489
   60  R141                     2178.414     8060.000    10000.000   -13133.043        0.000        0.000      185.177
   62  R142                     2253.414     8060.000    10000.000   -13058.043        0.000        0.000      188.864
   64  R143                     2369.474     8060.000    10000.000   -12941.983        0.000        0.000      192.552
   66  R144                     2444.474     8060.000    10000.000   -12866.983        0.000        0.000      196.239
   68  R145                     2560.534     8060.000    10000.000   -12750.923        0.000        0.000      199.927
   70  R146                     2635.534     8060.000    10000.000   -12675.923        0.000        0.000      203.614
   72  R147                     2751.594     8060.000    10000.000   -12559.863        0.000        0.000      207.302
   74  R148                     2826.594     8060.000    10000.000   -12484.863        0.000        0.000      210.989
   84  R151                     3138.414     8060.000    10000.000   -12173.043        0.000        0.000      214.677
   86  R152                     3213.414     8060.000    10000.000   -12098.043        0.000        0.000      218.364
   88  R153                     3329.474     8060.000    10000.000   -11981.983        0.000        0.000      222.052
   90  R154                     3404.474     8060.000    10000.000   -11906.983        0.000        0.000      225.739
   92  R155                     3520.534     8060.000    10000.000   -11790.923        0.000        0.000      229.427
   94  R156                     3595.534     8060.000    10000.000   -11715.923        0.000        0.000      233.114
   96  R157                     3711.594     8060.000    10000.000   -11599.863        0.000        0.000      236.802
   98  R158                     3786.594     8060.000    10000.000   -11524.863        0.000        0.000      240.489
  110  R161                     4098.414     8060.000    10000.000   -11213.043        0.000        0.000      244.177
  112  R162                     4173.414     8060.000    10000.000   -11138.043        0.000        0.000      247.864
  114  R163                     4289.474     8060.000    10000.000   -11021.983        0.000        0.000      251.552
  116  R164                     4364.474     8060.000    10000.000   -10946.983        0.000        0.000      255.239
  118  R165                     4480.534     8060.000    10000.000   -10830.923        0.000        0.000      258.927
  120  R166                     4555.534     8060.000    10000.000   -10755.923        0.000        0.000      262.614
  122  R167                     4671.594     8060.000    10000.000   -10639.863        0.000        0.000      266.302
  124  R168                     4746.594     8060.000    10000.000   -10564.863        0.000        0.000      269.989
  134  R171                     5058.414     8060.000    10000.000   -10253.043        0.000        0.000      273.677
  136  R172                     5133.414     8060.000    10000.000   -10178.043        0.000        0.000      277.364
  138  R173                     5249.474     8060.000    10000.000   -10061.983        0.000        0.000      281.052
  140  R174                     5324.474     8060.000    10000.000    -9986.983        0.000        0.000      284.739
  142  R175                     5440.534     8060.000    10000.000    -9870.923        0.000        0.000      288.427
  144  R176                     5515.534     8060.000    10000.000    -9795.923        0.000        0.000      292.114
  146  R177                     5631.594     8060.000    10000.000    -9679.863        0.000        0.000      295.802
  148  R178                     5706.594     8060.000    10000.000    -9604.863        0.000        0.000      299.489
  158  R181                     6018.414     8060.000    10000.000    -9293.043        0.000        0.000      303.177
  160  R182                     6093.414     8060.000    10000.000    -9218.043        0.000        0.000      306.864
  162  R183                     6209.474     8060.000    10000.000    -9101.983        0.000        0.000      310.552
  164  R184                     6284.474     8060.000    10000.000    -9026.983        0.000        0.000      314.239
  166  R185                     6400.534     8060.000    10000.000    -8910.923        0.000        0.000      317.927
  168  R186                     6475.534     8060.000    10000.000    -8835.923        0.000        0.000      321.614
  170  R187                     6591.594     8060.000    10000.000    -8719.863        0.000        0.000      325.302
  172  R188                     6666.594     8060.000    10000.000    -8644.863        0.000        0.000      328.989
  184  R191                     6978.414     8060.000    10000.000    -8333.043        0.000        0.000      332.677
  186  R192                     7053.414     8060.000    10000.000    -8258.043        0.000        0.000      336.364
  188  R193                     7169.474     8060.000    10000.000    -8141.983        0.000        0.000      340.052
  190  R194                     7244.474     8060.000    10000.000    -8066.983        0.000        0.000      343.739
  192  R195                     7360.534     8060.000    10000.000    -7950.923        0.000        0.000      347.427
  194  R196                     7435.534     8060.000    10000.000    -7875.923        0.000        0.000      351.114
  196  R197                     7551.594     8060.000    10000.000    -7759.863        0.000        0.000      354.802
  198  R198                     7626.594     8060.000    10000.000    -7684.863        0.000        0.000      358.489
  210  R1A1                     7938.414     8060.000    10000.000    -7373.043        0.000        0.000      362.177
  212  R1A2                     8013.414     8060.000    10000.000    -7298.043        0.000        0.000      365.864
  214  R1A3                     8129.474     8060.000    10000.000    -7181.983        0.000        0.000      369.552
  216  R1A4                     8204.474     8060.000    10000.000    -7106.983        0.000        0.000      373.239
  218  R1A5                     8320.534     8060.000    10000.000    -6990.923        0.000        0.000      376.927
  220  R1A6                     8395.534     8060.000    10000.000    -6915.923        0.000        0.000      380.614
  222  R1A7                     8511.594     8060.000    10000.000    -6799.863        0.000        0.000      384.302
