 2024-11-11	16:52:16	XNoDosimeter	RNoRod	-12.647	-2.754	6.799	23.900
 2025-03-12	09:13:32	XA015128876	R-38	1337	1337	1337	1337
 2025-03-25	09:15:41	XA00918365E	R-128	1337	1337	1337	1337
 2025-04-08	08:42:42	XA01809651H	R-190	1337	1337	1337	1337
 2025-04-23	11:29:34	XA00718119H	R-255	1337	1337	1337	1337
 2025-06-11	12:31:57	XA009328185	R-392	1337	1337	1337	1337
 2025-07-02	10:48:09	XA00825526E	R-453	1337	1337	1337	1337
 2025-07-17	10:02:52	XA005757049	R-536	-42.280	-2.663	0.241	33.218
 2025-08-27	11:26:46	XA00780028E	R-572	-42.584	-3.251	-0.366	31.266
 2025-09-10	11:00:08	XA00922006S	R-628	1337	1337	1337	1337
 2025-10-23	11:26:57	XnoDosimeter	Rnorod	-42.693	-3.201	-0.219	28.966
