 2024-11-21	15:43:35	XnoDosimetry	RnoRod	-7.775	-8.719	9.646	23.160
 2025-03-12	10:34:11	XA015259762	R-76	1337	1337	1337	1337
 2025-03-25	10:08:09	XA002794862	R-72	1337	1337	1337	1337
 2025-04-08	09:56:23	XA007780783	R-148	1337	1337	1337	1337
 2025-04-23	11:37:22	XA00600179M	R-207	1337	1337	1337	1337
 2025-05-21	13:13:36	XA01075522I	R-344	1337	1337	1337	1337
 2025-06-17	12:09:42	XA02692528X	R-422	1337	1337	1337	1337
 2025-07-02	10:49:32	XA00825376D	R-481	1337	1337	1337	1337
 2025-07-30	10:18:27	XA01294191G	R-549	0.090	-10.272	0.656	31.454
 2025-08-27	09:43:01	XA005439564	R-615	0.071	-10.094	0.597	31.314
 2025-09-10	11:13:52	XA01091117H	R-661	1337	1337	1337	1337
 2025-10-29	11:29:30	XnoDosimeter	Rnorod	0.354	-10.297	0.931	28.265
