 2024-04-22-15:49:49				
 2024-04-22-17:01:51	XA02737341J	R-1				
 2024-04-24-09:53:31		R-1	0.044	0.025	0.055	21.710
 2024-04-26-11:46:34	XA02737341J	R-1	-3.354	-149.415	130.963	24.467
 2024-05-02-16:13:59						
 2024-05-02-16:14:32						
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-11-05	11:44:05	Xnodose	RNoRod	-4.468	-211.167	122.345	24.970
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
 2025-05-21	13:27:29	XA02360080S	R-351	1337	1337	1337	1337
 2025-06-17	11:48:48	XA007075887	R-400	1337	1337	1337	1337
 2025-07-02	10:21:48	XA00735803F	R-479	1337	1337	1337	1337
 2025-07-30	11:26:25	XA00036404R	R-547	4.304	-243.062	177.335	32.197
 2025-08-27	09:10:54	XA008194587	R-606	2.359	-247.561	174.399	31.337
 2025-09-10	11:45:14	XA008656149	R-667	1337	1337	1337	1337
 2025-10-21	09:26:44	XnoDosimeter	Rnorod	5.648	-242.079	180.650	23.515
