 2024-04-22-15:36:55				
 2024-04-22-15:49:56				
 2024-04-22-17:02:00	XA02737341J	R-1				
 2024-05-02-16:14:13						
 2024-05-02-16:14:43						
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-11-05	11:48:19	Xnodose	RNoRod	-4.502	-164.528	116.741	25.019
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
 2025-05-21	13:27:29	XA02360080S	R-351	1337	1337	1337	1337
 2025-06-17	11:48:48	XA007075887	R-400	1337	1337	1337	1337
 2025-07-02	10:21:48	XA00735803F	R-479	1337	1337	1337	1337
 2025-07-30	11:27:38	XA00036404R	R-547	-1.134	-208.695	161.653	32.047
 2025-08-27	09:09:54	XA008194587	R-606	-5.383	-210.246	160.418	31.126
 2025-09-10	11:45:14	XA008656149	R-667	1337	1337	1337	1337
 2025-10-21	09:28:37	XnoDosimeter	Rnorod	-1.884	-214.417	159.187	23.510
