sample_id,plate,slot,material,region,environment,is_outlier,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_apr_raw_mWC,c2_apr_temp_C,c2_apr_corrected_mWC,c2_apr_date,c2_jun_raw_mWC,c2_jun_temp_C,c2_jun_corrected_mWC,c2_jun_date,c2_apr_vs_baseline_pct,c2_jun_vs_baseline_pct,c2_jun_vs_apr_pct,c2_jun_vs_c1end_pct
Y-1-1,1,1,SmCo33H,South Linac,tunnel,False,1.0377,1.0399,0.2173,1.0353,25.2000,1.0375,2026-04-20,1.0341,28.1983,1.0375,2026-06-02,-0.0193,-0.0191,0.0002,-0.2306
Y-1-2,1,2,N52SH,South Linac,tunnel,False,1.3110,1.3086,-0.1848,1.2995,25.4000,1.3072,2026-04-20,1.2999,27.8040,1.3112,2026-06-02,-0.2899,0.0119,0.3026,0.1953
Y-1-3,1,3,SmCo35,South Linac,tunnel,False,1.0857,1.0857,0.0074,1.0815,25.2000,1.0837,2026-04-20,1.0830,27.8600,1.0864,2026-06-02,-0.1842,0.0659,0.2506,0.0659
Y-1-4,1,4,N42EH,South Linac,tunnel,False,1.1774,1.1769,-0.0401,1.1691,25.2000,1.1753,2026-04-20,1.1688,27.7007,1.1779,2026-06-02,-0.1784,0.0400,0.2187,0.0825
Y-3-1,3,1,N42EH,SE Arc,tunnel,False,1.1748,1.1730,-0.1515,1.1624,27.1000,1.1707,2026-04-20,1.1584,28.3703,1.1682,2026-06-02,-0.3490,-0.5637,-0.2154,-0.4111
Y-3-2,3,2,SmCo33H,SE Arc,tunnel,False,1.0376,1.0382,0.0636,1.0340,27.2000,1.0370,2026-04-20,1.0333,28.1700,1.0367,2026-06-02,-0.0578,-0.0879,-0.0301,-0.1456
Y-3-3,3,3,N52SH,SE Arc,tunnel,False,1.3113,1.3097,-0.1237,1.2975,27.2000,1.3079,2026-04-20,1.2936,28.0457,1.3052,2026-06-02,-0.2593,-0.4689,-0.2102,-0.3473
Y-3-4,3,4,SmCo35,SE Arc,tunnel,False,1.0808,1.0795,-0.1220,1.0753,27.3000,1.0785,2026-04-20,1.0753,27.9643,1.0787,2026-06-02,-0.2128,-0.1909,0.0219,-0.0707
Y-4-1,4,1,N52SH,North Linac,tunnel,False,1.3110,1.3110,0.0027,1.2961,28.4000,1.3082,2026-04-20,1.2951,30.1267,1.3097,2026-06-02,-0.2136,-0.1000,0.1138,-0.1000
Y-4-2,4,2,SmCo35,North Linac,tunnel,False,1.0772,1.0815,0.4006,1.0735,28.1000,1.0770,2026-04-20,1.0765,29.8547,1.0808,2026-06-02,-0.0186,0.3305,0.3491,-0.0684
Y-4-3,4,3,N42EH,North Linac,tunnel,False,1.1897,1.1853,-0.3742,1.1725,27.9000,1.1818,2026-04-20,1.1734,29.9213,1.1852,2026-06-02,-0.6640,-0.3817,0.2842,-0.0120
Y-4-4,4,4,SmCo33H,North Linac,tunnel,False,1.0411,1.0407,-0.0368,1.0353,28.1000,1.0387,2026-04-20,1.0377,29.9337,1.0418,2026-06-02,-0.2305,0.0711,0.3023,0.1095
Y-5-1,5,1,SmCo33H,South Linac,tunnel,False,1.0378,1.0418,0.3885,1.0370,26.8000,1.0398,2026-04-20,1.0360,28.7497,1.0396,2026-06-02,0.1927,0.1772,-0.0155,-0.2075
Y-5-2,5,2,N52SH,South Linac,tunnel,False,1.3131,1.3124,-0.0514,1.2988,26.7000,1.3084,2026-04-20,1.2996,29.3537,1.3131,2026-06-02,-0.3579,0.0008,0.3600,0.0541
Y-5-3,5,3,SmCo35,South Linac,tunnel,False,1.0801,1.0804,0.0299,1.0755,26.7000,1.0784,2026-04-20,1.0768,28.8763,1.0806,2026-06-02,-0.1574,0.0497,0.2074,0.0219
Y-5-4,5,4,N42EH,South Linac,tunnel,False,1.1795,1.1789,-0.0506,1.1673,27.0000,1.1756,2026-04-20,1.1689,28.7777,1.1793,2026-06-02,-0.3306,-0.0211,0.3106,0.0298
