sample_id,plate,slot,material,region,c2_raw_mWC,c2_temp_C,c2_corrected_mWC,c2_time,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_vs_c1end_pct,c2_vs_baseline_pct
Y-1-1,1,1,SmCo33H,South Linac,1.0353,25.2,1.0375,11:20:39,1.0377,1.0399,0.2173,-0.2345,-0.0230
Y-1-2,1,2,N52SH,South Linac,1.2995,25.4,1.3072,11:20:10,1.3110,1.3086,-0.1848,-0.1034,-0.2862
Y-1-3,1,3,SmCo35,South Linac,1.0815,25.2,1.0837,11:19:47,1.0857,1.0857,0.0074,-0.1802,-0.1802
Y-1-4,1,4,N42EH,South Linac,1.1691,25.2,1.1753,11:19:22,1.1774,1.1769,-0.0401,-0.1398,-0.1822
Y-3-1,3,1,N42EH,SE Arc,1.1624,27.1,1.1707,09:43:55,1.1748,1.1730,-0.1515,-0.1954,-0.3483
Y-3-2,3,2,SmCo33H,SE Arc,1.0340,27.2,1.0370,09:43:31,1.0376,1.0382,0.0636,-0.1187,-0.0609
Y-3-3,3,3,N52SH,SE Arc,1.2975,27.2,1.3079,09:43:02,1.3113,1.3097,-0.1237,-0.1384,-0.2603
Y-3-4,3,4,SmCo35,SE Arc,1.0753,27.3,1.0785,09:42:19,1.0808,1.0795,-0.1220,-0.0973,-0.2174
Y-4-1,4,1,N52SH,North Linac,1.2961,28.4,1.3082,15:45:37,1.3110,1.3110,0.0027,-0.2107,-0.2107
Y-4-2,4,2,SmCo35,North Linac,1.0735,28.1,1.0770,15:44:44,1.0772,1.0815,0.4006,-0.4167,-0.0192
Y-4-3,4,3,N42EH,North Linac,1.1725,27.9,1.1818,15:44:20,1.1897,1.1853,-0.3742,-0.2913,-0.6601
Y-4-4,4,4,SmCo33H,North Linac,1.0353,28.1,1.0387,15:43:57,1.0411,1.0407,-0.0368,-0.1962,-0.2345
Y-5-1,5,1,SmCo33H,South Linac,1.0370,26.8,1.0398,11:01:23,1.0378,1.0418,0.3885,-0.1912,0.1934
Y-5-2,5,2,N52SH,South Linac,1.2988,26.7,1.3084,11:01:51,1.3131,1.3124,-0.0514,-0.3054,-0.3586
Y-5-3,5,3,SmCo35,South Linac,1.0755,26.7,1.0784,11:02:22,1.0801,1.0804,0.0299,-0.1859,-0.1582
Y-5-4,5,4,N42EH,South Linac,1.1673,27.0,1.1756,11:02:45,1.1795,1.1789,-0.0506,-0.2814,-0.3321
Y-6-1,6,1,SmCo35,NW Arc,1.0783,28.2,1.0818,14:26:23,1.0826,1.0835,0.0803,-0.1523,-0.0693
Y-6-3,6,3,SmCo33H,NW Arc,1.0374,28.2,1.0408,14:28:17,1.0424,1.0435,0.1030,-0.2558,-0.1505
Y-6-4,6,4,N52SH,NW Arc,1.2931,28.5,1.3053,14:28:56,1.3085,1.3070,-0.1085,-0.1279,-0.2424
Y-7-1,7,1,N42EH,NE Arc,1.1612,28.1,1.1707,18:05:21,1.1754,1.1705,-0.4155,0.0142,-0.4028
Y-7-2,7,2,SmCo33H,NE Arc,1.0343,27.8,1.0375,18:05:01,1.0399,1.0391,-0.0751,-0.1494,-0.2263
Y-7-3,7,3,N52SH,NE Arc,1.2959,27.8,1.3071,18:04:25,1.3119,1.3065,-0.4116,0.0482,-0.3636
Y-7-4,7,4,SmCo35,NE Arc,1.0771,27.9,1.0805,18:04:04,1.0820,1.0805,-0.1409,0.0009,-0.1377
Y-9-1,9,1,SmCo33H,NE Arc,1.0329,28.2,1.0363,18:45:04,1.0372,1.0375,0.0343,-0.1140,-0.0851
Y-9-2,9,2,N52SH,NE Arc,1.2976,27.8,1.3089,18:45:27,1.3155,1.3100,-0.4219,-0.0857,-0.5034
Y-9-3,9,3,SmCo35,NE Arc,1.0720,27.8,1.0754,18:45:49,1.0790,1.0767,-0.2065,-0.1251,-0.3380
Y-9-4,9,4,N42EH,NE Arc,1.1618,27.9,1.1711,18:46:12,1.1755,1.1729,-0.2190,-0.1561,-0.3769
Y-10-1,10,1,SmCo35,SW Arc,1.0809,27.9,1.0843,12:52:16,1.0844,1.0846,0.0157,-0.0244,-0.0059
Y-10-2,10,2,N42EH,SW Arc,1.1621,27.6,1.1710,12:53:06,1.1733,1.1720,-0.1102,-0.0845,-0.1952
Y-10-3,10,3,SmCo33H,SW Arc,1.0308,27.6,1.0339,12:53:37,1.0356,1.0359,0.0278,-0.1891,-0.1602
Y-10-4,10,4,N52SH,SW Arc,1.2917,27.6,1.3026,12:52:44,1.3049,1.3044,-0.0350,-0.1362,-0.1745
Y-11-1,11,1,N42EH,SW Arc,1.1628,28.0,1.1722,13:06:54,1.1760,1.1757,-0.0240,-0.2973,-0.3227
Y-11-2,11,2,SmCo33H,SW Arc,1.0355,27.7,1.0387,13:07:16,1.0403,1.0408,0.0514,-0.2014,-0.1535
Y-11-3,11,3,N52SH,SW Arc,1.2966,27.7,1.3077,13:07:38,1.3113,1.3115,0.0134,-0.2876,-0.2724
Y-11-4,11,4,SmCo35,SW Arc,1.0793,27.8,1.0827,13:08:01,1.0845,1.0843,-0.0246,-0.1480,-0.1664
Y-12-1,12,1,N52SH,Labyrinth,1.2977,27.3,1.3082,16:05:17,1.3125,1.3118,-0.0507,-0.2710,-0.3242
Y-12-2,12,2,SmCo35,Labyrinth,1.0760,27.1,1.0791,16:05:46,1.0808,1.0813,0.0524,-0.2065,-0.1604
Y-12-3,12,3,N42EH,Labyrinth,1.1708,27.1,1.1791,16:06:12,1.1833,1.1812,-0.1805,-0.1766,-0.3537
Y-12-4,12,4,SmCo33H,Labyrinth,1.0331,27.0,1.0360,16:06:38,1.0388,1.0382,-0.0537,-0.2136,-0.2713
Y-13-1,13,1,SmCo33H,SW Arc,1.0344,27.6,1.0376,12:00:53,1.0415,1.0374,-0.3970,0.0153,-0.3784
Y-13-2,13,2,N52SH,SW Arc,1.2939,27.9,1.3053,12:01:39,1.3125,1.3035,-0.6844,0.1379,-0.5488
Y-13-3,13,3,SmCo35,SW Arc,1.0740,27.9,1.0774,12:02:12,1.0819,1.0764,-0.5006,0.0942,-0.4146
Y-13-4,13,4,N42EH,SW Arc,1.1591,28.0,1.1685,12:02:40,1.1745,1.1654,-0.7704,0.2636,-0.5133
Y-15-1,15,1,N42EH,SE Arc,1.1693,25.8,1.1762,09:24:34,1.1821,1.1790,-0.2615,-0.2395,-0.5011
Y-15-2,15,2,SmCo33H,SE Arc,1.0344,25.9,1.0369,09:25:01,1.0379,1.0390,0.1037,-0.2056,-0.0998
Y-15-3,15,3,N52SH,SE Arc,1.2973,26.4,1.3065,09:25:27,1.3108,1.3099,-0.0686,-0.2628,-0.3312
Y-15-4,15,4,SmCo35,SE Arc,1.0745,26.3,1.0772,09:29:11,1.0792,1.0787,-0.0523,-0.1361,-0.1824
Y-16-1,16,1,N52SH,North Linac,1.2995,26.8,1.3093,16:51:49,1.3137,1.3131,-0.0437,-0.2900,-0.3355
Y-16-2,16,2,SmCo35,North Linac,1.0780,26.7,1.0809,16:52:12,1.0823,1.0831,0.0784,-0.2051,-0.1314
Y-16-3,16,3,N42EH,North Linac,1.1609,26.8,1.1688,16:52:52,1.1745,1.1733,-0.1002,-0.3793,-0.4811
Y-16-4,16,4,SmCo33H,North Linac,1.0366,27.3,1.0396,16:53:16,1.0408,1.0416,0.0813,-0.1899,-0.1132
Y-17-1,17,1,SmCo33H,North Linac,1.0389,27.2,1.0419,16:28:40,1.0437,1.0441,0.0387,-0.2097,-0.1715
Y-17-2,17,2,N52SH,North Linac,1.2967,27.3,1.3072,16:29:07,1.3082,1.3109,0.2094,-0.2798,-0.0740
Y-17-3,17,3,SmCo35,North Linac,1.0745,27.7,1.0778,16:29:39,1.0797,1.0799,0.0189,-0.1922,-0.1737
Y-17-4,17,4,N42EH,North Linac,1.1613,27.9,1.1705,16:31:23,1.1759,1.1739,-0.1651,-0.2895,-0.4590
Y-18-1,18,1,SmCo35,NE Arc,1.0764,27.9,1.0798,18:18:12,1.0813,1.0779,-0.3191,0.1764,-0.1386
Y-18-2,18,2,N42EH,NE Arc,1.1633,27.9,1.1725,18:17:51,1.1754,1.1712,-0.3518,0.1143,-0.2434
Y-18-3,18,3,SmCo33H,NE Arc,1.0338,28.0,1.0371,18:17:28,1.0405,1.0403,-0.0180,-0.3073,-0.3265
Y-18-4,18,4,N52SH,NE Arc,1.2954,27.9,1.3067,18:17:03,1.3090,1.3067,-0.1765,0.0006,-0.1751
Y-19-1,19,1,N42EH,SW Arc,1.1612,27.5,1.1700,12:32:48,1.1769,1.1719,-0.4236,-0.1646,-0.5887
Y-19-2,19,2,SmCo33H,SW Arc,1.0364,27.4,1.0395,12:33:39,1.0409,1.0401,-0.0768,-0.0603,-0.1371
Y-19-3,19,3,N52SH,SW Arc,1.2935,27.3,1.3040,12:34:02,1.3086,1.3045,-0.3137,-0.0352,-0.3484
Y-19-4,19,4,SmCo35,SW Arc,1.0763,27.5,1.0796,12:33:14,1.0809,1.0799,-0.0927,-0.0320,-0.1245
Y-20-1,20,1,N52SH,Labyrinth,1.2987,24.7,1.3055,09:04:25,1.3136,1.3115,-0.1607,-0.4581,-0.6172
Y-20-2,20,2,SmCo35,Labyrinth,1.0763,24.4,1.0782,09:03:57,1.0798,1.0785,-0.1202,-0.0282,-0.1485
Y-20-3,20,3,N42EH,Labyrinth,1.1618,25.2,1.1679,09:04:56,1.1749,1.1719,-0.2492,-0.3408,-0.5953
Y-20-4,20,4,SmCo33H,Labyrinth,1.0366,25.6,1.0389,09:05:19,1.0418,1.0424,0.0619,-0.3313,-0.2739
Y-21-1,21,1,SmCo33H,NE Arc,1.0351,27.9,1.0384,18:31:11,1.0390,1.0384,-0.0590,-0.0016,-0.0594
Y-21-2,21,2,N52SH,NE Arc,1.2928,27.7,1.3038,18:31:45,1.3087,1.3059,-0.2096,-0.1599,-0.3735
Y-21-3,21,3,SmCo35,NE Arc,1.0776,27.8,1.0810,18:32:06,1.0830,1.0828,-0.0167,-0.1690,-0.1874
Y-21-4,21,4,N42EH,NE Arc,1.1636,27.8,1.1727,18:32:41,1.1789,1.1756,-0.2800,-0.2476,-0.5269
Y-22-1,22,1,SmCo35,North Linac,1.0767,27.5,1.0800,17:08:26,1.0801,1.0826,0.2348,-0.2444,-0.0135
Y-22-2,22,2,N42EH,North Linac,1.1631,27.1,1.1714,17:08:50,1.1770,1.1761,-0.0742,-0.3972,-0.4734
Y-22-3,22,3,SmCo33H,North Linac,1.0366,27.3,1.0396,17:09:19,1.0425,1.0424,-0.0136,-0.2669,-0.2764
Y-22-4,22,4,N52SH,North Linac,1.2948,27.3,1.3052,17:09:40,1.3090,1.3089,-0.0087,-0.2792,-0.2868
Y-23-2,23,2,SmCo33H,SE Arc,1.0368,27.2,1.0398,09:56:22,1.0400,1.0390,-0.0928,0.0762,-0.0200
Y-23-3,23,3,N52SH,SE Arc,1.2995,27.1,1.3097,09:55:56,1.3127,1.3119,-0.0583,-0.1680,-0.2288
Y-23-4,23,4,SmCo35,SE Arc,1.0765,27.0,1.0795,09:55:26,1.0799,1.0796,-0.0308,-0.0058,-0.0335
Y-24-1,24,1,N52SH,South Linac,1.2954,26.3,1.3045,10:45:20,1.3105,1.3105,-0.0008,-0.4596,-0.4596
Y-24-2,24,2,SmCo35,South Linac,1.0748,26.7,1.0777,10:45:44,1.0794,1.0804,0.0980,-0.2498,-0.1574
Y-24-3,24,3,N42EH,South Linac,1.1707,26.7,1.1786,10:46:07,1.1842,1.1830,-0.1022,-0.3740,-0.4749
Y-24-4,24,4,SmCo33H,South Linac,1.0358,25.9,1.0383,10:44:56,1.0390,1.0390,-0.0035,-0.0721,-0.0721
Y-25-1,25,1,SmCo33H,NW Arc,1.0381,28.8,1.0417,15:05:37,1.0439,1.0448,0.0846,-0.2921,-0.2061
Y-25-2,25,2,N52SH,NW Arc,1.2924,28.6,1.3047,15:05:14,1.3103,1.3083,-0.1517,-0.2751,-0.4273
Y-25-3,25,3,SmCo35,NW Arc,1.0746,28.4,1.0782,15:04:52,1.0822,1.0804,-0.1662,-0.2001,-0.3661
Y-25-4,25,4,N42EH,NW Arc,1.1636,28.4,1.1734,15:04:27,1.1779,1.1744,-0.2948,-0.0840,-0.3809
Y-26-1,26,1,SmCo35,SE Arc,1.0770,27.1,1.0801,10:09:54,1.0811,1.0822,0.1050,-0.1958,-0.0942
Y-26-2,26,2,N42EH,SE Arc,1.1654,26.9,1.1735,10:10:40,1.1768,1.1766,-0.0177,-0.2613,-0.2783
Y-26-3,26,3,SmCo33H,SE Arc,1.0327,27.0,1.0356,10:09:31,1.0371,1.0370,-0.0099,-0.1342,-0.1438
Y-26-4,26,4,N52SH,SE Arc,1.2973,27.0,1.3074,10:09:09,1.3096,1.3098,0.0190,-0.1818,-0.1666
Y-30-1,30,1,SmCo35,South Linac,1.0775,25.8,1.0800,11:39:22,1.0816,1.0806,-0.0875,-0.0565,-0.1489
Y-30-2,30,2,N42EH,South Linac,1.1718,25.8,1.1787,11:38:55,1.1839,1.1800,-0.3302,-0.1143,-0.4434
Y-30-3,30,3,SmCo33H,South Linac,1.0344,25.6,1.0367,11:38:33,1.0397,1.0373,-0.2338,-0.0554,-0.2861
Y-30-4,30,4,N52SH,South Linac,1.2956,25.7,1.3038,11:37:07,1.3090,1.3055,-0.2672,-0.1284,-0.3954
Y-32-1,32,1,N52SH,SW Arc,1.2940,27.7,1.3050,12:14:37,1.3100,1.3045,-0.4159,0.0389,-0.3811
Y-32-2,32,2,SmCo35,SW Arc,1.0757,27.5,1.0789,12:14:59,1.0807,1.0783,-0.2235,0.0601,-0.1621
Y-32-3,32,3,N42EH,SW Arc,1.1627,27.6,1.1716,12:15:26,1.1765,1.1711,-0.4550,0.0431,-0.4161
Y-32-4,32,4,SmCo33H,SW Arc,1.0365,27.5,1.0396,12:15:48,1.0414,1.0413,-0.0050,-0.1610,-0.1706
Y-34-1,34,1,SmCo35,NW Arc,1.0794,28.5,1.0831,15:25:03,1.0854,1.0852,-0.0196,-0.1940,-0.2124
Y-34-2,34,2,N42EH,NW Arc,1.1678,28.5,1.1778,15:24:28,1.1833,1.1808,-0.2082,-0.2545,-0.4652
Y-34-3,34,3,SmCo33H,NW Arc,1.0354,28.5,1.0389,15:24:06,1.0405,1.0400,-0.0481,-0.1021,-0.1502
Y-34-4,34,4,N52SH,NW Arc,1.2940,28.4,1.3061,15:23:44,1.1775,1.3103,11.2819,-0.3187,10.9235
Y-36-1,36,1,N52SH,NW Arc,1.2955,28.6,1.3078,14:44:23,1.3120,1.3094,-0.1962,-0.1190,-0.3170
Y-36-2,36,2,SmCo35,NW Arc,1.0785,28.5,1.0822,14:44:45,1.0841,1.0834,-0.0634,-0.1107,-0.1752
Y-36-3,36,3,N42EH,NW Arc,1.1689,28.4,1.1788,14:45:07,1.1839,1.1813,-0.2166,-0.2103,-0.4294
Y-36-4,36,4,SmCo33H,NW Arc,1.0338,28.5,1.0373,14:45:48,1.0372,1.0396,0.2305,-0.2177,0.0132
Y-38-1,38,1,SmCo35,NW Arc,1.0767,28.0,1.0802,14:15:49,1.0813,1.0810,-0.0216,-0.0766,-0.1044
Y-38-2,38,2,N42EH,NW Arc,1.1662,28.3,1.1759,14:16:12,1.1839,1.1798,-0.3485,-0.3293,-0.6745
Y-38-3,38,3,SmCo33H,NW Arc,1.0335,28.4,1.0370,14:16:35,1.0362,1.0392,0.2929,-0.2122,0.0767
Y-38-4,38,4,N52SH,NW Arc,1.2921,28.6,1.3045,14:16:58,1.3107,1.3055,-0.3997,-0.0788,-0.4752
Y-39-1,39,1,N42EH,NE Arc,1.1692,26.5,1.1769,17:53:50,1.1839,1.1742,-0.8218,0.2304,-0.5909
Y-39-2,39,2,SmCo33H,NE Arc,1.0366,26.9,1.0395,17:54:21,1.0338,1.0381,0.4216,0.1305,0.5469
Y-39-3,39,3,N52SH,NE Arc,1.2985,27.2,1.3088,17:54:44,1.3118,1.3047,-0.5429,0.3162,-0.2267
Y-39-4,39,4,SmCo35,NE Arc,1.0757,27.4,1.0789,17:55:08,1.0816,1.0783,-0.2986,0.0550,-0.2502
Y-40-1,40,1,N52SH,SE Arc,1.2970,26.9,1.3069,10:24:04,1.3125,1.3112,-0.1005,-0.3291,-0.4278
Y-40-2,40,2,SmCo35,SE Arc,1.0791,26.8,1.0821,10:25:05,1.0837,1.0842,0.0526,-0.1976,-0.1516
Y-40-3,40,3,N42EH,SE Arc,1.1712,26.8,1.1792,10:23:40,1.1852,1.1843,-0.0756,-0.4315,-0.5071
Y-40-4,40,4,SmCo33H,SE Arc,1.0344,26.5,1.0371,10:23:15,1.1101,1.0419,-6.1428,-0.4605,-6.5758
