plate,region,sub_location,line,cum_body_mrem,cum_photon_mrem,cum_beta_mrem,cum_neutron_mrem,cum_nt_mrem,cum_nf_mrem,is_lower_bound,n_saturated,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff
15,SE Arc,upstream Girder 27,1,1193510.0,1173990.0,0.0,19520.0,1570.0,17950.0,False,0,-0.2615491103445808,-0.06856832096691856,0.10371133160452964,-0.05232994149651379,-0.16505871565574967,0.025690695054007923,-0.1907494107097576
3,SE Arc,upstream Girder 27,2,2750568.0,1728384.0,414.0,21770.0,1710.0,20060.0,True,1,-0.151524408672979,-0.12371148247792679,0.06355124726996642,-0.12199017671007843,-0.1376179455754529,-0.02921946472005601,-0.10839848085539688
23,SE Arc,upstream Girder 27,3,4299449.0,1027440.0,240209.0,31800.0,2360.0,29440.0,True,3,-0.13637212922582218,-0.0582521058995118,-0.09279413827330103,-0.03083756838182323,-0.09731211756266699,-0.061815853327562134,-0.03549626423510485
26,SE Arc,upstream Girder 27,4,1726554.0,1411640.0,290684.0,24230.0,1830.0,22400.0,False,0,-0.017745196861713327,0.01897783301457267,-0.009860001741030595,0.10503446522077832,0.000616318076429671,0.047587231739873864,-0.04697091366344419
40,SE Arc,upstream Girder 27,5,1393390.0,1319775.0,51885.0,21730.0,1550.0,20180.0,False,0,-0.07556663697975223,-0.10051138293847518,nan,0.052570509942457905,-0.0880390099591137,0.052570509942457905,-0.1406095199015716
39,NE Arc,above JD3A06,1,3197657.0,2152023.0,30604.0,15030.0,1500.0,13500.0,True,1,-0.8218182662250585,-0.5429252701088751,0.42157519079061306,-0.2985566246901072,-0.6823717681669668,0.06150928305025294,-0.7438810512172197
7,NE Arc,above JD3A06,2,6547939.0,1526744.0,1395.0,19800.0,1620.0,18180.0,True,5,-0.4154594797274984,-0.41159662535100894,-0.07505057288954596,-0.14090561814444044,-0.4135280525392537,-0.1079780955169932,-0.3055499570222605
18,NE Arc,above JD3A06,3,6903455.0,875361.0,794.0,27300.0,2320.0,24980.0,True,6,-0.35183106583097934,-0.17652632331507442,-0.017984040239231155,-0.3190717191413108,-0.2641786945730269,-0.16852787969027097,-0.09565081488275592
21,NE Arc,above JD3A06,4,7508147.0,494551.0,726.0,12870.0,1120.0,11750.0,True,7,-0.27999670102723984,-0.20957593968099833,-0.0590298224235763,-0.016699882931564883,-0.24478632035411907,-0.037864852677570594,-0.20692146767654848
9,NE Arc,above JD3A06,5,7534059.0,501300.0,22629.0,10130.0,880.0,9250.0,True,7,-0.21896968602938727,-0.4219362165051085,0.03425597703307749,-0.2064971558991715,-0.3204529512672479,-0.08612058943304701,-0.23433236183420086
38,NW Arc,above MJC4A24,1,970933.0,961201.0,1582.0,8150.0,570.0,7580.0,False,0,-0.34854348610664004,-0.3997300330462366,0.29294790978586194,-0.02155515149561478,-0.3741367595764383,0.13569637914512359,-0.5098331387215619
6,NW Arc,above MJC4A24,2,6125186.0,1110931.0,765.0,13490.0,870.0,12620.0,True,5,-0.30249748497804235,-0.10848429101534747,0.10304849695336633,0.08027507489669211,-0.2054908879966949,0.09166178592502922,-0.2971526739217241
