plate,date,rod_id
Hs-1,2025-03-12,R-40
Hs-1,2025-03-25,R-139
Hs-1,2025-04-08,R-188
Hs-1,2025-04-23,R-222
Hs-1,2025-05-07,R-289
Hs-1,2025-05-21,R-339
Hs-1,2025-06-17,R-410
Hs-1,2025-07-02,R-486
Hs-1,2025-07-30,R-548
Hs-1,2025-08-27,R-600
Hs-1,2025-09-10,R-664
Hs-1,2026-01-12,R-722
Hs-2,2025-03-12,R-31
Hs-2,2025-03-25,R-140
Hs-2,2025-04-08,R-169
Hs-2,2025-04-23,R-221
Hs-2,2025-05-07,R-319
Hs-2,2025-05-21,R-347
Hs-2,2025-06-17,R-399
Hs-2,2025-07-02,R-478
Hs-2,2025-07-30,R-537
Hs-2,2025-08-27,R-598
Hs-2,2025-09-10,R-653
Hs-2,2026-01-12,R-723
Hs-3,2025-03-12,R-76
Hs-3,2025-03-25,R-72
Hs-3,2025-04-08,R-148
Hs-3,2025-04-23,R-207
Hs-3,2025-05-07,R-294
Hs-3,2025-05-21,R-344
Hs-3,2025-06-17,R-422
Hs-3,2025-07-02,R-481
Hs-3,2025-07-30,R-549
Hs-3,2025-08-27,R-615
Hs-3,2025-09-10,R-661
Hs-3,2026-01-12,R-704
Hs-4,2025-02-18,R-80
Hs-4,2025-03-12,R-90
Hs-4,2025-03-25,R-106
Hs-4,2025-04-08,R-175
Hs-4,2025-04-23,R-202
Hs-4,2025-05-07,R-297
Hs-4,2025-05-21,R-358
Hs-4,2025-06-11,R-425
Hs-4,2025-07-02,R-469
Hs-4,2025-07-17,R-517
Hs-4,2025-08-27,R-581
Hs-4,2025-09-10,R-643
Hs-4,2026-01-12,R-688
Hs-5,2025-02-18,R-66
Hs-5,2025-03-12,R-118
Hs-5,2025-03-25,R-53
Hs-5,2025-04-08,R-197
Hs-5,2025-04-23,R-239
Hs-5,2025-05-07,R-264
Hs-5,2025-05-21,R-373
Hs-5,2025-06-17,R-384
Hs-5,2025-07-02,R-482
Hs-5,2025-07-30,R-552
Hs-5,2025-08-27,R-620
Hs-5,2025-09-10,R-674
Hs-5,2026-01-12,R-724
Hn-6,2025-02-18,R-6
Hn-6,2025-03-12,R-133
Hn-6,2025-03-25,R-137
Hn-6,2025-04-08,R-192
Hn-6,2025-04-23,R-212
Hn-6,2025-05-07,R-286
Hn-6,2025-05-21,R-350
