plate,date,photon_cum_rem,sigma_p_rem,neutron_cum_rem,sigma_n_rem,days_since_install
Hs-1,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-1,2025-05-07,63.034,0.0,2.05,0.0,117.0
Hs-1,2025-07-30,1481.017,0.0,29.730000000000004,0.0,201.0
Hs-1,2025-08-27,1668.789,0.0,29.730000000000004,0.0,229.0
Hs-1,2025-10-29,1729.814,0.0,29.730000000000004,0.0,243.0
Hs-1,2026-01-12,1729.8200000000002,0.0,29.730000000000004,0.0,367.0
Hs-2,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-2,2025-05-07,245.031,0.0,2.71,0.0,117.0
Hs-2,2025-07-30,14049.532,489.4400000000005,24.19,0.0,201.0
Hs-2,2025-08-27,22886.252,1372.5600000000009,24.19,0.0,229.0
Hs-2,2025-10-29,22886.252,1372.5600000000009,24.23,0.0,243.0
Hs-2,2026-01-12,22886.257,1372.5600000000009,24.23,0.0,367.0
Hs-3,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-3,2025-05-07,449.846,0.0,1.75,0.0,117.0
Hs-3,2025-07-30,13774.756,234.07999999999947,19.86,0.0,201.0
Hs-3,2025-08-27,25973.716,1329.9999999999986,19.86,0.0,229.0
Hs-3,2025-10-29,28490.276,1766.2399999999984,19.86,0.0,243.0
Hs-3,2026-01-12,28490.276,1766.2399999999984,19.86,0.0,367.0
Hs-4,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-4,2025-05-07,11.975,0.0,1017.5,0.0,117.0
Hs-4,2025-05-21,13.911,0.0,1022.88,0.0,131.0
Hs-4,2025-06-11,16.691,0.0,1024.17,0.0,152.0
Hs-4,2025-07-17,22.293,0.0,1025.7200000000003,0.0,188.0
Hs-4,2025-08-27,30.09,0.0,1027.3400000000001,0.0,229.0
Hs-4,2025-10-21,31.544,0.0,1027.5200000000002,0.0,243.0
Hs-4,2026-01-12,31.566,0.0,1027.5200000000002,0.0,367.0
Hs-5,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hs-5,2025-04-23,3.162,0.0,12.209999999999999,0.0,103.0
Hs-5,2025-05-07,3.657,0.0,12.879999999999999,0.0,117.0
Hs-5,2025-05-21,9.253,0.0,14.919999999999998,0.0,131.0
Hs-5,2025-07-30,70.61699999999999,0.0,17.18,0.0,201.0
Hs-5,2025-08-27,102.81799999999998,0.0,17.759999999999998,0.0,229.0
Hs-5,2025-10-21,114.67999999999998,0.0,17.759999999999998,0.0,243.0
Hs-5,2026-01-12,114.70199999999998,0.0,17.759999999999998,0.0,367.0
Hn-6,2024-11-21,1.829,0.0,0.0,0.0,17.0
Hn-6,2025-04-23,271212.6296666667,44002.98060017883,18079.268444444446,2933.532040011922,103.0
Hn-6,2025-05-07,418075.90300000005,69016.95844400224,27870.153333333335,4601.130562933483,117.0
Hn-6,2025-07-30,1063343.483,174623.1667489592,70887.992,11641.544449930614,201.0
Hn-6,2025-08-27,1230781.3296666667,186553.8803933124,82050.5151111111,12436.925359554161,229.0
Hn-6,2025-10-21,1318041.0763333333,223909.624454865,87867.83155555555,14927.308296991001,243.0
Hn-6,2026-01-12,1318041.1363333333,223909.624454865,87867.83155555555,14927.308296991001,367.0
Hs-6,2024-11-22,0.0,0.0,0.0,0.0,0.0
Hs-6,2025-05-07,431.087,0.0,1002.0500000000001,0.0,117.0
Hs-6,2025-05-21,1931.087,500.0,1003.1400000000001,0.0,131.0
Hs-6,2025-06-11,12278.686999999998,1042.6400000000003,1003.8600000000001,0.0,152.0
Hs-6,2025-07-17,40151.547,1546.3200000000024,1005.19,0.0,188.0
Hs-6,2025-08-27,83853.237,5664.43870592629,1005.8000000000001,0.0,229.0
Hs-6,2025-10-23,89529.877,5834.67870592629,1005.97,0.0,243.0
Hs-6,2026-01-08,89529.88299999999,5834.67870592629,1005.97,0.0,363.0
Hs-7,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hs-7,2025-05-07,297.00199999999995,0.0,1020.95,0.0,117.0
Hs-7,2025-05-21,332.1859999999999,0.0,1023.34,0.0,131.0
Hs-7,2025-06-11,405.9099999999999,0.0,1025.6200000000001,0.0,152.0
Hs-7,2025-07-17,549.4189999999999,0.0,2027.2,0.0,188.0
Hs-7,2025-08-27,747.7159999999999,0.0,2032.6200000000001,0.0,229.0
Hs-7,2025-10-21,780.5079999999999,0.0,2034.2500000000002,0.0,243.0
Hs-7,2026-01-12,780.5179999999999,0.0,2034.2500000000002,0.0,367.0
Hn-8,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hn-8,2025-04-23,154.03300000000002,0.0,7.32,0.0,103.0
Hn-8,2025-05-21,171.91500000000002,0.0,7.510000000000001,0.0,131.0
Hn-8,2025-07-30,1045.922,0.0,21.33,0.0,201.0
Hn-8,2025-08-27,1266.272,0.0,22.279999999999998,0.0,229.0
Hn-8,2025-10-21,1307.498,0.0,22.279999999999998,0.0,243.0
Hn-8,2026-01-08,1307.5040000000001,0.0,22.279999999999998,0.0,363.0
Hn-9,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hn-9,2025-04-23,609.677,0.0,6.98,0.0,103.0
Hn-9,2025-05-21,645.072,0.0,7.28,0.0,131.0
Hn-9,2025-07-30,2533.139,500.0,25.890000000000004,0.0,201.0
Hn-9,2025-08-27,2713.605,500.0,27.380000000000003,0.0,229.0
Hn-9,2025-10-21,2730.619,500.0,27.410000000000004,0.0,243.0
Hn-9,2026-01-08,2730.6290000000004,500.0,27.410000000000004,0.0,363.0
Hn-10,2024-11-19,0.0,0.0,0.0,0.0,0.0
Hn-10,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hn-10,2025-04-23,140.864,0.0,5.05,0.0,103.0
