 2024-04-24-09:52:48		R-1	0.048	0.028	0.058	21.650
 2024-04-24-10:11:59		R-1	0.036	0.030	0.051	23.826
 2024-04-24-10:39:25		R-1	0.036	0.018	0.038	22.247
 2024-04-24-10:52:22		R-1	0.035	0.015	0.036	22.373
 2024-04-26-11:42:39	XA02737341J	R-1	-24.125	-0.662	26.095	24.665
 2024-05-06-09:55:28	XA02737341J	R-1	4.777	2.351	4.944	25.165
 2024-05-06-10:42:45	XA02737341J	R-1	0.135	2.040	5.486	25.318
 2024-06-24-12:16:06	XA02737341J	R-1	4.805	2.110	0.978	26.231
 2024-07-23	10:59:00			-11.332	0.143	9.349	22.188
 2024-07-23	11:05:29			-11.489	0.140	9.680	22.148
 2024-07-23	11:10:18			-11.499	0.139	9.820	22.142
 2024-07-23	11:15:43			-11.222	0.136	9.817	22.169
 2024-07-23	11:20:08			-11.198	0.134	9.930	22.179
 2024-07-23	11:25:12			-11.182	0.135	9.938	22.203
 2024-07-23	11:36:24			-11.074	0.134	10.074	22.213
 2024-07-23	11:41:05			-10.897	0.127	9.865	22.237
 2024-07-23	11:46:36			-11.014	0.128	10.145	22.252
 2024-07-23	11:51:17			-11.028	0.127	9.899	22.239
 2024-07-23	11:55:11			-10.904	0.127	10.149	22.258
 2024-07-23	12:01:32			-10.790	0.135	9.881	22.329
 2024-07-23	14:24:01			-20.894	-0.647	8.196	23.125
 2024-07-23	15:21:29		R-3	-20.381	-0.167	8.602	23.121
 2024-07-23	15:35:53		R-3	-19.091	-0.155	8.244	23.405
 2024-07-23	15:44:28		R-3	-18.494	-0.115	7.507	23.590
 2024-07-23	15:56:17		R-3	-19.626	-0.186	7.925	23.279
 2024-07-23	16:08:17		R-3	-20.046	-0.082	7.905	23.168
 2024-07-23	16:35:24			-19.767	-0.068	8.224	23.295
 2024-11-05	11:41:17	Xnodose	RNoRod	3.577	3.831	8.646	24.342
 2025-07-30	11:25:55	XA00036404R	R-547	77.694	6.947	4.863	32.215
 2025-08-27	09:10:24	XA008194587	R-606	77.111	6.278	4.659	31.238
 2025-10-21	09:26:10	XnoDosimeter	Rnorod	77.493	6.831	4.729	23.490
 2026-01-12	11:05:48	XA005424599	R-706	78.205	7.351	4.825	27.674
