 2024-04-24-09:52:48		R-1	0.044	0.027	0.056	21.652
 2024-04-24-10:11:59		R-1	0.037	0.029	0.049	23.588
 2024-04-24-10:39:25		R-1	-14.077	-35.177	-70.934	22.298
 2024-04-24-10:52:22		R-1	0.034	0.016	0.038	22.360
 2024-04-26-11:42:39	XA02737341J	R-1	-24.125	-0.662	26.095	24.665
 2024-05-06-09:55:28	XA02737341J	R-1	-23.401	0.164	7.572	25.151
 2024-05-06-10:42:45	XA02737341J	R-1	-24.167	-0.441	7.227	25.599
 2024-06-24-12:16:06	XA02737341J	R-1	-17.941	-0.786	3.707	26.361
 2024-07-23	13:44:31			16.788	-0.938	8.892	23.673
 2024-07-23	13:58:01			17.644	-0.671	9.437	23.328
 2024-07-23	14:07:34			18.584	-0.667	10.132	23.043
 2024-07-23	14:13:30			18.879	-0.669	10.033	22.961
 2024-07-23	14:20:35			19.067	-0.670	10.199	22.924
 2024-07-23	14:24:01			19.109	-0.673	10.290	22.906
 2024-07-23	14:31:24		R-3	17.871	-0.359	9.411	23.334
 2024-07-23	14:35:47		R-3	18.156	-0.361	9.515	23.220
 2024-07-23	14:41:43		R-3	18.398	-0.360	9.762	23.155
 2024-07-23	15:03:30		R-3	18.432	-0.362	9.874	23.160
 2024-07-23	15:06:16		R-3	18.446	-0.364	9.818	23.142
 2024-07-23	15:10:40		R-3	18.348	-0.363	9.745	23.140
 2024-07-23	15:21:29		R-3	18.398	-0.361	9.696	23.133
 2024-07-23	15:35:53		R-3	15.322	0.190	8.081	24.065
 2024-07-23	15:44:28		R-3	17.439	-0.564	8.990	23.435
 2024-07-23	15:56:17		R-3	18.056	-0.444	9.736	23.204
 2024-07-23	16:35:24			17.720	-0.138	9.558	23.272
 2024-11-05	11:41:17	Xnodose	RNoRod	-18.975	-7.016	3.069	25.283
 2025-07-30	11:25:55	XA00036404R	R-547	-140.224	-9.016	-2.132	32.264
 2025-08-27	09:10:24	XA008194587	R-606	-140.033	-8.993	-2.522	31.288
 2025-10-21	09:26:10	XnoDosimeter	Rnorod	-140.346	-10.042	-2.459	23.522
 2026-01-12	11:05:48	XA005424599	R-706	-140.258	-9.339	-2.275	28.016
