assembly_id,plate,slot,pair,material,region,baseline_mean,latest_mean,pct_change,n_baseline,temp_corrected,environment,is_outlier
An-10-1-1,10,1,1,NdFeB,SE Arc,1.5514,1.5554,0.2561,1,True,tunnel,False
An-10-1-2,10,1,2,NdFeB,SE Arc,1.5489,1.5499,0.0642,1,True,tunnel,False
An-10-2-1,10,2,1,NdFeB,SE Arc,1.5539,1.5556,0.1139,1,True,tunnel,False
An-10-2-2,10,2,2,NdFeB,SE Arc,1.5514,1.5534,0.1239,1,True,tunnel,False
An-10-3-1,10,3,1,NdFeB,SE Arc,1.5525,1.5526,0.0079,1,True,tunnel,False
An-10-3-2,10,3,2,NdFeB,SE Arc,1.5573,1.5577,0.0283,1,True,tunnel,False
An-10-4-1,10,4,1,NdFeB,SE Arc,1.5618,1.5612,-0.0412,1,True,tunnel,False
An-11-1-1,11,1,1,NdFeB,NW Arc,1.5599,1.5612,0.0842,1,True,tunnel,False
An-11-1-2,11,1,2,NdFeB,NW Arc,1.5599,1.5596,-0.0168,1,True,tunnel,False
An-11-2-1,11,2,1,NdFeB,NW Arc,1.5625,1.5633,0.0505,1,True,tunnel,False
An-11-2-2,11,2,2,NdFeB,NW Arc,1.5581,1.5606,0.1638,1,True,tunnel,False
An-11-3-1,11,3,1,NdFeB,NW Arc,1.5532,1.5576,0.2854,1,True,tunnel,False
An-11-4-1,11,4,1,NdFeB,NW Arc,1.5587,1.5613,0.168,1,True,tunnel,False
An-11-4-2,11,4,2,NdFeB,NW Arc,1.5516,1.5536,0.1302,1,True,tunnel,False
An-12-1-1,12,1,1,NdFeB,NW Arc,1.5451,1.5435,-0.1031,1,True,tunnel,False
An-12-1-2,12,1,2,NdFeB,NW Arc,1.5606,1.5579,-0.1689,1,True,tunnel,False
An-12-2-1,12,2,1,NdFeB,NW Arc,1.544,1.5405,-0.2268,1,True,tunnel,False
An-12-2-2,12,2,2,NdFeB,NW Arc,1.5576,1.5533,-0.2772,1,True,tunnel,False
