 2024-11-05	11:58:44	Xnodosimeter	RNoRod	+1.1744 mWC 
 2025-01-27	11:40:40	XA023482199	RnoRod	1337 nonunit 2025-02-18	10:53:53	XA00793422D	R-9	1337 nonunits
 2025-03-05	09:18:41	XA00263027M	Rnorod	1337 nonunits
 2025-03-12	10:21:12	XA00634143R	R-101	1337 nonunits
 2025-03-25	09:59:06	XA007794833	R-136	1337 nonunits
 2025-04-08	09:44:57	XA02887669K	R-185	1337 nonunits
 2025-04-23	11:53:43	XA01358214J	R-213	1337 nonunits
 2025-04-23	13:53:47	XnoDosimeter	Rnorod	+1.1650 mWC 

 2025-05-07	12:50:41	XA023254689	R-299	+1.1665 mWC 

 2025-05-21	13:31:19	XA012854937	R-363	1337 nonunits
 2025-06-17	11:45:07	XA02366996R	R-424	1337 nonunits
 2025-07-02	10:16:18	XA01270430Q	R-483	1337 nonunits
