2024-11-07	16:21:39	XNoDosimeter	RNoRod	+1.0792	mWC
2025-03-12	10:11:00	XA01251792D	R-25	1337	nonunits
2025-03-25	09:49:04	XA01891298X	R-121	1337	nonunits
2025-04-08	09:34:50	XA04105754E	R-173	1337	nonunits
2025-04-23	12:03:28	XA009505478	R-233	1337	nonunits
2025-04-23	13:00:47	XnoDosimeter	Rnorod	+1.0745	mWC
2025-05-07	09:39:08	XA001519865	R-280	1337	nonunits
2025-05-21	09:36:15	XA02902516H	R-337	+1.0762	mWC
2025-06-17	11:28:31	XA006980748	R-418	1337	nonunits
2025-07-02	10:00:50	XA009158772	R-493	1337	nonunits
