 2024-11-11	16:37:39	XNoDosimeter	RNoRod	+0.0458 mWC 

 2025-03-12	09:13:32	XA015128876	R-38	1337 nonunits
 2025-03-25	09:15:41	XA00918365E	R-128	1337 nonunits
 2025-04-08	08:42:42	XA01809651H	R-190	1337 nonunits
 2025-04-23	11:29:34	XA00718119H	R-255	1337 nonunits
 2025-05-07	11:27:32	XA008555573	R-275	-0.0019 mWC 

 2025-05-21	13:01:48	XA01911176K	R-369	+0.0011 mWC 

 2025-06-11	12:31:57	XA009328185	R-392	1337 nonunits
 2025-06-17	10:44:50	XnoDosimeter	Rnorod	+0.0033 mWC 

 2025-07-02	10:48:09	XA00825526E	R-453	1337 nonunits
 2025-07-17	10:02:07	XA005757049	R-536	+0.0022 mWC 
