 2024-05-02-15:27:17			-0.3876 kT  
 2024-05-02-15:36:56			
 2024-05-02-15:41:51			-0.5895 kT  
 2024-05-02-15:42:04			-0.5952 kT  
 2024-05-02-15:42:54			-0.6035 kT  
 2024-05-02-15:50:42			
 2024-05-02-15:51:15			
 2024-05-02-15:55:15			
 2024-05-02-16:13:52			
 2024-05-02-16:14:25			
 2024-05-06-09:55:30	XA02737341J	R-1	+0.7903 kT  
 2024-05-06-10:43:01	XA02737341J	R-1	+0.7952 kT  
 2024-06-24-12:19:46	XA02737341J	R-1	+38.187 kBG 
 2024-07-23	15:00:15		R-3	+0.0038 mWC 
 2024-08-12	14:51:12			+1.170 mWC 
 2024-11-05	11:37:23	Xnodose	RNoRod	+1.0359 mWC 
 2025-01-27	11:35:07	XA008395747	RnoRod	1337 nonunit
 2025-02-18	11:00:17	XA017925080	R-35	1337 nonunits
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337 nonunits
 2025-03-12	10:24:17			1337 nonunits
 2025-03-12	10:24:49	XA00594213H	R-105	1337 nonunits
 2025-03-25	10:01:54	XA006308784	R-115	1337 nonunits
 2025-04-08	09:48:36	XA041356194	R-145	1337 nonunits
 2025-04-23	11:50:07	XA007949602	R-208	1337 nonunits
 2025-04-23	14:06:29	XnoDosimeter	Rnorod	+1.0356 mWC 

 2025-05-07	12:35:23	XA00621159J	R-281	+1.0356 mWC 

 2025-05-21	13:27:29	XA02360080S	R-351	1337 nonunits
 2025-06-17	11:48:48	XA007075887	R-400	1337 nonunits
 2025-07-02	10:21:48	XA00735803F	R-479	1337 nonunits
