 2024-11-14	14:28:49	XnnoDositmeter	RnoRod	+1.5375 mWC 

 2024-11-18	15:19:07	XNoDosimeter	RnoRod	+1.5352 mWC 

 2025-03-12	10:12:13	XA02076598W	R-32	1337 nonunits
 2025-03-25	09:48:23	XA00740420U	R-4	1337 nonunits
 2025-04-08	09:35:28	XA007631895	R-189	1337 nonunits
 2025-04-23	12:04:10	XA017860088	R-238	1337 nonunits
 2025-04-23	13:04:56	XnoDosimeter	Rnorod	+1.5281 mWC 

 2025-05-07	09:39:45	XA02150396D	R-271	1337 nonunits
 2025-05-21	09:43:11	XA00710532T	R-348	+1.5280 mWC 

 2025-06-17	11:29:17	XA00778597T	R-396	1337 nonunits
