 2024-05-02-15:19:33			I-0.2663 kT  
 2024-05-02-15:21:18			-0.2927 kT  
 2024-05-02-15:41:23			-0.5868 kT  
 2024-05-02-15:45:40			
 2024-05-02-15:45:43			
 2024-05-02-15:45:49			-0.6448 kT  
 2024-05-02-15:45:54			
 2024-05-02-15:48:56			
 2024-11-05	11:51:33			+1.0385 mWC 
 2024-11-05	13:18:05	XNoDosimeter	RNoRod	+1.3065 mWC 
 2024-11-05	16:13:07	XNoDosimeter	Rnorod	+1.0377 mWC 
 2024-11-05	16:36:50	XNoDosimeter	RNoRod	+1.0395 mWC 
 2024-11-07	14:38:07	XNoDosimeter	RNoRod	+1.1705 mWC 
 2024-11-18	14:49:11	Xnodosimeter	Rnorod	+1.5408 mWC 
 2024-11-18	14:51:12	Xnodosimeter	Rnorod	
 2024-11-19	11:21:37	XNoDosimeter	RNoRod	+1.5401 mWC 
 2024-11-19	11:21:50	XNoDosimeter	RNoRod	
 2024-11-19	12:51:38	XNoDosimeter	RNoRod	
 2024-11-20	10:16:24	XNoDosimeter	RNoRod	+1.5509 mWC 
 2024-11-20	15:31:27	XNoDosimeter	RNoRod	+1.3589 mWC 
 2024-11-20	16:39:53	XnoDosimetry	RnoRod	+1.3604 mWC 
 2024-11-21	12:24:46	XNoDosimeter	RNoRod	+2.7301 mWC 
 2024-11-21	16:48:06	XNoDosimeter	RNoRod	+1.3495 mWC 
 2024-11-21	16:52:26	XNoDosimeter	RNoRod	+1.3642 mWC 
 2024-12-04	13:05:21	XNoDosimeter	RNoRod	+0.0000 mWC 
 2025-02-05	11:07:29	XnoDosimeter	RnoRod	+1.5406 mWC 
 2025-02-05	15:24:06	Xnodosimeter	RnoRod	+0.0087 mWC 
 2025-02-06	15:18:42	Xnodosimeter	Rnorod	
