 2024-04-22-15:49:44				
 2024-04-22-15:59:49				
 2024-04-22-17:01:46	XA02737341J	R-1				
 2024-04-24-09:52:48		R-1	0.048	0.028	0.058	21.650
 2024-04-24-10:11:59		R-1	0.036	0.030	0.051	23.826
 2024-04-24-10:39:25		R-1	0.036	0.018	0.038	22.247
 2024-04-24-10:52:22		R-1	0.035	0.015	0.036	22.373
 2024-04-26-11:42:39	XA02737341J	R-1	-24.125	-0.662	26.095	24.665
 2024-05-02-15:36:57						
 2024-05-02-15:45:09						
 2024-05-02-15:45:39						
 2024-05-02-15:48:53						
 2024-05-02-15:50:40						
 2024-05-02-15:51:35						
 2024-05-02-15:55:13						
 2024-05-02-16:13:50						
 2024-05-02-16:14:26						
 2024-05-06-09:55:28	XA02737341J	R-1	4.777	2.351	4.944	25.165
 2024-05-06-10:42:45	XA02737341J	R-1	0.135	2.040	5.486	25.318
 2024-06-24-12:16:06	XA02737341J	R-1	4.805	2.110	0.978	26.231
 2024-07-10-11:24:16						
 2024-07-19-16:03:43						
 2024-07-19-16:06:43						
 2024-07-19-16:09:45						
 2024-07-19-16:12:58						
 2024-07-19-16:16:07						
 2024-07-19-16:19:11						
 2024-07-19-16:22:19						
 2024-07-19-16:25:30						
 2024-07-19-16:28:39						
 2024-07-19-16:31:41						
 2024-07-19-16:34:48						
 2024-07-19-16:37:53						
 2024-07-19-16:40:58						
 2024-07-19-16:43:58						
 2024-07-22	15:10:50						
 2024-07-22	15:14:15						
 2024-07-22	15:17:28						
 2024-07-22	15:20:29						
 2024-07-22	15:23:41						
 2024-07-22	15:26:50						
 2024-07-22	15:30:00						
 2024-07-22	15:33:08						
 2024-07-22	15:36:13						
 2024-07-22	15:39:32						
 2024-07-22	15:45:28						
 2024-07-22	15:48:43						
 2024-07-22	15:51:58						
 2024-07-22	15:55:10						
 2024-07-22	15:58:18						
 2024-07-22	16:01:31						
 2024-07-22	16:04:45						
 2024-07-22	16:07:57						
 2024-07-22	16:19:42						
 2024-07-22	16:22:55						
 2024-07-22	16:26:10						
 2024-07-22	16:29:18						
 2024-07-22	16:32:32						
 2024-07-22	16:35:43						
 2024-07-22	16:38:51						
 2024-07-22	16:42:03						
 2024-07-22	16:45:15						
 2024-07-22	16:56:40						
 2024-07-23	10:59:00			-11.332	0.143	9.349	22.188
 2024-07-23	11:05:29			-11.489	0.140	9.680	22.148
 2024-07-23	11:10:18			-11.499	0.139	9.820	22.142
 2024-07-23	11:15:43			-11.222	0.136	9.817	22.169
 2024-07-23	11:20:08			-11.198	0.134	9.930	22.179
 2024-07-23	11:25:12			-11.182	0.135	9.938	22.203
 2024-07-23	11:36:24			-11.074	0.134	10.074	22.213
 2024-07-23	11:41:05			-10.897	0.127	9.865	22.237
 2024-07-23	11:46:36			-11.014	0.128	10.145	22.252
 2024-07-23	11:51:17			-11.028	0.127	9.899	22.239
 2024-07-23	11:55:11			-10.904	0.127	10.149	22.258
 2024-07-23	12:01:32			-10.790	0.135	9.881	22.329
 2024-07-23	13:44:31						
 2024-07-23	13:58:01						
 2024-07-23	14:07:34						
 2024-07-23	14:13:30						
 2024-07-23	14:20:35						
 2024-07-23	14:24:01			-20.894	-0.647	8.196	23.125
 2024-07-23	14:31:24		R-3				
 2024-07-23	14:35:47		R-3				
 2024-07-23	14:41:43		R-3				
 2024-07-23	15:03:30		R-3				
 2024-07-23	15:06:16		R-3				
 2024-07-23	15:10:40		R-3				
 2024-07-23	15:21:29		R-3	-20.381	-0.167	8.602	23.121
 2024-07-23	15:35:53		R-3	-19.091	-0.155	8.244	23.405
 2024-07-23	15:44:28		R-3	-18.494	-0.115	7.507	23.590
 2024-07-23	15:56:17		R-3	-19.626	-0.186	7.925	23.279
 2024-07-23	16:08:17		R-3	-20.046	-0.082	7.905	23.168
 2024-07-23	16:35:24			-19.767	-0.068	8.224	23.295
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-09-17	10:27:18	XA02737341J	R-2				
 2024-11-05	11:41:17	Xnodose	RNoRod	3.577	3.831	8.646	24.342
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
 2025-05-21	13:27:29	XA02360080S	R-351	1337	1337	1337	1337
