 2024-11-20	16:03:31	XnoDositmetry	RNoRod	+2.7286 mWC 
 2025-01-27	11:29:44	XA00642026P	RnoRod	1337 nonunit 2025-02-18	11:03:54	XA01049024Q	R-12	1337 nonunits
 2025-03-05	09:24:44	XA01190126I	Rnorod	1337 nonunits
 2025-03-12	10:26:39	XA013718439	R-125	1337 nonunits
 2025-03-25	10:02:55	XA008277276	R-59	1337 nonunits
 2025-04-08	09:51:52	XA024418185	R-172	1337 nonunits
 2025-04-23	11:47:42	XA023495184	R-203	1337 nonunits
 2025-04-23	14:21:36	XnoDosimeter	Rnorod	+2.7171 mWC 
 2025-05-07	12:24:21	XA02109371Q	R-302	+2.7255 mWC 
 2025-05-21	13:24:43	XA006345398	R-349	1337 nonunits
