 2024-04-22-15:49:52				
 2024-04-22-17:01:55	XA02737341J	R-1				
 2024-05-02-16:14:06						
 2024-05-02-16:14:37						
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-11-05	11:46:33	Xnodose	RNoRod	-5.333	-154.905	106.160	24.723
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
