 2024-11-11	16:42:29	XNoDosimeter	RNoRod	-8.971	25.952	65.570	23.085
 2025-03-12	09:13:32	XA015128876	R-38	1337	1337	1337	1337
 2025-03-25	09:15:41	XA00918365E	R-128	1337	1337	1337	1337
 2025-04-08	08:42:42	XA01809651H	R-190	1337	1337	1337	1337
 2025-04-23	11:29:34	XA00718119H	R-255	1337	1337	1337	1337
 2025-06-11	12:31:57	XA009328185	R-392	1337	1337	1337	1337
 2025-07-02	10:48:09	XA00825526E	R-453	1337	1337	1337	1337
 2025-07-17	10:01:41	XA005757049	R-536	-0.681	16.671	96.280	32.990
 2025-08-27	11:27:55	XA00780028E	R-572	-1.646	18.719	87.347	31.202
 2025-09-10	11:00:08	XA00922006S	R-628	1337	1337	1337	1337
 2025-10-23	11:29:50	XnoDosimeter	Rnorod	-1.862	19.187	96.610	29.001
