 2024-11-11	16:42:29	XNoDosimeter	RNoRod	-21.189	-124.013	4.899	23.587
 2025-03-12	09:13:32	XA015128876	R-38	1337	1337	1337	1337
 2025-03-25	09:15:41	XA00918365E	R-128	1337	1337	1337	1337
 2025-04-08	08:42:42	XA01809651H	R-190	1337	1337	1337	1337
 2025-04-23	11:29:34	XA00718119H	R-255	1337	1337	1337	1337
 2025-06-11	12:31:57	XA009328185	R-392	1337	1337	1337	1337
 2025-07-02	10:48:09	XA00825526E	R-453	1337	1337	1337	1337
 2025-07-17	10:01:41	XA005757049	R-536	-98.527	-130.658	7.397	33.390
 2025-08-27	11:27:55	XA00780028E	R-572	-98.764	-131.708	5.636	31.262
 2025-09-10	11:00:08	XA00922006S	R-628	1337	1337	1337	1337
 2025-10-23	11:29:50	XnoDosimeter	Rnorod	-98.706	-131.754	8.389	29.114
