sample_id,date,arduino_time,tesla_time,time_gap_sec,arduino_temp_C,tesla_temp_C,residual_C,humidity_pct,hour_of_day
An-10-1-1,2026-06-02,09:37:38,09:40:45,187.0,26.7,27.471,0.7710000000000008,40.9,9.616666666666667
An-10-1-2,2026-06-02,09:38:22,09:39:28,66.0,26.8,27.38,0.5799999999999983,39.7,9.633333333333333
An-10-2-1,2026-06-02,09:39:15,09:41:27,132.0,26.8,27.541,0.7409999999999997,39.4,9.65
An-10-2-2,2026-06-02,09:39:56,09:42:48,172.0,26.9,27.56,0.6600000000000001,39.0,9.65
An-10-3-1,2026-06-02,09:40:50,09:43:36,166.0,26.9,27.617,0.7170000000000023,38.8,9.666666666666666
An-10-3-2,2026-06-02,09:41:30,09:44:33,183.0,26.9,27.621,0.7210000000000001,38.9,9.683333333333334
An-10-4-1,2026-06-02,09:43:07,09:46:38,211.0,27.0,27.69,0.6900000000000013,39.0,9.716666666666667
An-10-4-2,2026-06-02,09:43:59,09:45:44,105.0,27.1,27.658,0.5579999999999998,39.4,9.716666666666667
An-11-1-1,2026-06-02,13:57:47,13:59:16,89.0,29.0,29.456,0.4559999999999995,26.4,13.95
An-11-1-2,2026-06-02,13:58:12,13:59:49,97.0,29.1,29.559,0.45899999999999963,26.6,13.966666666666667
An-11-2-1,2026-06-02,13:59:03,14:00:29,86.0,29.1,29.617,0.5169999999999995,26.9,13.983333333333333
An-11-2-2,2026-06-02,13:59:29,14:01:01,92.0,29.1,29.812,0.7119999999999997,26.5,13.983333333333333
An-11-3-1,2026-06-02,13:59:58,14:01:42,104.0,29.1,29.806,0.7059999999999995,26.5,13.983333333333333
An-11-3-2,2026-06-02,14:00:22,14:02:13,111.0,29.1,29.87,0.7699999999999996,26.2,14.0
An-11-4-1,2026-06-02,14:00:53,14:02:48,115.0,29.1,30.168,1.0679999999999978,26.1,14.0
An-11-4-2,2026-06-02,14:01:57,14:03:15,78.0,29.1,30.051,0.950999999999997,26.1,14.016666666666667
An-12-1-1,2026-06-02,13:24:18,13:25:39,81.0,27.9,29.366,1.466000000000001,28.7,13.4
An-12-1-2,2026-06-02,13:24:49,13:26:13,84.0,28.0,29.396,1.3960000000000008,28.2,13.4
An-12-2-1,2026-06-02,13:25:29,13:26:48,79.0,28.1,29.373,1.2729999999999997,28.1,13.416666666666666
An-12-2-2,2026-06-02,13:26:02,13:27:20,78.0,28.1,29.345,1.2449999999999974,28.0,13.433333333333334
An-12-3-1,2026-06-02,13:26:36,13:28:03,87.0,28.1,29.272,1.171999999999997,27.5,13.433333333333334
An-12-3-2,2026-06-02,13:27:03,13:28:33,90.0,28.1,29.292,1.1920000000000002,27.3,13.45
An-12-4-1,2026-06-02,13:27:44,13:29:04,80.0,28.2,29.353,1.1530000000000022,27.3,13.45
An-12-4-2,2026-06-02,13:28:34,13:29:41,67.0,28.2,29.376,1.176000000000002,27.3,13.466666666666667
An-15-1-1,2026-06-03,08:45:33,08:46:16,43.0,27.5,27.984,0.48400000000000176,39.8,8.75
An-15-1-2,2026-06-03,08:46:03,08:46:49,46.0,27.6,28.229,0.6289999999999978,39.5,8.766666666666667
An-15-2-1,2026-06-03,08:46:37,08:47:29,52.0,27.5,28.512,1.0120000000000005,39.4,8.766666666666667
An-15-2-2,2026-06-03,08:46:59,08:48:02,63.0,27.5,28.547,1.0470000000000006,39.5,8.766666666666667
An-15-3-1,2026-06-03,08:47:33,08:48:41,68.0,27.6,28.7,1.0999999999999979,39.7,8.783333333333333
An-15-3-2,2026-06-03,08:48:02,08:49:24,82.0,27.6,28.7,1.0999999999999979,39.6,8.8
An-15-4-1,2026-06-03,08:48:32,08:50:24,112.0,27.6,28.525,0.9249999999999972,39.9,8.8
An-15-4-2,2026-06-03,08:49:02,08:51:02,120.0,27.7,28.67,0.9700000000000024,39.7,8.816666666666666
An-16-1-1,2026-06-02,10:00:23,10:03:30,187.0,27.6,28.567,0.9669999999999987,36.1,10.0
An-16-1-2,2026-06-02,10:01:03,10:04:15,192.0,27.6,28.624,1.0239999999999974,35.7,10.016666666666667
An-16-2-1,2026-06-02,09:54:44,09:59:32,288.0,27.3,28.37,1.0700000000000003,37.3,9.9
An-16-2-2,2026-06-02,09:55:31,09:58:51,200.0,27.4,28.321,0.9210000000000029,37.5,9.916666666666666
An-16-3-1,2026-06-02,09:56:39,10:01:13,274.0,27.4,28.659,1.2590000000000003,37.6,9.933333333333334
An-16-3-2,2026-06-02,09:57:29,10:00:18,169.0,27.5,28.548,1.0479999999999983,37.3,9.95
An-16-4-1,2026-06-02,09:58:33,10:02:01,208.0,27.5,28.447,0.9469999999999992,36.7,9.966666666666667
An-16-4-2,2026-06-02,09:59:33,10:02:39,186.0,27.5,28.494,0.9939999999999998,36.7,9.983333333333333
An-17-1-1,2026-06-02,13:48:13,13:49:15,62.0,28.9,28.964,0.06400000000000006,26.5,13.8
An-17-1-2,2026-06-02,13:48:40,13:49:41,61.0,28.9,28.987,0.08699999999999974,26.4,13.8
An-17-2-1,2026-06-02,13:49:45,13:50:19,34.0,28.9,29.066,0.16600000000000037,26.4,13.816666666666666
An-17-2-2,2026-06-02,13:50:13,13:50:50,37.0,28.9,29.108,0.20800000000000196,26.0,13.833333333333334
An-17-3-1,2026-06-02,13:51:16,13:51:54,38.0,28.9,29.351,0.4510000000000005,26.0,13.85
An-17-3-2,2026-06-02,13:50:49,13:51:25,36.0,28.9,29.286,0.3860000000000028,26.0,13.833333333333334
An-17-4-1,2026-06-02,13:51:44,13:52:44,60.0,28.9,29.469,0.5690000000000026,26.1,13.85
An-17-4-2,2026-06-02,13:52:12,13:53:12,60.0,28.9,29.511,0.6110000000000007,26.1,13.866666666666667
An-18-1-1,2026-06-02,14:08:18,14:09:46,88.0,29.2,29.624,0.4239999999999995,26.5,14.133333333333333
An-18-1-2,2026-06-02,14:09:15,14:10:24,69.0,29.2,29.655,0.45500000000000185,26.5,14.15
An-18-2-1,2026-06-02,14:09:47,14:10:56,69.0,29.2,29.916,0.7160000000000011,26.5,14.15
An-18-2-2,2026-06-02,14:10:12,14:11:27,75.0,29.2,30.023,0.8230000000000004,26.4,14.166666666666666
An-18-3-1,2026-06-02,14:10:52,14:12:07,75.0,29.2,29.969,0.7690000000000019,26.7,14.166666666666666
An-18-3-2,2026-06-02,14:11:16,14:12:41,85.0,29.2,29.868,0.6679999999999993,26.8,14.183333333333334
An-18-4-1,2026-06-02,14:11:48,14:13:13,85.0,29.2,29.998,0.7980000000000018,26.9,14.183333333333334
An-18-4-2,2026-06-02,14:12:12,14:13:41,89.0,29.2,30.089,0.8889999999999993,26.7,14.2
An-19-1-1,2026-06-02,11:23:19,11:24:52,93.0,28.1,29.164,1.064,34.0,11.383333333333333
An-19-1-2,2026-06-02,11:25:32,11:26:28,56.0,28.1,28.942,0.8419999999999987,34.0,11.416666666666666
An-19-2-1,2026-06-02,11:27:53,11:29:11,78.0,28.1,29.665,1.5649999999999977,33.3,11.45
An-19-2-2,2026-06-02,11:28:19,11:29:54,95.0,28.1,29.945,1.8449999999999989,33.0,11.466666666666667
An-19-3-1,2026-06-02,11:20:35,11:21:59,84.0,28.1,28.825,0.7249999999999979,33.7,11.333333333333334
An-19-3-2,2026-06-02,11:22:50,11:23:25,35.0,28.1,28.917,0.8170000000000002,33.9,11.366666666666667
An-19-4-1,2026-06-02,11:26:40,11:27:37,57.0,28.1,29.341,1.2409999999999997,33.5,11.433333333333334
An-19-4-2,2026-06-02,11:27:11,11:28:13,62.0,28.1,29.318,1.218,33.3,11.45
An-20-1-1,2026-06-03,09:15:30,09:16:55,85.0,27.4,28.308,0.9080000000000013,37.5,9.25
An-20-1-2,2026-06-03,09:16:09,09:17:37,88.0,27.5,29.198,1.6980000000000004,37.2,9.266666666666667
An-20-2-1,2026-06-03,09:16:37,09:18:20,103.0,27.7,29.321,1.6210000000000022,36.8,9.266666666666667
An-20-2-1,2026-06-03,09:17:39,09:18:20,41.0,27.9,29.321,1.421000000000003,36.6,9.283333333333333
An-20-2-1,2026-06-03,09:18:08,09:18:20,12.0,28.0,29.321,1.3210000000000015,36.4,9.3
An-20-2-1,2026-06-03,09:18:32,09:18:20,12.0,28.0,29.321,1.3210000000000015,36.0,9.3
An-20-2-2,2026-06-03,09:17:15,09:18:57,102.0,27.8,29.516,1.7159999999999975,36.6,9.283333333333333
An-20-3-1,2026-06-03,09:21:33,09:22:48,75.0,28.3,29.351,1.0509999999999984,36.2,9.35
An-20-3-2,2026-06-03,09:21:59,09:23:19,80.0,28.3,29.515,1.2149999999999999,35.8,9.35
An-20-4-1,2026-06-03,09:20:29,09:21:31,62.0,28.1,28.944,0.8439999999999976,35.9,9.333333333333334
An-20-4-2,2026-06-03,09:20:51,09:22:07,76.0,28.3,29.207,0.907,36.1,9.333333333333334
An-37-1-1,2026-06-02,10:29:12,10:31:07,115.0,28.0,28.629,0.6290000000000013,34.4,10.483333333333333
An-37-1-2,2026-06-02,10:28:09,10:30:31,142.0,28.0,28.561,0.5609999999999999,34.8,10.466666666666667
An-37-2-1,2026-06-02,10:31:01,10:33:15,134.0,28.0,29.335,1.3350000000000009,34.5,10.516666666666667
An-37-2-2,2026-06-02,10:30:32,10:32:10,98.0,28.0,29.223,1.222999999999999,34.5,10.5
An-37-3-1,2026-06-02,10:32:52,10:34:56,124.0,28.0,29.082,1.0820000000000007,34.3,10.533333333333333
An-37-3-2,2026-06-02,10:31:38,10:34:09,151.0,28.0,29.182,1.1819999999999986,34.3,10.516666666666667
An-37-4-1,2026-06-02,10:35:53,10:36:39,46.0,27.9,29.06,1.1600000000000001,34.3,10.583333333333334
An-37-4-2,2026-06-02,10:34:28,10:35:49,81.0,28.0,29.095,1.0949999999999989,34.3,10.566666666666666
An-39-1-1,2026-06-02,13:35:51,13:36:58,67.0,28.5,28.794,0.2940000000000005,26.7,13.583333333333334
An-39-1-2,2026-06-02,13:36:19,13:37:27,68.0,28.5,28.868,0.36799999999999855,26.2,13.6
An-39-2-1,2026-06-02,13:36:52,13:38:36,104.0,28.5,28.933,0.43299999999999983,26.3,13.6
An-39-2-2,2026-06-02,13:37:54,13:39:09,75.0,28.5,28.961,0.4609999999999985,26.1,13.616666666666667
An-39-3-1,2026-06-02,13:38:40,13:40:52,132.0,28.5,28.804,0.3039999999999985,26.1,13.633333333333333
An-39-3-2,2026-06-02,13:40:19,13:41:23,64.0,28.6,29.04,0.4399999999999977,26.2,13.666666666666666
An-39-4-1,2026-06-02,13:40:49,13:41:55,66.0,28.6,29.067,0.46699999999999875,26.0,13.666666666666666
An-39-4-2,2026-06-02,13:41:13,13:42:23,70.0,28.6,29.232,0.6319999999999979,26.1,13.683333333333334
An-6-1-1,2026-06-02,11:39:48,11:43:45,237.0,26.7,28.386,1.686,33.6,11.65
An-6-1-2,2026-06-02,11:40:17,11:43:12,175.0,26.8,28.298,1.4979999999999976,33.4,11.666666666666666
An-6-2-2,2026-06-02,11:42:17,11:47:15,298.0,27.0,28.722,1.7220000000000013,33.2,11.7
An-6-3-1,2026-06-02,11:43:43,11:46:04,141.0,26.9,28.569,1.6690000000000005,33.1,11.716666666666667
An-6-3-2,2026-06-02,11:44:08,11:46:43,155.0,27.1,28.727,1.626999999999999,33.1,11.733333333333333
An-6-4-1,2026-06-02,11:40:44,11:45:26,282.0,26.8,28.726,1.9259999999999984,33.3,11.666666666666666
An-6-4-2,2026-06-02,11:41:30,11:44:38,188.0,26.9,28.907,2.0070000000000014,33.4,11.683333333333334
An-8-1-1,2026-06-02,10:43:50,10:44:58,68.0,28.0,28.548,0.5479999999999983,33.7,10.716666666666667
An-8-1-2,2026-06-02,10:44:16,10:45:49,93.0,28.1,29.201,1.100999999999999,34.2,10.733333333333333
An-8-2-1,2026-06-02,10:44:48,10:46:34,106.0,28.1,29.123,1.0229999999999997,34.1,10.733333333333333
An-8-2-2,2026-06-02,10:45:31,10:47:22,111.0,28.1,29.179,1.078999999999997,34.1,10.75
An-8-3-1,2026-06-02,10:48:49,10:50:14,85.0,28.1,29.079,0.9789999999999992,33.4,10.8
An-8-3-2,2026-06-02,10:47:52,10:49:34,102.0,28.1,29.182,1.0819999999999972,33.3,10.783333333333333
An-8-4-1,2026-06-02,10:47:18,10:48:44,86.0,28.1,29.147,1.046999999999997,33.5,10.783333333333333
An-8-4-2,2026-06-02,10:46:02,10:47:58,116.0,28.1,29.139,1.038999999999998,33.7,10.766666666666667
