NUMBER		SERIAL			LOCATION				PULL DATE		INSTALL DATE
01006		XA021983727		ILX7S01					2025-03-25		2025-02-18
01014		XA00915367D		WARC, NDX between A14 and A15		2025-03-25		2025-02-18
01009		XA02583024H		ILX3S00					2025-03-25		2025-02-18
01011		XA019486626		ILX9S00					2025-03-25		2025-02-18
01015		XA016516468		EARC, NDX between A15 and A16		2025-03-25		2025-02-18
			
01144		XA00760960C		ILX7S01					2025-04-08		2025-03-25
01170		XA01008795C		EARC, NDX between A15 and A16		2025-04-08		2025-03-25
01112		XA00137873C		ILX9S00					2025-04-08		2025-03-25
01120		XA028857800		WARC, NDX between A14 and A15		2025-04-08		2025-03-25
01164		XA04105517G		ILX3S00					2025-04-08		2025-03-25
01148		XA007A1285E		ILX7S00					2025-04-08		2025-03-25

01295		XA027364559		South Labyrinth A			2025-04-23		2025-04-08
01306		XA017828424		South Labyrinth B			2025-04-23		2025-04-08
01292		XA02194729U		South Labyrinth C			2025-04-23		2025-04-08
01305		XA02131006V		South Labyrinth D			2025-04-23		2025-04-08
01294		XA002967047		North Labyrinth A			2025-04-23		2025-04-08
01304		XA00008186P		North Labyrinth B			2025-04-23		2025-04-08
01320		XA00008884F		North Labyrinth C			2025-04-23		2025-04-08
01321		XA00276998Q		North Labyrinth D			2025-04-23		2025-04-08
01300		XA02181142N		EARC, NDX between A15 and A16		2025-04-23		2025-04-08
01301		XA02295370D		WARC, NDX between A14 and A15		2025-04-23		2025-04-08
01302		XA00103954K		ILX9S00					2025-04-23		2025-04-08
01319		XA01132942I		ILX7S00					2025-04-23		2025-04-08
01293		XA012849722		ILX3S00					2025-04-23		2025-04-08
01303		XA007666157		ILX7S01					2025-04-23		2025-04-08

01346		XA007738237		WARC, NDX between A14 and A15		2025-05-07		2025-04-23
01342		XA02067327A		ILX3S00					2025-05-07		2025-04-23
01359		XA01189135C		ILX7S01					2025-05-07		2025-04-23
01354		XA007409937		ILX9S00					2025-05-07		2025-04-23
01343		XA01991915W		EARC, NDX between A15 and A16		2025-05-07		2025-04-23
01351		XA01772677X		ILX7S00					2025-05-07		2025-04-23

01251		XA01917262L		ILX7S00					2025-05-21		2025-05-07
01222		XA00905633K		ILX3S00					2025-05-21		2025-05-07
01273		XA00864936Y		ILX7S01					2025-05-21		2025-05-07
01264		XA007028993		ILX9S00					2025-05-21		2025-05-07
01290		XA01371054M		WARC, NDX (1)				2025-05-21		2025-05-07
01234		XA028863261		WARC, NDX (2)				2025-05-21		2025-05-07
01244		XA00900716J		WARC, NDX (3)				2025-05-21		2025-05-07
01253		XA007395459		EARC, NDX (1)				2025-05-21		2025-05-07
01248		XA007619285		EARC, NDX (2)				2025-05-21		2025-05-07
01281		XA01257540K		EARC, NDX (3)				2025-05-21		2025-05-07

01182		N/A			(5) Outside hut				2025-06-04		2025-05-21
01231		N/A			(6) US of Lambertson			2025-06-04		2025-05-21
01175		N/A			(4) Inside hut				2025-06-04		2025-05-21

00410		N/A			(4) Inside hut				2025-06-11		2025-06-04
00407		N/A			(5) Outside hut				2025-06-11		2025-06-04
00409		N/A			(6) US of Lambertson			2025-06-11		2025-06-04

01174		XA01117844F		EARC, NDX				2025-06-11		2025-05-21
01193		XA00537592E		(8) DS of MZA7S03			2025-06-11		2025-05-21
01180		XA00225585G		ILX3S00					2025-06-11		2025-05-21
01195		XA01788654X		ILX7S00					2025-06-11		2025-05-21
01226		XA021062080		ILX7S01					2025-06-11		2025-05-21
01229		XA00554851D		ILX9S00					2025-06-11		2025-05-21

01209		XA00285948U		WARC, NDX				2025-06-17		2025-05-21
01202		XA00888853W		(7) DS of VIPAT05B			2025-06-17		2025-05-21
01173		XA04105981D		(1) US of MYAAT01			2025-06-17		2025-05-21
00284		XA00915269B		(3) US of MZAAT03			2025-06-17		2025-05-21
01208		XA01734860E		(2) IIX4E02				2025-06-17		2025-05-21

00303		N/A			(4) Inside hut				2025-07-02		2025-06-11
00309		N/A			(5) Outside hut				2025-07-02		2025-06-11
00306		N/A			(6) US of Lambertson			2025-07-02		2025-06-11
00311		N/A			J(1) ILM3C03				2025-07-02		2025-06-11

00381		XA02103348L		J(9) ILM3R10				2025-07-02		2025-06-17
00413		XA00781523D		J(10) ILM8S01				2025-07-02		2025-06-17
00377		XA00554376B		J(11) ILM6T06				2025-07-02		2025-06-17
00383		XA02586755V		WARC NDX				2025-07-02		2025-06-17

00302		XA00591280J		ILX3S00					2025-07-02		2025-06-11
00308		XA02700762K		ILX7S00					2025-07-02		2025-06-11
00307		XA00377221N		ILX7S01					2025-07-02		2025-06-11
00312		XA00873047C		ILX9S00					2025-07-02		2025-06-11
00316		XA008124910		J(2) ILM6R08				2025-07-02		2025-06-11
00319		XA02496469R		J(3) ILM0L06A				2025-07-02		2025-06-11
00320		XA00881331J		J(4) ILM0L08				2025-07-02		2025-06-11
00305		XA00821139J		J(5) ILM1L02				2025-07-02		2025-06-11
00313		XA014195496		J(6) ILM7S01				2025-07-02		2025-06-11
00310		XA01752212P		J(7) ILM9S00				2025-07-02		2025-06-11
00315		XA01270244L		J(8) ILM1A04				2025-07-02		2025-06-11
00314		XA007762749		EARC NDX				2025-07-02		2025-06-11



















