plate,collection_date,badge_serial,landauer_part_nbr,landauer_report_date,begin_wear,end_wear,body_mrem,skin_mrem,eye_mrem,beta_mrem,neutron_mrem,nt_mrem,nf_mrem,photon_mrem,exceeded_1000rad,saturated_osl,neutron_exceeded,dose_status
Hn-10,2025-03-12,XA00563217G,907,20250331,1/1/2025,6/30/2025,3950,4956,4403,1006,20,0,20,2924,False,False,False,MEASURED
Hn-10,2025-03-25,XA02137891A,973,20250331,1/1/2025,6/30/2025,98665,98665,98665,0,2960,190,2770,95705,False,False,False,MEASURED
Hn-10,2025-04-08,XA00553485B,1145,20250502,1/1/2025,6/30/2025,42268,42268,42268,0,2070,190,1880,40198,False,False,False,MEASURED
Hn-10,2025-04-23,XA007641878,1090,20250502,1/1/2025,6/30/2025,1031,1047,1031,0,0,0,0,1031,False,False,False,MEASURED
Hn-10,2025-05-07,XA00595847T,1373,20250516,1/1/2025,6/30/2025,598,554,580,0,0,0,0,598,False,False,False,MEASURED
Hn-10,2025-05-21,XA020746639,1239,20250624,1/1/2025,6/30/2025,16242,16242,16242,0,160,20,140,16082,False,False,False,MEASURED
Hn-10,2025-06-17,XA01966073D,1200,20250804,1/1/2025,6/30/2025,288393,288393,288393,0,3700,380,3320,284693,False,False,False,MEASURED
Hn-10,2025-07-02,XA00856640F,400,20250804,1/1/2025,6/30/2025,113261,113261,113261,0,1660,120,1540,111601,False,False,False,MEASURED
Hn-10,2025-07-30,XA00828100X,553,20250819,7/1/2025,12/31/2025,371244,371244,371244,0,4960,440,4520,366284,False,False,False,MEASURED
Hn-10,2025-08-27,XA00629780E,508,20250915,7/1/2025,12/31/2025,82556,66355,79924,0,960,70,890,81596,False,False,False,MEASURED
Hn-10,2025-09-10,XA009275576,214,20250930,7/1/2025,12/31/2025,17800,16836,17800,0,0,0,0,17800,False,False,False,MEASURED
Hn-10,2026-01-08,XA00542333P,199,20260320,7/1/2025,12/31/2025,6,6,6,0,0,0,0,6,False,False,False,MEASURED
Hn-11,2025-03-12,XA015128876,885,20250331,1/1/2025,6/30/2025,264,453,351,194,0,0,0,70,False,False,False,MEASURED
Hn-11,2025-03-25,XA00918365E,1050,20250331,1/1/2025,6/30/2025,1266,1765,1499,517,440,20,420,309,False,False,False,MEASURED
Hn-11,2025-04-08,XA01809651H,1166,20250502,1/1/2025,6/30/2025,39690,39690,39690,0,6750,350,6400,32940,False,False,False,MEASURED
Hn-11,2025-04-23,XA00718119H,1070,20250502,1/1/2025,6/30/2025,154449,123800,149470,0,90,0,90,154359,False,False,False,MEASURED
Hn-11,2025-05-07,XA008555573,1349,20250516,1/1/2025,6/30/2025,179632,179632,179632,0,80,0,80,179552,False,False,False,MEASURED
Hn-11,2025-05-21,XA01911176K,1288,20250624,1/1/2025,6/30/2025,1000090,90,90,0,90,0,90,-1,True,False,False,EXCEEDED_PARTIAL
Hn-11,2025-06-11,XA009328185,1228,20250624,1/1/2025,6/30/2025,1000600,600,600,0,600,30,570,-1,True,False,False,EXCEEDED_PARTIAL
Hn-11,2025-07-02,XA00825526E,1383,20250804,1/1/2025,6/30/2025,1001500,1500,1500,0,1500,100,1400,-1,True,False,False,EXCEEDED_PARTIAL
Hn-11,2025-07-17,XA005757049,533,20250804,7/1/2025,12/31/2025,1001610,1610,1610,0,1610,110,1500,-1,True,False,False,EXCEEDED_PARTIAL
