plate,collection_date,this_body_mrem,this_photon_mrem,this_beta_mrem,this_neutron_mrem,this_nt_mrem,this_nf_mrem,this_dose_status,cum_body_mrem,cum_photon_mrem,cum_beta_mrem,cum_neutron_mrem,cum_nt_mrem,cum_nf_mrem,cum_n_badges,cum_n_saturated,is_lower_bound
Hs-1,2025-03-12,751,751,0,0,0,0,MEASURED,751,751,0,0,0,0,1,0,False
Hs-1,2025-03-25,13444,13064,0,380,20,360,MEASURED,14195,13815,0,380,20,360,2,0,False
Hs-1,2025-04-08,35603,34213,0,1390,130,1260,MEASURED,49798,48028,0,1770,150,1620,3,0,False
Hs-1,2025-04-23,10864,10614,0,250,20,230,MEASURED,60662,58642,0,2020,170,1850,4,0,False
Hs-1,2025-05-07,4422,4392,0,30,0,30,MEASURED,65084,63034,0,2050,170,1880,5,0,False
Hs-1,2025-05-21,26001,25871,0,130,10,120,MEASURED,91085,88905,0,2180,180,2000,6,0,False
Hs-1,2025-06-17,552374,540464,0,11910,930,10980,MEASURED,643459,629369,0,14090,1110,12980,7,0,False
Hs-1,2025-07-02,270445,264345,0,6100,430,5670,MEASURED,913904,893714,0,20190,1540,18650,8,0,False
Hs-1,2025-07-30,596843,587303,0,9540,740,8800,MEASURED,1510747,1481017,0,29730,2280,27450,9,0,False
Hs-1,2025-08-27,187772,187772,0,0,0,0,MEASURED,1698519,1668789,0,29730,2280,27450,10,0,False
Hs-1,2025-09-10,61025,61025,0,0,0,0,MEASURED,1759544,1729814,0,29730,2280,27450,11,0,False
Hs-1,2026-01-12,6,6,0,0,0,0,MEASURED,1759550,1729820,0,29730,2280,27450,12,0,False
Hs-2,2025-03-12,460,306,154,0,0,0,MEASURED,460,306,154,0,0,0,1,0,False
Hs-2,2025-03-25,18950,18430,0,520,50,470,MEASURED,19410,18736,154,520,50,470,2,0,False
Hs-2,2025-04-08,85344,83564,0,1780,140,1640,MEASURED,104754,102300,154,2300,190,2110,3,0,False
Hs-2,2025-04-23,89571,89221,0,350,20,330,MEASURED,194325,191521,154,2650,210,2440,4,0,False
Hs-2,2025-05-07,53416,53356,0,60,0,60,MEASURED,247741,244877,154,2710,210,2500,5,0,False
Hs-2,2025-05-21,562571,562421,0,150,10,140,MEASURED,810312,807298,154,2860,220,2640,6,0,False
Hs-2,2025-06-17,1005870,-1,0,5870,1030,4840,EXCEEDED_PARTIAL,1816182,807298,154,8730,1250,7480,7,1,True
Hs-2,2025-07-02,1005660,-1,0,5660,400,5260,EXCEEDED_PARTIAL,2821842,807298,154,14390,1650,12740,8,2,True
Hs-2,2025-07-30,1009800,-1,0,9800,690,9110,EXCEEDED_PARTIAL,3831642,807298,154,24190,2340,21850,9,3,True
Hs-2,2025-08-27,1000000,-1,0,0,0,0,SATURATED_FLOOR,4831642,807298,154,24190,2340,21850,10,4,True
Hs-2,2025-09-10,1000040,-1,0,40,0,40,EXCEEDED_PARTIAL,5831682,807298,154,24230,2340,21890,11,5,True
Hs-2,2026-01-12,5,5,0,0,0,0,MEASURED,5831687,807303,154,24230,2340,21890,12,5,True
Hs-3,2025-03-12,80,51,29,0,0,0,MEASURED,80,51,29,0,0,0,1,0,False
Hs-3,2025-03-25,3267,1495,1382,390,30,360,MEASURED,3347,1546,1411,390,30,360,2,0,False
Hs-3,2025-04-08,37643,23236,13237,1170,90,1080,MEASURED,40990,24782,14648,1560,120,1440,3,0,False
Hs-3,2025-04-23,216168,215978,0,190,20,170,MEASURED,257158,240760,14648,1750,140,1610,4,0,False
Hs-3,2025-05-07,194438,194438,0,0,0,0,MEASURED,451596,435198,14648,1750,140,1610,5,0,False
Hs-3,2025-05-21,1000110,-1,0,110,0,110,EXCEEDED_PARTIAL,1451706,435198,14648,1860,140,1720,6,1,True
Hs-3,2025-06-17,1024700,477397,541333,5970,0,0,MEASURED,2476406,912595,555981,7830,140,1720,7,1,True
Hs-3,2025-07-02,1004580,-1,0,4580,250,4330,EXCEEDED_PARTIAL,3480986,912595,555981,12410,390,6050,8,2,True
Hs-3,2025-07-30,1007450,-1,0,7450,510,6940,EXCEEDED_PARTIAL,4488436,912595,555981,19860,900,12990,9,3,True
Hs-3,2025-08-27,1000000,-1,0,0,0,0,SATURATED_FLOOR,5488436,912595,555981,19860,900,12990,10,4,True
Hs-3,2025-09-10,1000000,-1,0,0,0,0,SATURATED_FLOOR,6488436,912595,555981,19860,900,12990,11,5,True
Hs-3,2026-01-12,0,0,0,0,0,0,MEASURED,6488436,912595,555981,19860,900,12990,12,5,True
