 2024-11-21	10:39:31	XNoDosimeter	RNoRod	+1.3592 mWC 
 2025-05-21	11:50:51	XA00535524J	R-336	+1.3596 mWC 
 2025-06-11	11:49:38	XA02590478X	R-404	+1.3565 mWC 
 2025-06-17	11:56:30	XnoDosimeter	Rnorod	+1.3566 mWC 
 2025-07-17	11:21:23	XA00244338G	R-531	+1.3452 mWC 
 2025-08-27	12:46:02	XA00012929D	R-585	+1.3526 mWC 
 2025-08-27	12:46:51	XA00012929D	R-585	+1.3548 mWC 
 2025-08-27	12:54:13	XA00012929D	R-585	+1.3515 mWC 
 2025-10-21	10:44:53	XnoDosimeter	RnoRod	+1.3580 mWC 
 2026-01-12	11:46:09	XA008555937	R-700	+1.3592 mWC 
