plate,plate_label,region,sub_location,line,ai_photon_rem,ai_photon_gy,ai_neutron_rem,ai_sigma_photon_rem,ai_sigma_neutron_rem,ai_sigma_photon_gy,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_nt_mrem,osl_nf_mrem,osl_n_saturated,osl_is_lower_bound,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff,sem_N42EH,sem_N52SH,sem_SmCo33H,sem_SmCo35,sigma_ndfeb_pct,sigma_smco_pct,sigma_diff_pct
15,Y-15,SE Arc,upstream Girder 27,1,1173.99,11.7399,19.52,0.0,0.0,1.17399,1193510.0,1173990.0,19520.0,1570.0,17950.0,0,False,-0.2615491103445808,-0.06856832096691856,0.10371133160452964,-0.05232994149651379,-0.16505871565574967,0.025690695054007923,-0.1907494107097576,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
3,Y-3,SE Arc,upstream Girder 27,2,1728.798,17.28798,21.770000000000003,0.0,0.0,1.7287980000000003,2750568.0,1728384.0,21770.0,1710.0,20060.0,1,True,-0.151524408672979,-0.12371148247792679,0.06355124726996642,-0.12199017671007843,-0.1376179455754529,-0.02921946472005601,-0.10839848085539688,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
23,Y-23,SE Arc,upstream Girder 27,3,4188.529,41.885290000000005,31.8,117.03999999999996,0.0,1.1703999999999997,4299449.0,1027440.0,31800.0,2360.0,29440.0,3,True,-0.13637212922582218,-0.0582521058995118,-0.09279413827330103,-0.03083756838182323,-0.09731211756266699,-0.061815853327562134,-0.03549626423510485,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
26,Y-26,SE Arc,upstream Girder 27,4,1702.3239999999998,17.023239999999998,24.229999999999997,0.0,0.0,1.702324,1726554.0,1411640.0,24230.0,1830.0,22400.0,0,False,-0.017745196861713327,0.01897783301457267,-0.009860001741030595,0.10503446522077832,0.000616318076429671,0.047587231739873864,-0.04697091366344419,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
40,Y-40,SE Arc,upstream Girder 27,5,1371.6600000000003,13.716600000000003,21.730000000000004,0.0,0.0,1.3716600000000003,1393390.0,1319775.0,21730.0,1550.0,20180.0,0,False,-0.07556663697975223,-0.10051138293847518,nan,0.052570509942457905,-0.0880390099591137,0.052570509942457905,-0.1406095199015716,1.0,1.0,nan,1.0,0.7071067811865476,1.0,1.224744871391589
39,Y-39,NE Arc,above JD3A06,1,6965.507,69.65507,15.03,787.3599999999999,0.0,7.873599999999999,3197657.0,2152023.0,15030.0,1500.0,13500.0,1,True,-0.8218182662250585,-0.5429252701088751,0.42157519079061306,-0.2985566246901072,-0.6823717681669668,0.06150928305025294,-0.7438810512172197,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
7,Y-7,NE Arc,above JD3A06,2,47207.029,472.07029000000006,19.800000000000004,10340.99054781573,0.0,103.40990547815731,6547939.0,1526744.0,19800.0,1620.0,18180.0,5,True,-0.4154594797274984,-0.41159662535100894,-0.07505057288954596,-0.14090561814444044,-0.4135280525392537,-0.1079780955169932,-0.3055499570222605,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
18,Y-18,NE Arc,above JD3A06,3,67814.245,678.1424499999999,27.3,7529.520726876499,0.0,75.295207268765,6903455.0,875361.0,27300.0,2320.0,24980.0,6,True,-0.35183106583097934,-0.17652632331507442,-0.017984040239231155,-0.3190717191413108,-0.2641786945730269,-0.16852787969027097,-0.09565081488275592,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
21,Y-21,NE Arc,above JD3A06,4,166508.36700000003,1665.0836700000002,12.870000000000001,50372.51009492028,0.0,503.72510094920284,7508147.0,494551.0,12870.0,1120.0,11750.0,7,True,-0.27999670102723984,-0.20957593968099833,-0.0590298224235763,-0.016699882931564883,-0.24478632035411907,-0.037864852677570594,-0.20692146767654848,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
9,Y-9,NE Arc,above JD3A06,5,164028.409,1640.28409,10.129999999999999,29197.58809952383,0.0,291.9758809952383,7534059.0,501300.0,10130.0,880.0,9250.0,7,True,-0.21896968602938727,-0.4219362165051085,0.03425597703307749,-0.2064971558991715,-0.3204529512672479,-0.08612058943304701,-0.23433236183420086,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
38,Y-38,NW Arc,above MJC4A24,1,962.783,9.627830000000001,8.15,0.0,0.0,0.9627830000000002,970933.0,961201.0,8150.0,570.0,7580.0,0,False,-0.34854348610664004,-0.3997300330462366,0.29294790978586194,-0.02155515149561478,-0.3741367595764383,0.13569637914512359,-0.5098331387215619,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
6,Y-6,NW Arc,above MJC4A24,2,44087.066000000006,440.87066000000004,13.489999999999998,8751.678952925293,0.0,87.51678952925293,6125186.0,1110931.0,13490.0,870.0,12620.0,5,True,-0.30249748497804235,-0.10848429101534747,0.10304849695336633,0.08027507489669211,-0.2054908879966949,0.09166178592502922,-0.2971526739217241,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
36,Y-36,NW Arc,above MJC4A24,3,94606.70499999999,946.0670499999999,9.55,29132.5200407422,0.0,291.325200407422,6371355.0,361079.0,9550.0,710.0,8840.0,6,True,-0.21663532441964195,-0.19623363305938296,0.23048472086817426,-0.06344649742249839,-0.20643447873951246,0.08351911172283794,-0.28995359046235036,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
