sample_id,plate_number,slot_number,material,sample_type,environment
Y-1-1,1,1,SmCo33H,Y,tunnel
Y-1-2,1,2,N52SH,Y,tunnel
Y-1-3,1,3,SmCo35,Y,tunnel
Y-1-4,1,4,N42EH,Y,tunnel
Y-3-1,3,1,N42EH,Y,tunnel
Y-3-2,3,2,SmCo33H,Y,tunnel
Y-3-3,3,3,N52SH,Y,tunnel
Y-3-4,3,4,SmCo35,Y,tunnel
Y-4-1,4,1,N52SH,Y,tunnel
Y-4-2,4,2,SmCo35,Y,tunnel
Y-4-3,4,3,N42EH,Y,tunnel
Y-4-4,4,4,SmCo33H,Y,tunnel
Y-5-1,5,1,SmCo33H,Y,tunnel
Y-5-2,5,2,N52SH,Y,tunnel
Y-5-3,5,3,SmCo35,Y,tunnel
Y-5-4,5,4,N42EH,Y,tunnel
Y-6-1,6,1,SmCo35,Y,tunnel
Y-6-2,6,2,N42EH,Y,tunnel
Y-6-3,6,3,SmCo33H,Y,tunnel
Y-6-4,6,4,N52SH,Y,tunnel
Y-7-1,7,1,N42EH,Y,tunnel
Y-7-2,7,2,SmCo33H,Y,tunnel
Y-7-3,7,3,N52SH,Y,tunnel
Y-7-4,7,4,SmCo35,Y,tunnel
Y-9-1,9,1,SmCo33H,Y,tunnel
Y-9-2,9,2,N52SH,Y,tunnel
Y-9-3,9,3,SmCo35,Y,tunnel
Y-9-4,9,4,N42EH,Y,tunnel
Y-10-1,10,1,SmCo35,Y,tunnel
Y-10-2,10,2,N42EH,Y,tunnel
Y-10-3,10,3,SmCo33H,Y,tunnel
Y-10-4,10,4,N52SH,Y,tunnel
Y-11-1,11,1,N42EH,Y,tunnel
Y-11-2,11,2,SmCo33H,Y,tunnel
Y-11-3,11,3,N52SH,Y,tunnel
Y-11-4,11,4,SmCo35,Y,tunnel
Y-12-1,12,1,N52SH,Y,tunnel
Y-12-2,12,2,SmCo35,Y,tunnel
Y-12-3,12,3,N42EH,Y,tunnel
Y-12-4,12,4,SmCo33H,Y,tunnel
Y-13-1,13,1,SmCo33H,Y,tunnel
Y-13-2,13,2,N52SH,Y,tunnel
Y-13-3,13,3,SmCo35,Y,tunnel
Y-13-4,13,4,N42EH,Y,tunnel
Y-15-1,15,1,N42EH,Y,tunnel
Y-15-2,15,2,SmCo33H,Y,tunnel
Y-15-3,15,3,N52SH,Y,tunnel
Y-15-4,15,4,SmCo35,Y,tunnel
Y-16-1,16,1,N52SH,Y,tunnel
Y-16-2,16,2,SmCo35,Y,tunnel
Y-16-3,16,3,N42EH,Y,tunnel
Y-16-4,16,4,SmCo33H,Y,tunnel
Y-17-1,17,1,SmCo33H,Y,tunnel
Y-17-2,17,2,N52SH,Y,tunnel
Y-17-3,17,3,SmCo35,Y,tunnel
Y-17-4,17,4,N42EH,Y,tunnel
Y-18-1,18,1,SmCo35,Y,tunnel
Y-18-2,18,2,N42EH,Y,tunnel
Y-18-3,18,3,SmCo33H,Y,tunnel
Y-18-4,18,4,N52SH,Y,tunnel
Y-19-1,19,1,N42EH,Y,tunnel
Y-19-2,19,2,SmCo33H,Y,tunnel
Y-19-3,19,3,N52SH,Y,tunnel
Y-19-4,19,4,SmCo35,Y,tunnel
Y-20-1,20,1,N52SH,Y,tunnel
Y-20-2,20,2,SmCo35,Y,tunnel
Y-20-3,20,3,N42EH,Y,tunnel
Y-20-4,20,4,SmCo33H,Y,tunnel
Y-21-1,21,1,SmCo33H,Y,tunnel
Y-21-2,21,2,N52SH,Y,tunnel
Y-21-3,21,3,SmCo35,Y,tunnel
Y-21-4,21,4,N42EH,Y,tunnel
Y-22-1,22,1,SmCo35,Y,tunnel
Y-22-2,22,2,N42EH,Y,tunnel
Y-22-3,22,3,SmCo33H,Y,tunnel
Y-22-4,22,4,N52SH,Y,tunnel
Y-23-1,23,1,N42EH,Y,tunnel
Y-23-2,23,2,SmCo33H,Y,tunnel
Y-23-3,23,3,N52SH,Y,tunnel
Y-23-4,23,4,SmCo35,Y,tunnel
Y-24-1,24,1,N52SH,Y,tunnel
Y-24-2,24,2,SmCo35,Y,tunnel
Y-24-3,24,3,N42EH,Y,tunnel
Y-24-4,24,4,SmCo33H,Y,tunnel
Y-25-1,25,1,SmCo33H,Y,tunnel
Y-25-2,25,2,N52SH,Y,tunnel
Y-25-3,25,3,SmCo35,Y,tunnel
Y-25-4,25,4,N42EH,Y,tunnel
Y-26-1,26,1,SmCo35,Y,tunnel
Y-26-2,26,2,N42EH,Y,tunnel
Y-26-3,26,3,SmCo33H,Y,tunnel
Y-26-4,26,4,N52SH,Y,tunnel
Y-30-1,30,1,SmCo35,Y,tunnel
Y-30-2,30,2,N42EH,Y,tunnel
Y-30-3,30,3,SmCo33H,Y,tunnel
Y-30-4,30,4,N52SH,Y,tunnel
Y-32-1,32,1,N52SH,Y,tunnel
Y-32-2,32,2,SmCo35,Y,tunnel
Y-32-3,32,3,N42EH,Y,tunnel
Y-32-4,32,4,SmCo33H,Y,tunnel
Y-34-1,34,1,SmCo35,Y,tunnel
Y-34-2,34,2,N42EH,Y,tunnel
Y-34-3,34,3,SmCo33H,Y,tunnel
