sample_id,sample_type,material,plate,slot,environment,region,config
Y-1-1,Y,SmCo33H,1,1,tunnel,South Linac,
Y-1-2,Y,N52SH,1,2,tunnel,South Linac,
Y-1-3,Y,SmCo35,1,3,tunnel,South Linac,
Y-1-4,Y,N42EH,1,4,tunnel,South Linac,
Y-3-1,Y,N42EH,3,1,tunnel,SE Arc,
Y-3-2,Y,SmCo33H,3,2,tunnel,SE Arc,
Y-3-3,Y,N52SH,3,3,tunnel,SE Arc,
Y-3-4,Y,SmCo35,3,4,tunnel,SE Arc,
Y-4-1,Y,N52SH,4,1,tunnel,North Linac,
Y-4-2,Y,SmCo35,4,2,tunnel,North Linac,
Y-4-3,Y,N42EH,4,3,tunnel,North Linac,
Y-4-4,Y,SmCo33H,4,4,tunnel,North Linac,
Y-5-1,Y,SmCo33H,5,1,tunnel,South Linac,
Y-5-2,Y,N52SH,5,2,tunnel,South Linac,
Y-5-3,Y,SmCo35,5,3,tunnel,South Linac,
Y-5-4,Y,N42EH,5,4,tunnel,South Linac,
Y-6-1,Y,SmCo35,6,1,tunnel,NW Arc,
Y-6-2,Y,N42EH,6,2,tunnel,NW Arc,
Y-6-3,Y,SmCo33H,6,3,tunnel,NW Arc,
Y-6-4,Y,N52SH,6,4,tunnel,NW Arc,
Y-7-1,Y,N42EH,7,1,tunnel,NE Arc,
Y-7-2,Y,SmCo33H,7,2,tunnel,NE Arc,
Y-7-3,Y,N52SH,7,3,tunnel,NE Arc,
Y-7-4,Y,SmCo35,7,4,tunnel,NE Arc,
Y-9-1,Y,SmCo33H,9,1,tunnel,NE Arc,
Y-9-2,Y,N52SH,9,2,tunnel,NE Arc,
Y-9-3,Y,SmCo35,9,3,tunnel,NE Arc,
Y-9-4,Y,N42EH,9,4,tunnel,NE Arc,
Y-10-1,Y,SmCo35,10,1,tunnel,SW Arc,
Y-10-2,Y,N42EH,10,2,tunnel,SW Arc,
Y-10-3,Y,SmCo33H,10,3,tunnel,SW Arc,
Y-10-4,Y,N52SH,10,4,tunnel,SW Arc,
Y-11-1,Y,N42EH,11,1,tunnel,SW Arc,
Y-11-2,Y,SmCo33H,11,2,tunnel,SW Arc,
Y-11-3,Y,N52SH,11,3,tunnel,SW Arc,
Y-11-4,Y,SmCo35,11,4,tunnel,SW Arc,
Y-12-1,Y,N52SH,12,1,tunnel,Labyrinth,
Y-12-2,Y,SmCo35,12,2,tunnel,Labyrinth,
Y-12-3,Y,N42EH,12,3,tunnel,Labyrinth,
Y-12-4,Y,SmCo33H,12,4,tunnel,Labyrinth,
Y-13-1,Y,SmCo33H,13,1,tunnel,SW Arc,
Y-13-2,Y,N52SH,13,2,tunnel,SW Arc,
Y-13-3,Y,SmCo35,13,3,tunnel,SW Arc,
Y-13-4,Y,N42EH,13,4,tunnel,SW Arc,
Y-15-1,Y,N42EH,15,1,tunnel,SE Arc,
Y-15-2,Y,SmCo33H,15,2,tunnel,SE Arc,
Y-15-3,Y,N52SH,15,3,tunnel,SE Arc,
Y-15-4,Y,SmCo35,15,4,tunnel,SE Arc,
Y-16-1,Y,N52SH,16,1,tunnel,North Linac,
Y-16-2,Y,SmCo35,16,2,tunnel,North Linac,
Y-16-3,Y,N42EH,16,3,tunnel,North Linac,
Y-16-4,Y,SmCo33H,16,4,tunnel,North Linac,
Y-17-1,Y,SmCo33H,17,1,tunnel,North Linac,
Y-17-2,Y,N52SH,17,2,tunnel,North Linac,
Y-17-3,Y,SmCo35,17,3,tunnel,North Linac,
Y-17-4,Y,N42EH,17,4,tunnel,North Linac,
Y-18-1,Y,SmCo35,18,1,tunnel,NE Arc,
Y-18-2,Y,N42EH,18,2,tunnel,NE Arc,
Y-18-3,Y,SmCo33H,18,3,tunnel,NE Arc,
Y-18-4,Y,N52SH,18,4,tunnel,NE Arc,
Y-19-1,Y,N42EH,19,1,tunnel,SW Arc,
Y-19-2,Y,SmCo33H,19,2,tunnel,SW Arc,
Y-19-3,Y,N52SH,19,3,tunnel,SW Arc,
Y-19-4,Y,SmCo35,19,4,tunnel,SW Arc,
Y-20-1,Y,N52SH,20,1,tunnel,Labyrinth,
Y-20-2,Y,SmCo35,20,2,tunnel,Labyrinth,
Y-20-3,Y,N42EH,20,3,tunnel,Labyrinth,
Y-20-4,Y,SmCo33H,20,4,tunnel,Labyrinth,
Y-21-1,Y,SmCo33H,21,1,tunnel,NE Arc,
Y-21-2,Y,N52SH,21,2,tunnel,NE Arc,
Y-21-3,Y,SmCo35,21,3,tunnel,NE Arc,
Y-21-4,Y,N42EH,21,4,tunnel,NE Arc,
Y-22-1,Y,SmCo35,22,1,tunnel,North Linac,
Y-22-2,Y,N42EH,22,2,tunnel,North Linac,
Y-22-3,Y,SmCo33H,22,3,tunnel,North Linac,
Y-22-4,Y,N52SH,22,4,tunnel,North Linac,
Y-23-1,Y,N42EH,23,1,tunnel,SE Arc,
Y-23-2,Y,SmCo33H,23,2,tunnel,SE Arc,
Y-23-3,Y,N52SH,23,3,tunnel,SE Arc,
Y-23-4,Y,SmCo35,23,4,tunnel,SE Arc,
Y-24-1,Y,N52SH,24,1,tunnel,South Linac,
Y-24-2,Y,SmCo35,24,2,tunnel,South Linac,
Y-24-3,Y,N42EH,24,3,tunnel,South Linac,
Y-24-4,Y,SmCo33H,24,4,tunnel,South Linac,
Y-25-1,Y,SmCo33H,25,1,tunnel,NW Arc,
Y-25-2,Y,N52SH,25,2,tunnel,NW Arc,
Y-25-3,Y,SmCo35,25,3,tunnel,NW Arc,
Y-25-4,Y,N42EH,25,4,tunnel,NW Arc,
Y-26-1,Y,SmCo35,26,1,tunnel,SE Arc,
Y-26-2,Y,N42EH,26,2,tunnel,SE Arc,
Y-26-3,Y,SmCo33H,26,3,tunnel,SE Arc,
Y-26-4,Y,N52SH,26,4,tunnel,SE Arc,
Y-30-1,Y,SmCo35,30,1,tunnel,South Linac,
Y-30-2,Y,N42EH,30,2,tunnel,South Linac,
Y-30-3,Y,SmCo33H,30,3,tunnel,South Linac,
Y-30-4,Y,N52SH,30,4,tunnel,South Linac,
Y-32-1,Y,N52SH,32,1,tunnel,SW Arc,
Y-32-2,Y,SmCo35,32,2,tunnel,SW Arc,
Y-32-3,Y,N42EH,32,3,tunnel,SW Arc,
Y-32-4,Y,SmCo33H,32,4,tunnel,SW Arc,
Y-34-1,Y,SmCo35,34,1,tunnel,NW Arc,
Y-34-2,Y,N42EH,34,2,tunnel,NW Arc,
Y-34-3,Y,SmCo33H,34,3,tunnel,NW Arc,
Y-34-4,Y,N52SH,34,4,tunnel,NW Arc,
Y-36-1,Y,N52SH,36,1,tunnel,NW Arc,
Y-36-2,Y,SmCo35,36,2,tunnel,NW Arc,
Y-36-3,Y,N42EH,36,3,tunnel,NW Arc,
Y-36-4,Y,SmCo33H,36,4,tunnel,NW Arc,
Y-38-1,Y,SmCo35,38,1,tunnel,NW Arc,
Y-38-2,Y,N42EH,38,2,tunnel,NW Arc,
Y-38-3,Y,SmCo33H,38,3,tunnel,NW Arc,
Y-38-4,Y,N52SH,38,4,tunnel,NW Arc,
Y-39-1,Y,N42EH,39,1,tunnel,NE Arc,
Y-39-2,Y,SmCo33H,39,2,tunnel,NE Arc,
Y-39-3,Y,N52SH,39,3,tunnel,NE Arc,
Y-39-4,Y,SmCo35,39,4,tunnel,NE Arc,
Y-40-1,Y,N52SH,40,1,tunnel,SE Arc,
Y-40-2,Y,SmCo35,40,2,tunnel,SE Arc,
Y-40-3,Y,N42EH,40,3,tunnel,SE Arc,
Y-40-4,Y,SmCo33H,40,4,tunnel,SE Arc,
Y-8-1,Y,N52SH,8,1,lab,,
Y-8-2,Y,SmCo35,8,2,lab,,
Y-8-3,Y,N42EH,8,3,lab,,
Y-8-4,Y,SmCo33H,8,4,lab,,
Y-14-1,Y,SmCo35,14,1,lab,,
Y-14-2,Y,N42EH,14,2,lab,,
Y-14-3,Y,SmCo33H,14,3,lab,,
Y-14-4,Y,N52SH,14,4,lab,,
Y-27-1,Y,N42EH,27,1,lab,,
Y-27-2,Y,SmCo33H,27,2,lab,,
Y-27-3,Y,N52SH,27,3,lab,,
Y-27-4,Y,SmCo35,27,4,lab,,
Y-28-1,Y,N52SH,28,1,lab,,
Y-28-2,Y,SmCo35,28,2,lab,,
Y-28-3,Y,N42EH,28,3,lab,,
Y-28-4,Y,SmCo33H,28,4,lab,,
Y-29-1,Y,SmCo33H,29,1,lab,,
Y-29-2,Y,N52SH,29,2,lab,,
Y-29-3,Y,SmCo35,29,3,lab,,
Y-29-4,Y,N42EH,29,4,lab,,
Y-31-1,Y,N42EH,31,1,lab,,
Y-31-2,Y,SmCo33H,31,2,lab,,
Y-31-3,Y,N52SH,31,3,lab,,
Y-31-4,Y,SmCo35,31,4,lab,,
Y-33-1,Y,SmCo33H,33,1,lab,,
Y-33-2,Y,N52SH,33,2,lab,,
Y-33-3,Y,SmCo35,33,3,lab,,
Y-33-4,Y,N42EH,33,4,lab,,
Y-35-1,Y,N42EH,35,1,lab,,
Y-35-2,Y,SmCo33H,35,2,lab,,
Y-35-3,Y,N52SH,35,3,lab,,
Y-35-4,Y,SmCo35,35,4,lab,,
Y-37-1,Y,SmCo33H,37,1,lab,,
Y-37-2,Y,N52SH,37,2,lab,,
Y-37-3,Y,SmCo35,37,3,lab,,
Y-37-4,Y,N42EH,37,4,lab,,
Hn-6-1,H,NdFeB,6,1,tunnel,South Linac,Gamma
An-6-1-1,A,NdFeB,6,1,tunnel,South Linac,Gamma
An-6-1-2,A,NdFeB,6,1,tunnel,South Linac,Gamma
Hn-6-2,H,NdFeB,6,2,tunnel,South Linac,Alpha
An-6-2-1,A,NdFeB,6,2,tunnel,South Linac,Alpha
An-6-2-2,A,NdFeB,6,2,tunnel,South Linac,Alpha
Hn-6-3,H,NdFeB,6,3,tunnel,South Linac,Delta
An-6-3-1,A,NdFeB,6,3,tunnel,South Linac,Delta
An-6-3-2,A,NdFeB,6,3,tunnel,South Linac,Delta
Hn-6-4,H,NdFeB,6,4,tunnel,South Linac,Beta
An-6-4-1,A,NdFeB,6,4,tunnel,South Linac,Beta
An-6-4-2,A,NdFeB,6,4,tunnel,South Linac,Beta
Hn-8-1,H,NdFeB,8,1,tunnel,SE Arc,Alpha
An-8-1-1,A,NdFeB,8,1,tunnel,SE Arc,Alpha
An-8-1-2,A,NdFeB,8,1,tunnel,SE Arc,Alpha
Hn-8-2,H,NdFeB,8,2,tunnel,SE Arc,Gamma
