pair_id,plate,slot,material,region,config,baseline_mean,latest_mean,pct_change,n_baseline,environment,is_outlier
Hn-10-1,10,1,NdFeB,SE Arc,Gamma,1.5776,1.571,-0.4192,1,tunnel,False
Hn-10-3,10,3,NdFeB,SE Arc,Alpha,3.1223,3.1206,-0.0566,1,tunnel,False
Hn-10-4,10,4,NdFeB,SE Arc,Delta,1.5644,1.5651,0.0406,1,tunnel,False
Hn-11-2,11,2,NdFeB,NW Arc,Gamma,1.6016,1.6071,0.3439,1,tunnel,False
Hn-11-3,11,3,NdFeB,NW Arc,Delta,1.5625,1.5624,-0.0073,1,tunnel,False
Hn-11-4,11,4,NdFeB,NW Arc,Alpha,3.1238,3.1272,0.1098,1,tunnel,False
Hn-12-1,12,1,NdFeB,NW Arc,Alpha,3.1066,3.1094,0.0891,1,tunnel,False
Hn-12-2,12,2,NdFeB,NW Arc,Gamma,1.5498,1.5452,-0.2982,1,tunnel,False
Hn-12-3,12,3,NdFeB,NW Arc,Delta,1.5665,1.568,0.101,1,tunnel,False
Hn-15-2,15,2,NdFeB,North Linac,Gamma,1.6368,1.6178,-1.1618,1,tunnel,False
Hn-15-3,15,3,NdFeB,North Linac,Alpha,3.1212,3.1287,0.2406,1,tunnel,False
Hn-15-4,15,4,NdFeB,North Linac,Delta,1.559,1.5598,0.0516,1,tunnel,False
Hn-16-1,16,1,NdFeB,SE Arc,Alpha,3.1273,3.1249,-0.0764,1,tunnel,False
Hn-16-3,16,3,NdFeB,SE Arc,Delta,1.5422,1.5526,0.6737,1,tunnel,False
Hn-16-4,16,4,NdFeB,SE Arc,Gamma,1.5797,1.5749,-0.3038,1,tunnel,False
Hn-17-1,17,1,NdFeB,NW Arc,Delta,1.5629,1.5607,-0.1432,1,tunnel,False
Hn-17-2,17,2,NdFeB,NW Arc,Gamma,1.586,1.5868,0.0517,1,tunnel,False
Hn-17-3,17,3,NdFeB,NW Arc,Alpha,3.1272,3.1181,-0.293,1,tunnel,False
Hn-19-2,19,2,NdFeB,South Linac,Delta,1.5701,1.5732,0.2006,1,tunnel,False
Hn-19-3,19,3,NdFeB,South Linac,Gamma,1.5468,1.5434,-0.219,1,tunnel,False
Hn-19-4,19,4,NdFeB,South Linac,Alpha,3.1145,3.1238,0.2957,1,tunnel,False
Hn-20-1,20,1,NdFeB,North Linac,Alpha,3.1199,3.1255,0.1793,1,tunnel,False
Hn-20-2,20,2,NdFeB,North Linac,Delta,1.559,1.5622,0.2063,1,tunnel,False
Hn-20-3,20,3,NdFeB,North Linac,Gamma,1.6102,1.6116,0.0884,1,tunnel,False
Hn-37-1,37,1,NdFeB,SE Arc,Delta,1.5603,1.5593,-0.0635,1,tunnel,False
Hn-37-3,37,3,NdFeB,SE Arc,Alpha,3.1124,3.1119,-0.0173,1,tunnel,False
Hn-37-4,37,4,NdFeB,SE Arc,Gamma,1.5961,1.5938,-0.1431,1,tunnel,False
Hn-39-2,39,2,NdFeB,NW Arc,Alpha,3.1299,3.1319,0.0619,1,tunnel,False
Hn-39-3,39,3,NdFeB,NW Arc,Delta,1.5592,1.5587,-0.0302,1,tunnel,False
Hn-39-4,39,4,NdFeB,NW Arc,Gamma,1.5594,1.5597,0.0202,1,tunnel,False
Hn-6-1,6,1,NdFeB,South Linac,Gamma,1.5962,1.6072,0.6907,1,tunnel,False
Hn-6-2,6,2,NdFeB,South Linac,Alpha,3.1127,3.121,0.2661,1,tunnel,False
Hn-6-3,6,3,NdFeB,South Linac,Delta,1.5731,1.5772,0.2558,1,tunnel,False
Hn-8-1,8,1,NdFeB,SE Arc,Alpha,3.1139,3.1183,0.1435,1,tunnel,False
Hn-8-2,8,2,NdFeB,SE Arc,Gamma,1.5819,1.5817,-0.0106,1,tunnel,False
Hn-8-4,8,4,NdFeB,SE Arc,Delta,1.5562,1.5568,0.0352,1,tunnel,False
Hn-9-1,9,1,NdFeB,SE Arc,Delta,1.547,1.5477,0.0476,1,tunnel,False
Hn-9-3,9,3,NdFeB,SE Arc,Gamma,0.808,1.5725,94.6177,1,tunnel,True
Hn-9-4,9,4,NdFeB,SE Arc,Alpha,1.5913,3.1207,96.1138,1,tunnel,True
Hs-1-1,1,1,SmCo,SW Arc,Alpha,2.7286,2.7219,-0.2488,1,tunnel,False
Hs-1-3,1,3,SmCo,SW Arc,Gamma,1.2988,1.2988,0.0011,1,tunnel,False
Hs-1-4,1,4,SmCo,SW Arc,Delta,1.3679,1.3668,-0.0857,1,tunnel,False
