plate,is_lab,gamma_dose_rem,gamma_dose_gy,gamma_sigma_rem,gamma_source,neutron_dose_rem,neutron_sigma_rem,neutron_source,beta_dose_mrem,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_n_saturated,osl_is_lower_bound,ai_days_since_install,ai_n_measurements
Hs-1,False,1729.82,17.30,0.00,osl_match,29.73,0.00,osl_match,0,1759550,1729820,29730,0,False,367,6
Hs-2,False,22886.26,228.86,1372.56,rod_derived,24.23,0.00,osl_match,154,5831687,807303,24230,5,True,367,6
Hs-3,False,28490.28,284.90,1766.24,rod_derived,19.86,0.00,osl_match,555981,6488436,912595,19860,5,True,367,6
Hs-4,False,31.57,0.32,0.00,osl_match,1027.52,0.00,independently_derived,34,59086,31532,27520,0,False,367,8
Hs-5,False,114.70,1.15,0.00,osl_match,17.76,0.00,osl_match,0,132462,114702,17760,0,False,367,8
Hn-6,False,1318041.14,13180.41,223909.62,rod_derived,87867.83,14927.31,independently_derived,0,11204456,202846,1610,11,True,367,7
Hs-6,False,89529.88,895.30,5834.68,rod_derived,1005.97,0.00,independently_derived,28297,7437063,402796,5970,7,True,363,8
Hs-7,False,780.52,7.81,0.00,supplemented,2034.25,0.00,independently_derived,94862,814768,685656,34250,0,False,367,8
Hn-8,False,1307.50,13.08,0.00,supplemented,22.28,0.00,osl_match,233234,1329784,1074270,22280,0,False,363,7
Hn-9,False,2730.63,27.31,500.00,rod_derived,27.41,0.00,osl_match,552681,3258039,677948,27410,2,True,363,7
Hs-10,False,88946.86,889.47,10217.61,rod_derived,31.16,0.00,osl_match,41498,6555763,483105,31160,6,True,367,6
Hn-10,False,1019.52,10.20,0.00,osl_match,16.49,0.00,osl_match,1006,1036014,1018518,16490,0,False,363,8
Hn-11,False,74467.67,744.68,8534.13,rod_derived,13.58,0.00,osl_match,711,6381521,367230,13580,6,True,363,9
Hn-12,False,812.37,8.12,0.00,osl_match,8.04,0.00,osl_match,828,820414,811546,8040,0,False,363,9
Hs-12,False,1804.63,18.05,0.00,supplemented,16.33,0.00,osl_match,227189,1820961,1591396,16330,0,False,363,8
Hs-13,False,490241.98,4902.42,38633.89,rod_derived,32318.05,2569.21,independently_derived,0,14019245,35,19210,14,True,367,7
Hs-14,False,266883.67,2668.84,244894.47,rod_derived,16.84,0.00,osl_match,357,7456571,439374,16840,7,True,363,8
Hs-15,False,1174942.13,11749.42,199582.34,rod_derived,78349.08,13305.49,independently_derived,30189,13114526,52047,32290,13,True,367,9
Hn-15,False,2158962.01,21589.62,269750.85,rod_derived,143930.80,17983.39,independently_derived,12697,12073503,48406,12400,12,True,367,10
Hn-16,False,1932.03,19.32,0.00,osl_match,22.13,0.00,osl_match,703,1954162,1931329,22130,0,False,363,8
Hs-16,False,34190.58,341.91,1815.84,rod_derived,21.75,0.00,osl_match,0,6232915,1211165,21750,5,True,363,8
