row_num,project,location,rod_id,is_ldrd,range,date_read,od_600nm_1,od_600nm_2,od_656nm_1,od_656nm_2,dose_600_1_krad,dose_600_2_krad,dose_656_1_krad,dose_656_2_krad,avg_dose_600_krad,avg_dose_656_krad,flag_600,flag_656,best_dose_krad,best_source,notes
2,20,1,R-60,True,Low,3/14/2025,1.1740,0.9650,0.1000,0.0930,18.892,14.444,34.933,31.181,16.668,33.057,valid,valid,16.668,600nm,R-60
3,20,2,R-60,True,High,3/14/2025,0.2640,0.2580,0.0760,0.0660,26.541,25.831,112.047,94.117,26.186,103.082,valid,below_min,26.186,600nm,R-60
4,20,3,R-6,True,Low,3/14/2025,0.2260,0.1690,0.0760,0.0720,-1.282,-2.495,22.069,19.925,-1.888,20.997,below_min,below_min,,,R-6
5,20,4,R-6,True,High,3/14/2025,0.1070,0.1090,0.0770,0.0810,7.977,8.214,113.840,121.012,8.095,117.426,below_min,below_min,,,R-6
6,20,5,R-19,True,Low,3/14/2025,0.1740,0.1660,0.0820,0.0650,-2.388,-2.559,25.285,16.173,-2.474,20.729,below_min,below_min,,,R-19
7,20,6,R-19,True,High,3/14/2025,0.0950,0.1030,0.0670,0.0730,6.558,7.504,95.910,106.668,7.031,101.289,below_min,below_min,,,R-19
8,20,7,R-55,True,Low,3/14/2025,0.3310,0.3090,0.0740,0.0780,0.952,0.484,20.997,23.141,0.718,22.069,below_min,below_min,,,R-55
9,20,8,R-55,True,High,3/14/2025,0.1160,0.1350,0.0640,0.0820,9.041,11.288,90.531,122.805,10.165,106.668,below_min,below_min,,,R-55
10,20,9,R-9,True,Low,3/14/2025,0.3560,0.3110,0.0870,0.0630,1.484,0.527,27.965,15.101,1.006,21.533,below_min,below_min,,,R-9
11,20,10,R-9,True,High,3/14/2025,0.1340,0.1400,0.0790,0.0750,11.170,11.879,117.426,110.254,11.524,113.840,below_min,below_min,,,R-9
12,20,11,R-66,True,Low,3/14/2025,0.1830,0.2150,0.0710,0.0720,-2.197,-1.516,19.389,19.925,-1.856,19.657,below_min,below_min,,,R-66
13,20,12,R-66,True,High,3/14/2025,0.1050,0.0920,0.0750,0.0720,7.741,6.204,110.254,104.875,6.972,107.565,below_min,below_min,,,R-66
14,20,13,R-54,False,Low,3/14/2025,0.8910,0.8310,0.1040,0.0850,12.869,11.592,37.077,26.893,12.231,31.985,valid,valid,12.231,600nm,R-54
15,20,14,R-54,False,High,3/14/2025,0.2440,0.2160,0.0920,0.0740,24.176,20.865,140.735,108.461,22.521,124.598,valid,below_min,22.521,600nm,R-54
16,20,15,R-22,True,Low,3/14/2025,0.1880,0.1800,0.0770,0.0650,-2.091,-2.261,22.605,16.173,-2.176,19.389,below_min,below_min,,,R-22
17,20,16,R-22,True,High,3/14/2025,0.1090,0.1140,0.0760,0.0750,8.214,8.805,112.047,110.254,8.509,111.150,below_min,below_min,,,R-22
18,20,17,R-64,True,Low,3/14/2025,0.9110,0.8670,0.1060,0.0990,13.295,12.359,38.149,34.397,12.827,36.273,valid,valid,12.827,600nm,R-64
19,20,18,R-64,True,High,3/14/2025,0.2660,0.2520,0.0880,0.0910,26.777,25.122,133.563,138.942,25.950,136.252,valid,valid,25.950,600nm,R-64
20,20,19,R-18,True,Low,3/14/2025,1.0030,0.8640,0.1010,0.0890,15.253,12.295,35.469,29.037,13.774,32.253,valid,valid,13.774,600nm,R-18
21,20,20,R-18,True,High,3/14/2025,0.2490,0.2470,0.0900,0.0730,24.767,24.531,137.149,106.668,24.649,121.909,valid,below_min,24.649,600nm,R-18
22,20,21,R-8,True,Low,3/14/2025,0.3820,0.4040,0.0850,0.0900,2.038,2.506,26.893,29.573,2.272,28.233,valid,below_min,2.272,600nm,R-8
23,20,22,R-8,True,High,3/14/2025,0.1270,0.1050,0.0740,0.0650,10.342,7.741,108.461,92.324,9.041,100.392,below_min,below_min,,,R-8
24,20,23,R-80,True,Low,3/14/2025,0.2330,0.2050,0.0750,0.0660,-1.133,-1.729,21.533,16.709,-1.431,19.121,below_min,below_min,,,R-80
25,20,24,R-80,True,High,3/14/2025,0.1030,0.0900,0.0650,0.0690,7.504,5.967,92.324,99.496,6.736,95.910,below_min,below_min,,,R-80
26,20,25,R-62,True,Low,3/14/2025,1.2620,1.2550,0.1120,0.1050,20.764,20.615,41.365,37.613,20.690,39.489,valid,valid,20.690,600nm,R-62
27,20,26,R-62,True,High,3/14/2025,0.2680,0.2950,0.0730,0.0810,27.014,30.206,106.668,121.012,28.610,113.840,valid,below_min,28.610,600nm,R-62
28,20,27,R-35,True,Low,3/14/2025,0.1640,0.1550,0.0660,0.0580,-2.601,-2.793,16.709,12.421,-2.697,14.565,below_min,below_min,,,R-35
29,20,28,R-35,True,High,3/14/2025,0.0900,0.0860,0.0680,0.0670,5.967,5.494,97.703,95.910,5.731,96.806,below_min,below_min,,,R-35
30,20,29,R-7,True,Low,3/14/2025,0.2560,0.2440,0.0680,0.0780,-0.644,-0.899,17.781,23.141,-0.771,20.461,below_min,below_min,,,R-7
31,20,30,R-7,True,High,3/14/2025,0.0860,0.1100,0.0600,0.0740,5.494,8.332,83.359,108.461,6.913,95.910,below_min,below_min,,,R-7
32,20,31,R-70,False,Low,3/14/2025,0.2360,0.2710,0.0540,0.0690,-1.069,-0.324,10.277,18.317,-0.697,14.297,below_min,below_min,,,R-70
33,20,32,R-70,False,High,3/14/2025,0.0980,0.1050,0.0610,0.0550,6.913,7.741,85.152,74.394,7.327,79.773,below_min,below_min,,,R-70
34,20,33,R-56,True,Low,3/14/2025,0.2140,0.2610,0.0650,0.0620,-1.537,-0.537,16.173,14.565,-1.037,15.369,below_min,below_min,,,R-56
35,20,34,R-56,True,High,3/14/2025,0.1140,0.1050,0.0730,0.0680,8.805,7.741,106.668,97.703,8.273,102.186,below_min,below_min,,,R-56
36,20,35,R-12,True,Low,3/14/2025,0.1750,0.1710,0.0680,0.0770,-2.367,-2.452,17.781,22.605,-2.410,20.193,below_min,below_min,,,R-12
37,20,36,R-12,True,High,3/14/2025,0.0890,0.0860,0.0630,0.0630,5.849,5.494,88.738,88.738,5.671,88.738,below_min,below_min,,,R-12
38,19,37,R-58,True,Low,3/14/2025,1.3500,1.4560,0.1110,0.1160,22.637,24.892,40.829,43.509,23.765,42.169,valid,valid,23.765,600nm,R-58
39,20,38,R-58,True,High,3/14/2025,0.3460,0.3060,0.0740,0.0710,36.237,31.507,108.461,103.082,33.872,105.772,valid,below_min,33.872,600nm,R-58
40,20,37,R-58,True,Low,3/14/2025,1.4600,1.3300,0.1140,0.1040,24.978,22.211,42.437,37.077,23.594,39.757,valid,valid,23.594,600nm,R-58
41,20,39,R-68,True,Low,3/14/2025,0.1930,0.2380,0.0630,0.0760,-1.984,-1.027,15.101,22.069,-1.505,18.585,below_min,below_min,,,R-68
42,20,40,R-68,True,High,3/14/2025,0.0970,0.1020,0.0640,0.0700,6.795,7.386,90.531,101.289,7.090,95.910,below_min,below_min,,,R-68
43,20,41,R-85,True,Low,3/19/2025,2.1940,2.1520,0.1580,0.1460,40.597,39.703,66.021,59.589,40.150,62.805,above_max,valid,62.805,656nm,R-85
44,20,42,R-85,True,High,3/19/2025,0.6480,0.6220,0.0870,0.0870,71.945,68.871,131.770,131.770,70.408,131.770,valid,below_min,70.408,600nm,R-85
45,20,43,R-84,True,Low,3/19/2025,1.6590,1.7570,0.1290,0.1170,29.212,31.298,50.477,44.045,30.255,47.261,valid,valid,30.255,600nm,R-84
46,20,44,R-84,True,High,3/19/2025,0.3880,0.3350,0.0810,0.0710,41.203,34.936,121.012,103.082,38.069,112.047,valid,below_min,38.069,600nm,R-84
47,20,45,R-34,True,Low,3/19/2025,0.2150,0.2750,0.0680,0.0740,-1.516,-0.239,17.781,20.997,-0.878,19.389,below_min,below_min,,,R-34
48,20,46,R-34,True,High,3/19/2025,0.0950,0.0940,0.0660,0.0650,6.558,6.440,94.117,92.324,6.499,93.221,below_min,below_min,,,R-34
49,20,47,R-119,True,Low,3/19/2025,0.2360,0.1750,0.0760,0.0660,-1.069,-2.367,22.069,16.709,-1.718,19.389,below_min,below_min,,,R-119
50,20,48,R-119,True,High,3/19/2025,0.0900,0.0800,0.0650,0.0570,5.967,4.785,92.324,77.980,5.376,85.152,below_min,below_min,,,R-119
51,20,49,R-29,True,Low,3/19/2025,0.1850,0.1990,0.0570,0.0590,-2.154,-1.856,11.885,12.957,-2.005,12.421,below_min,below_min,,,R-29
52,20,50,R-29,True,High,3/19/2025,0.0950,0.0960,0.0580,0.0690,6.558,6.677,79.773,99.496,6.617,89.635,below_min,below_min,,,R-29
53,20,51,R-89,True,Low,3/19/2025,0.1630,0.1900,0.0600,0.0640,-2.623,-2.048,13.493,15.637,-2.335,14.565,below_min,below_min,,,R-89
54,20,52,R-89,True,High,3/19/2025,0.0890,0.0860,0.0650,0.0630,5.849,5.494,92.324,88.738,5.671,90.531,below_min,below_min,,,R-89
55,20,53,R-90,True,Low,3/19/2025,0.1620,0.1640,0.0640,0.0630,-2.644,-2.601,15.637,15.101,-2.623,15.369,below_min,below_min,,,R-90 2 Low Range
56,20,54,R-90,True,High,3/19/2025,0.1010,0.0890,0.0720,0.0610,7.268,5.849,104.875,85.152,6.558,95.013,below_min,below_min,,,R-90 2 High Range
57,20,55,R-122,True,Low,3/19/2025,1.5580,1.5510,0.1140,0.1120,27.063,26.914,42.437,41.365,26.989,41.901,valid,valid,26.989,600nm,R-122 2 Low Range
58,20,56,R-122,True,High,3/19/2025,0.2860,0.3260,0.0650,0.0870,29.142,33.872,92.324,131.770,31.507,112.047,valid,below_min,31.507,600nm,R-122 2 High Range
59,20,57,R-26,True,Low,3/19/2025,0.2650,0.2710,0.0730,0.0740,-0.452,-0.324,20.461,20.997,-0.388,20.729,below_min,below_min,,,R-26 2 Low Range
60,20,58,R-26,True,High,3/19/2025,0.0890,0.0840,0.0570,0.0540,5.849,5.258,77.980,72.601,5.553,75.291,below_min,below_min,,,R-26 2 High Range
61,20,59,R-79,True,Low,3/19/2025,0.2330,0.1930,0.0630,0.0780,-1.133,-1.984,15.101,23.141,-1.559,19.121,below_min,below_min,,,R-79 2 Low Range
62,20,60,R-79,True,High,3/19/2025,0.0920,0.0950,0.0670,0.0650,6.204,6.558,95.910,92.324,6.381,94.117,below_min,below_min,,,R-79 2 High Range
63,20,61,R-42,True,Low,3/19/2025,0.2140,0.2220,0.0610,0.0650,-1.537,-1.367,14.029,16.173,-1.452,15.101,below_min,below_min,,,R-42 2 Low Range
