 2024-11-21	12:02:54	XNoDosimeter	RNoRod	+1.3569 mWC 
 2025-01-27	11:00:06	XA04105442P	RnoRod	1337 nonunit 2025-02-18	11:24:19	XA00121037W	R-80	1337 nonunits
 2025-03-05	08:57:32	XA02532141U	Rnorod	1337 nonunits
 2025-03-12	09:06:08	XA01701687B	R-90	1337 nonunits
 2025-03-25	09:08:05	XA019184197	R-106	1337 nonunits
 2025-04-08	08:36:56	XA006986621	R-175	1337 nonunits
 2025-04-23	11:23:15	XA00636763B	R-202	1337 nonunits
 2025-05-21	12:18:09	XA01830302T	R-358	+1.3540 mWC 

 2025-06-11	12:12:45	XA00914661K	R-425	+1.3526 mWC 

 2025-07-02	10:55:30	XA00820864D	R-469	1337 nonunits
 2025-07-17	09:27:52	XA007784165	R-517	+1.3421 mWC 
