 2024-09-30	15:38:14			-3.683	0.733	0.016	26.856
 2024-11-21	10:49:05	XNoDosimeter	RNoRod	-12.254	0.631	8.068	23.253
 2025-01-27	10:09:36	XA00600996A	RnoRod	1337	1337	1337	1337
 2025-02-18	11:30:52	XA02909096C	R-18	1337	1337	1337	1337
 2025-03-05	09:00:37	XA00652942B	Rnorod	1337	1337	1337	1337
 2025-03-12	09:32:39	XA025853645	R-110	1337	1337	1337	1337
 2025-03-25	09:20:51	XA04105536G	R-111	1337	1337	1337	1337
 2025-04-08	08:58:24	XA00578631B	R-152	1337	1337	1337	1337
 2025-04-23	11:20:50	XA009557742	R-218	1337	1337	1337	1337
 2025-07-02	10:59:33	XA00603305U	R-463	1337	1337	1337	1337
 2025-07-17	10:59:41	XA02256237C	R-507	-39.556	-0.698	-0.371	32.603
