 2024-11-18	13:34:55	Xnodosimeter	Rnorod	+0.0046 mWC 

 2025-03-12	09:58:30	XA014222201	R-42	1337 nonunits
 2025-03-25	09:37:10	XA00632914E	R-5	1337 nonunits
 2025-04-08	09:20:37	XA00762050T	R-156	1337 nonunits
 2025-04-23	11:04:33	XA00742673D	R-243	1337 nonunits
 2025-05-07	10:17:01	XA00374276B	R-298	+0.0020 mWC 

 2025-05-21	10:59:48	XA02333521P	R-372	+0.0093 mWC 

 2025-06-11	11:13:04	XA00644692C	R-415	+0.0035 mWC 

 2025-07-02	11:20:59	XA01908030X	R-454	1337 nonunits
 2025-07-17	12:20:12	XA007795823	R-514	-0.0015 mWC 
