 2024-04-22-15:49:49				
 2024-04-22-17:01:51	XA02737341J	R-1				
 2024-04-24-09:53:31		R-1	0.045	0.027	0.057	21.709
 2024-04-26-11:46:34	XA02737341J	R-1	7.136	1.991	23.923	24.463
 2024-05-02-16:13:59						
 2024-05-02-16:14:32						
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-11-05	11:44:05	Xnodose	RNoRod	4.909	3.727	3.643	24.998
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
 2025-05-21	13:27:29	XA02360080S	R-351	1337	1337	1337	1337
 2025-06-17	11:48:48	XA007075887	R-400	1337	1337	1337	1337
 2025-07-02	10:21:48	XA00735803F	R-479	1337	1337	1337	1337
