 2024-11-05	12:09:09	XNoDosimeter	RNoRod	+1.3048 mWC 
 2025-01-27	10:02:13	XA005960981	RnoRod	1337 nonunit 2025-02-18	11:21:00	XA00872203L	R-7	1337 nonunits
 2025-03-05	09:33:33	XA01529003T	Rnorod	1337 nonunits
 2025-03-12	09:30:58	XA008567536	R-119	1337 nonunits
 2025-03-25	09:10:45	XA01265931B	R-69	1337 nonunits
 2025-04-08	08:53:15	XA007813493	R-166	1337 nonunits
 2025-04-23	11:25:59	XA01023226S	R-225	1337 nonunits
 2025-05-07	11:11:24	XA007644682	R-284	+1.2970 mWC 
 2025-05-21	12:24:59	XA01428236I	R-340	+1.2848 mWC 
 2025-06-11	12:24:00	XA02489808Q	R-403	+1.2953 mWC 
