 2024-11-12	13:18:16	XNoDosimeter	RNoRod	+0.0115 mWC 
 2024-11-12	16:21:36	XNoDosimeter	RNoRod	+0.0102 mWC 
 2025-01-27	11:39:46	XA017349157	RnoRod	1337	1337	1337	1337 2025-02-18	10:53:09	XA01269313H	R-55	1337 nonunits
 2025-03-05	09:18:19	XA009504579	Rnorod	1337 nonunits
 2025-03-12	10:21:41	XA02894004D	R-81	1337 nonunits
 2025-03-25	09:58:40	XA02457738X	R-97	1337 nonunits
 2025-04-08	09:44:16	XA00821901M	R-161	1337 nonunits
 2025-04-23	11:53:16	XA01285966U	R-215	1337 nonunits
 2025-04-23	13:56:17	XnoDosimeter	Rnorod	+0.0106 mWC 
 2025-05-07	12:54:15	XA01046880F	R-287	+0.0115 mWC 
