 2024-04-22-15:49:44				
 2024-04-22-15:59:49				
 2024-04-22-17:01:46	XA02737341J	R-1				
 2024-04-24-09:52:48		R-1	0.044	0.027	0.056	21.652
 2024-04-24-10:11:59		R-1	0.037	0.029	0.049	23.588
 2024-04-24-10:39:25		R-1	-14.077	-35.177	-70.934	22.298
 2024-04-24-10:52:22		R-1	0.034	0.016	0.038	22.360
 2024-04-26-11:42:39	XA02737341J	R-1	-24.125	-0.662	26.095	24.665
 2024-05-02-15:36:57						
 2024-05-02-15:45:09						
 2024-05-02-15:45:39						
 2024-05-02-15:48:53						
 2024-05-02-15:50:40						
 2024-05-02-15:51:35						
 2024-05-02-15:55:13						
 2024-05-02-16:13:50						
 2024-05-02-16:14:26						
 2024-05-06-09:55:28	XA02737341J	R-1	-23.401	0.164	7.572	25.151
 2024-05-06-10:42:45	XA02737341J	R-1	-24.167	-0.441	7.227	25.599
 2024-06-24-12:16:06	XA02737341J	R-1	-17.941	-0.786	3.707	26.361
 2024-07-10-11:24:16						
 2024-07-19-16:03:43						
 2024-07-19-16:06:43						
 2024-07-19-16:09:45						
 2024-07-19-16:12:58						
 2024-07-19-16:16:07						
 2024-07-19-16:19:11						
 2024-07-19-16:22:19						
 2024-07-19-16:25:30						
 2024-07-19-16:28:39						
 2024-07-19-16:31:41						
 2024-07-19-16:34:48						
 2024-07-19-16:37:53						
 2024-07-19-16:40:58						
 2024-07-19-16:43:58						
 2024-07-22	15:10:50						
 2024-07-22	15:14:15						
 2024-07-22	15:17:28						
 2024-07-22	15:20:29						
 2024-07-22	15:23:41						
 2024-07-22	15:26:50						
 2024-07-22	15:30:00						
 2024-07-22	15:33:08						
 2024-07-22	15:36:13						
 2024-07-22	15:39:32						
 2024-07-22	15:45:28						
 2024-07-22	15:48:43						
 2024-07-22	15:51:58						
 2024-07-22	15:55:10						
 2024-07-22	15:58:18						
 2024-07-22	16:01:31						
 2024-07-22	16:04:45						
 2024-07-22	16:07:57						
 2024-07-22	16:19:42						
 2024-07-22	16:22:55						
 2024-07-22	16:26:10						
 2024-07-22	16:29:18						
 2024-07-22	16:32:32						
 2024-07-22	16:35:43						
 2024-07-22	16:38:51						
 2024-07-22	16:42:03						
 2024-07-22	16:45:15						
 2024-07-22	16:56:40						
 2024-07-23	10:59:00						
 2024-07-23	11:05:29						
 2024-07-23	11:10:18						
 2024-07-23	11:15:43						
 2024-07-23	11:20:08						
 2024-07-23	11:25:12						
 2024-07-23	11:36:24						
 2024-07-23	11:41:05						
 2024-07-23	11:46:36						
 2024-07-23	11:51:17						
 2024-07-23	11:55:11						
 2024-07-23	12:01:32						
 2024-07-23	13:44:31			16.788	-0.938	8.892	23.673
 2024-07-23	13:58:01			17.644	-0.671	9.437	23.328
 2024-07-23	14:07:34			18.584	-0.667	10.132	23.043
 2024-07-23	14:13:30			18.879	-0.669	10.033	22.961
 2024-07-23	14:20:35			19.067	-0.670	10.199	22.924
 2024-07-23	14:24:01			19.109	-0.673	10.290	22.906
 2024-07-23	14:31:24		R-3	17.871	-0.359	9.411	23.334
 2024-07-23	14:35:47		R-3	18.156	-0.361	9.515	23.220
 2024-07-23	14:41:43		R-3	18.398	-0.360	9.762	23.155
 2024-07-23	15:03:30		R-3	18.432	-0.362	9.874	23.160
 2024-07-23	15:06:16		R-3	18.446	-0.364	9.818	23.142
 2024-07-23	15:10:40		R-3	18.348	-0.363	9.745	23.140
 2024-07-23	15:21:29		R-3	18.398	-0.361	9.696	23.133
 2024-07-23	15:35:53		R-3	15.322	0.190	8.081	24.065
 2024-07-23	15:44:28		R-3	17.439	-0.564	8.990	23.435
 2024-07-23	15:56:17		R-3	18.056	-0.444	9.736	23.204
 2024-07-23	16:08:17		R-3				
 2024-07-23	16:35:24			17.720	-0.138	9.558	23.272
 2024-07-29	17:08:40	XA02737341J	R-2	1337	1337	1337	1337
 2024-07-29	17:22:54	XA02737341J	R-2	1337	1337	1337	1337
 2024-09-17	10:27:18	XA02737341J	R-2				
 2024-11-05	11:41:17	Xnodose	RNoRod	-18.975	-7.016	3.069	25.283
 2025-01-27	08:59:01	noTLD	noRod	1337	1337	1337	1337
 2025-01-27	11:35:07	XA008395747	RnoRod	1337	1337	1337	1337
 2025-02-18	11:00:17	XA017925080	R-35	1337	1337	1337	1337
 2025-03-05	09:22:43	XA01567234E	Rnorod	1337	1337	1337	1337
 2025-03-12	10:24:17			1337	1337	1337	1337
 2025-03-12	10:24:49	XA00594213H	R-105	1337	1337	1337	1337
 2025-03-25	10:01:54	XA006308784	R-115	1337	1337	1337	1337
 2025-04-08	09:48:36	XA041356194	R-145	1337	1337	1337	1337
 2025-04-23	11:50:07	XA007949602	R-208	1337	1337	1337	1337
